Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179574,1,OK,0.7428195,-0.0990370,0.1312370,-0.6489898,49.963,-7.240,-377.946,0.1419102,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179574,1,OK,0.9819283,-0.1223812,0.1356090,-0.0494953,163.698,-4.039,-381.423,0.0938770,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179574,1,OK,0.3155223,0.0231451,0.1333717,0.9392135,266.026,4.632,-388.177,0.1007090,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179574,1,OK,0.7062522,-0.1358183,-0.0024339,-0.6948059,359.087,13.825,-395.948,0.2285283,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179582,1,OK,0.7432004,-0.0985434,0.1294471,-0.6489883,50.323,-7.448,-373.901,0.1550045,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179582,1,OK,0.9827993,-0.1193036,0.1344155,-0.0424819,163.245,-4.721,-376.648,0.1318217,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179582,1,OK,0.3505699,0.0152369,0.1366679,0.9263857,265.379,4.075,-383.046,0.0987529,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179582,1,OK,0.7162560,-0.1424290,-0.0139838,-0.6830050,359.527,13.221,-390.275,0.3042822,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179590,1,OK,0.7373049,-0.0993752,0.1272251,-0.6559877,50.633,-7.667,-370.029,0.1037930,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179590,1,OK,0.9836607,-0.1113002,0.1313901,-0.0525409,163.626,-3.911,-373.868,0.1259678,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179590,1,OK,0.3629616,0.0085327,0.1338274,0.9221043,266.600,3.336,-377.747,0.1908332,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179590,1,OK,0.6984188,-0.1422833,-0.0253448,-0.7009452,359.996,13.058,-383.978,0.0989165,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179598,1,OK,0.7335097,-0.1011310,0.1279671,-0.6598184,50.357,-7.601,-366.594,0.1382050,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179598,1,OK,0.9854516,-0.0990897,0.1306984,-0.0445453,163.407,-3.361,-368.819,0.1340275,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179598,1,OK,0.3546617,0.0115629,0.1214645,0.9269993,267.542,5.728,-374.180,0.1163042,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179598,1,OK,0.7087015,-0.1368854,-0.0128248,-0.6919827,355.776,19.677,-378.116,0.1527603,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179606,1,OK,0.7319108,-0.1048479,0.1271778,-0.6611650,49.792,-8.240,-362.703,0.0976249,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179606,1,OK,0.9869561,-0.0887230,0.1297662,-0.0347362,164.036,-2.468,-365.546,0.1635171,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179606,1,OK,0.3651404,0.0143387,0.1120025,0.9240792,267.035,5.009,-369.536,0.1404765,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179606,1,OK,0.7025687,-0.1267732,-0.0064852,-0.7002027,357.282,18.110,-374.829,0.3092942,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179614,1,OK,0.7360313,-0.1036761,0.1260356,-0.6569811,50.403,-8.458,-359.249,0.1225169,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179614,1,OK,0.9872940,-0.0835993,0.1303203,-0.0357552,163.690,-2.607,-361.654,0.1227948,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179614,1,OK,0.3324536,0.0230551,0.0996881,0.9375529,266.846,4.030,-365.613,0.0672396,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179614,1,OK,0.6812862,-0.1162125,-0.0014873,-0.7227321,359.199,12.456,-370.589,0.3783940,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179622,1,OK,0.7405640,-0.1016036,0.1261667,-0.6521684,50.793,-8.241,-355.778,0.1354377,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179622,1,OK,0.9878521,-0.0790253,0.1284781,-0.0373709,164.157,-2.296,-357.196,0.1314798,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179622,1,OK,0.3422179,0.0237501,0.0849972,0.9354669,268.160,4.799,-361.764,0.0675781,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179622,1,OK,0.6661855,-0.0973078,0.0155213,-0.7392477,359.583,10.034,-365.638,0.2590729,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179630,1,OK,0.7361321,-0.1024786,0.1256723,-0.6571257,50.855,-8.221,-351.824,0.0811191,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179630,1,OK,0.9881617,-0.0730139,0.1304808,-0.0343537,164.298,-1.566,-354.837,0.1239209,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179630,1,OK,0.3693988,0.0263014,0.0731055,0.9260175,268.497,5.453,-358.147,0.1107632,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179630,1,OK,0.6785160,-0.0818814,0.0336209,-0.7292332,359.561,10.227,-362.177,0.1854714,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179638,1,OK,0.7372080,-0.1012811,0.1258154,-0.6560770,51.469,-7.898,-348.157,0.1222914,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179638,1,OK,0.9882751,-0.0705885,0.1299712,-0.0379085,164.699,-2.176,-350.345,0.0917287,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179638,1,OK,0.3803292,0.0290123,0.0615461,0.9223449,269.957,5.928,-354.823,0.1556999,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179638,1,OK,0.6725433,-0.0772692,0.0362372,-0.7351203,360.517,7.806,-359.082,0.2617880,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179646,1,OK,0.7386928,-0.1019319,0.1252163,-0.6544186,51.532,-8.298,-344.017,0.0935168,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179646,1,OK,0.9885281,-0.0645260,0.1307202,-0.0395065,165.407,-1.500,-347.381,0.0768823,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179646,1,OK,0.3766003,0.0334397,0.0598344,0.9238365,269.326,5.264,-351.492,0.1259502,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179646,1,OK,0.6803743,-0.0787773,0.0412643,-0.7274491,359.115,5.648,-356.240,0.1965187,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179654,1,OK,0.7333201,-0.1045719,0.1255282,-0.6599614,51.146,-8.389,-340.558,0.0740140,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179654,1,OK,0.9889338,-0.0606800,0.1329115,-0.0257358,165.297,-2.667,-343.230,0.1280476,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179654,1,OK,0.3709023,0.0364933,0.0603482,0.9259902,268.989,4.673,-348.319,0.1117395,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179654,1,OK,0.6821537,-0.0748634,0.0429150,-0.7260992,360.641,7.260,-352.762,0.1855503,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179662,1,OK,0.7340100,-0.1048619,0.1245655,-0.6593306,51.218,-8.524,-336.959,0.0976902,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179662,1,OK,0.9883112,-0.0647861,0.1322510,-0.0394121,165.246,-4.154,-339.011,0.0797558,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179662,1,OK,0.3607824,0.0385685,0.0601600,0.9299082,268.681,4.745,-344.662,0.0663616,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179662,1,OK,0.6847427,-0.0814044,0.0417467,-0.7230201,359.680,7.447,-350.036,0.2387046,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179670,1,OK,0.7368218,-0.1047211,0.1245843,-0.6562057,51.126,-8.698,-333.276,0.1012684,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179670,1,OK,0.9882443,-0.0673119,0.1328068,-0.0347091,165.676,-3.973,-336.570,0.1085935,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179670,1,OK,0.3538282,0.0355052,0.0657937,0.9323176,269.544,2.998,-341.430,0.1080031,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1179670,1,OK,0.6876463,-0.0853366,0.0356167,-0.7201331,360.227,5.947,-345.413,0.2448745,0
