Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822486,1,OK,0.7367331,-0.1035908,0.1254138,-0.6563266,51.378,-8.313,-333.518,0.0897641,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822486,1,OK,0.9519981,-0.2722648,0.1329789,-0.0434511,164.379,-1.861,-341.766,0.1034171,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822486,1,OK,0.3155073,-0.0370308,0.2910437,0.9024286,266.542,10.067,-354.028,0.1245236,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822486,1,OK,0.6937494,-0.2497734,-0.1125116,-0.6660827,358.009,24.869,-363.823,0.1756262,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822494,1,OK,0.7373368,-0.1049776,0.1236946,-0.6557543,51.266,-8.804,-325.913,0.0962632,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822494,1,OK,0.9518817,-0.2756283,0.1304486,-0.0305511,163.205,-0.731,-333.294,0.0870795,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822494,1,OK,0.2884005,-0.0472410,0.3126641,0.9037890,267.791,11.338,-346.239,0.0574700,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822494,1,OK,0.6859686,-0.2779507,-0.1551428,-0.6543097,358.570,26.761,-355.224,0.2021382,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822502,1,OK,0.7331535,-0.1050284,0.1221872,-0.6607005,51.600,-8.809,-318.722,0.0796329,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822502,1,OK,0.9541428,-0.2720214,0.1216812,-0.0284525,164.014,0.014,-325.110,0.0650533,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822502,1,OK,0.2734228,-0.0541670,0.3231369,0.9043719,267.215,13.650,-336.981,0.0397315,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822502,1,OK,0.6765294,-0.3032778,-0.1964634,-0.6416640,358.905,29.120,-346.832,0.1132412,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822510,1,OK,0.7345647,-0.1052940,0.1225942,-0.6590133,51.551,-8.600,-311.504,0.0808387,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822510,1,OK,0.9574095,-0.2635460,0.1150899,-0.0257849,164.359,2.683,-317.655,0.0563240,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822510,1,OK,0.2722647,-0.0647086,0.3222360,0.9043499,268.233,16.696,-327.030,0.0794494,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822510,1,OK,0.6769865,-0.3205313,-0.2188209,-0.6253530,357.887,32.958,-339.383,0.1663068,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822518,1,OK,0.7363589,-0.1053684,0.1215084,-0.6571977,51.919,-8.857,-303.914,0.0942888,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822518,1,OK,0.9593093,-0.2590857,0.1103822,-0.0203950,164.136,4.835,-309.597,0.0758241,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822518,1,OK,0.2825544,-0.0724691,0.3158105,0.9028704,267.986,19.357,-318.395,0.0507687,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822518,1,OK,0.6720829,-0.3127285,-0.2262366,-0.6319196,359.667,34.563,-329.303,0.0932448,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822526,1,OK,0.7356693,-0.1052569,0.1204393,-0.6581839,52.230,-8.969,-296.127,0.0842859,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822526,1,OK,0.9615021,-0.2521432,0.1086478,-0.0115445,163.518,6.552,-301.320,0.0544700,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822526,1,OK,0.2896940,-0.0723002,0.3003393,0.9058954,266.655,22.482,-309.427,0.0669578,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822526,1,OK,0.6790108,-0.2883737,-0.2131286,-0.6405944,360.615,37.880,-316.172,0.0902634,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822534,1,OK,0.7371065,-0.1058855,0.1197249,-0.6566035,52.405,-9.230,-288.802,0.0832689,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822534,1,OK,0.9649059,-0.2392567,0.1081797,-0.0031482,163.663,8.455,-293.667,0.0554390,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822534,1,OK,0.2925457,-0.0699020,0.2803194,0.9115656,266.780,25.240,-300.629,0.0750223,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822534,1,OK,0.6884397,-0.2654585,-0.1889450,-0.6479832,357.750,42.963,-306.344,0.1292273,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822542,1,OK,0.7380228,-0.1066844,0.1194229,-0.6554990,52.496,-9.291,-281.423,0.0723215,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822542,1,OK,0.9679320,-0.2256443,0.1102682,0.0057709,163.328,9.227,-286.147,0.0477389,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822542,1,OK,0.2911260,-0.0645162,0.2587682,0.9187613,267.478,27.936,-292.302,0.0788046,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822542,1,OK,0.6799503,-0.2385663,-0.1766550,-0.6704825,358.339,44.632,-295.500,0.2637948,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822550,1,OK,0.7342910,-0.1078301,0.1183972,-0.6596753,52.663,-9.286,-274.006,0.0681882,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822550,1,OK,0.9710141,-0.2111877,0.1111060,0.0136702,163.646,9.803,-278.659,0.0378902,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822550,1,OK,0.2948618,-0.0584776,0.2414566,0.9226785,267.311,29.843,-285.335,0.0917038,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822550,1,OK,0.6789492,-0.2221864,-0.1620427,-0.6807373,359.137,43.494,-287.187,0.1205613,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822558,1,OK,0.7333011,-0.1089858,0.1164994,-0.6609232,52.747,-9.771,-266.569,0.0503697,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822558,1,OK,0.9733831,-0.1998110,0.1107086,0.0185625,164.187,10.379,-270.849,0.0518962,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822558,1,OK,0.2844267,-0.0506550,0.2274081,0.9299576,267.296,30.790,-277.295,0.0409625,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,822558,1,OK,0.6858301,-0.2060611,-0.1437835,-0.6830096,358.686,44.777,-278.651,0.0667471,0
