Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376734,1,OK,0.7282192,-0.1048312,0.1222993,-0.6661457,54.032,-77.006,-309.740,0.0863119,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376734,1,OK,0.9855066,0.0318495,0.1403991,-0.0897240,168.593,-87.043,-315.192,0.0911793,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376734,1,OK,0.4006960,0.0663461,-0.0145945,0.9136892,275.357,-96.271,-321.414,0.0803352,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376734,1,OK,0.6342752,-0.0311238,0.0873811,-0.7675225,369.775,-104.466,-323.731,0.2855092,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376742,1,OK,0.7302896,-0.1042930,0.1247989,-0.6634948,53.544,-72.835,-309.707,0.1031657,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376742,1,OK,0.9857049,0.0318516,0.1399503,-0.0882345,168.863,-83.139,-315.049,0.0968387,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376742,1,OK,0.4255176,0.0695987,-0.0122976,0.9021860,273.574,-92.847,-320.862,0.1329020,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376742,1,OK,0.6277729,-0.0300632,0.0876988,-0.7728559,369.891,-104.864,-323.690,0.2883351,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376750,1,OK,0.7312192,-0.1058827,0.1248518,-0.6622079,53.186,-69.469,-309.747,0.0920879,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376750,1,OK,0.9864123,0.0331891,0.1381728,-0.0824469,169.105,-79.256,-314.558,0.1315589,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376750,1,OK,0.4279529,0.0656144,-0.0119633,0.9013368,274.805,-90.242,-320.539,0.0803082,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376750,1,OK,0.6188490,-0.0287012,0.0879290,-0.7800453,369.810,-104.955,-323.280,0.3047406,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376758,1,OK,0.7305957,-0.1039062,0.1228239,-0.6635870,53.774,-65.725,-309.420,0.0872022,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376758,1,OK,0.9866769,0.0367353,0.1379209,-0.0780835,169.165,-75.079,-315.058,0.1317931,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376758,1,OK,0.4091243,0.0679012,-0.0205973,0.9097156,274.919,-84.353,-320.997,0.0704794,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376758,1,OK,0.6061423,-0.0229702,0.0917714,-0.7897100,367.242,-101.759,-323.517,0.0966174,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376766,1,OK,0.7324576,-0.1035443,0.1241452,-0.6613414,53.428,-61.707,-309.475,0.1040037,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376766,1,OK,0.9869876,0.0414915,0.1376825,-0.0719546,168.552,-70.405,-314.338,0.1228098,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376766,1,OK,0.4072677,0.0722049,-0.0232920,0.9101522,273.245,-79.303,-320.856,0.1428521,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376766,1,OK,0.6018026,-0.0212989,0.0930579,-0.7929188,367.314,-99.238,-323.396,0.3153178,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376774,1,OK,0.7310284,-0.1049646,0.1233102,-0.6628533,53.113,-58.188,-309.390,0.1020168,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376774,1,OK,0.9868849,0.0404841,0.1385131,-0.0723423,168.506,-66.532,-315.003,0.1201881,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376774,1,OK,0.3995874,0.0719765,-0.0225573,0.9135866,273.300,-75.082,-321.100,0.1446069,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376774,1,OK,0.6174533,-0.0210760,0.0984571,-0.7801368,365.663,-90.079,-325.665,0.2181879,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376782,1,OK,0.7314726,-0.1047068,0.1220856,-0.6626307,53.283,-54.602,-309.397,0.0740692,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376782,1,OK,0.9868725,0.0399967,0.1392743,-0.0713127,167.934,-62.230,-314.569,0.1358282,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376782,1,OK,0.3974025,0.0700736,-0.0216950,0.9147077,273.930,-70.305,-321.234,0.0899726,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376782,1,OK,0.6060253,-0.0202110,0.0947500,-0.7895235,367.659,-85.419,-324.220,0.1823696,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376790,1,OK,0.7316596,-0.1044174,0.1233678,-0.6622323,52.964,-50.530,-309.188,0.0721461,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376790,1,OK,0.9870685,0.0366711,0.1379445,-0.0729541,168.372,-58.423,-314.729,0.1156657,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376790,1,OK,0.3946394,0.0705665,-0.0217891,0.9158632,273.265,-64.648,-320.540,0.0946266,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376790,1,OK,0.6056326,-0.0206193,0.0923730,-0.7900957,367.547,-80.135,-322.739,0.2013627,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376798,1,OK,0.7329648,-0.1043130,0.1233470,-0.6608078,52.958,-46.885,-309.097,0.0716169,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376798,1,OK,0.9876740,0.0370777,0.1390330,-0.0616047,167.573,-54.026,-314.229,0.1467399,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376798,1,OK,0.3931574,0.0705690,-0.0174925,0.9165922,272.450,-60.098,-320.153,0.0808137,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376798,1,OK,0.5942844,-0.0281496,0.0983366,-0.7977240,365.100,-71.415,-325.176,0.3159963,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376806,1,OK,0.7361797,-0.1042852,0.1236208,-0.6571772,52.783,-43.180,-309.041,0.0975413,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376806,1,OK,0.9876995,0.0336274,0.1393066,-0.0625503,167.608,-49.970,-314.258,0.1480274,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376806,1,OK,0.3893134,0.0703060,-0.0137371,0.9183156,272.515,-55.228,-320.494,0.0699417,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,376806,1,OK,0.6363341,-0.0294968,0.0962630,-0.7648152,364.528,-64.319,-324.900,0.1645863,0
