Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86214,1,OK,0.7316150,-0.1045224,0.1225898,-0.6624095,54.775,-109.348,-310.077,0.1029307,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86214,1,OK,0.9898317,0.0400812,0.1363630,-0.0056456,170.455,-106.638,-314.894,0.1204873,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86214,1,OK,0.3072603,0.0682135,-0.0241499,0.9488703,276.161,-97.999,-320.225,0.1367931,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86214,1,OK,0.6639277,-0.0279295,0.0926774,-0.7415058,368.788,-92.228,-322.729,0.2903746,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86222,1,OK,0.7288266,-0.1049749,0.1227519,-0.6653751,55.133,-106.196,-310.245,0.0952822,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86222,1,OK,0.9898239,0.0395336,0.1365773,-0.0056890,170.420,-106.646,-315.032,0.1234512,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86222,1,OK,0.3037511,0.0678280,-0.0234715,0.9500441,276.249,-98.099,-320.351,0.1537711,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86222,1,OK,0.6653256,-0.0286586,0.0918758,-0.7403238,368.841,-92.633,-322.918,0.2823884,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86230,1,OK,0.7327449,-0.1032257,0.1240344,-0.6610936,54.873,-102.587,-310.060,0.1104388,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86230,1,OK,0.9898310,0.0387956,0.1366249,-0.0079446,170.417,-106.650,-315.183,0.1233481,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86230,1,OK,0.3038761,0.0676704,-0.0229880,0.9500271,276.357,-98.286,-320.566,0.1469882,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86230,1,OK,0.6652079,-0.0290430,0.0912926,-0.7404867,368.909,-93.078,-322.980,0.2836163,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86238,1,OK,0.7362290,-0.1034570,0.1249847,-0.6569949,54.368,-98.138,-310.165,0.0992147,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86238,1,OK,0.9898702,0.0381241,0.1362475,-0.0118372,170.490,-106.538,-315.222,0.1266213,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86238,1,OK,0.3081010,0.0680157,-0.0224542,0.9486535,276.309,-98.666,-320.820,0.1491736,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86238,1,OK,0.6618856,-0.0296843,0.0908050,-0.7434922,368.910,-93.612,-323.034,0.2956655,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86246,1,OK,0.7327183,-0.1031312,0.1235865,-0.6612218,54.464,-92.592,-309.805,0.0873865,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86246,1,OK,0.9897879,0.0374078,0.1362124,-0.0191492,170.412,-106.203,-315.255,0.1239601,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86246,1,OK,0.3519340,0.0692753,-0.0233963,0.9331645,275.510,-99.019,-321.036,0.2415480,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86246,1,OK,0.6610432,-0.0299432,0.0906357,-0.7442516,369.002,-94.446,-323.300,0.2981664,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86254,1,OK,0.7324068,-0.1052531,0.1259696,-0.6607827,53.377,-86.352,-309.875,0.1009123,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86254,1,OK,0.9900865,0.0421076,0.1336543,-0.0096051,170.246,-104.982,-315.300,0.4014817,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86254,1,OK,0.3416289,0.0714186,-0.0292777,0.9366600,274.695,-100.962,-321.282,0.1596125,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86254,1,OK,0.6627677,-0.0291189,0.0911733,-0.7426833,369.068,-95.251,-323.515,0.2785813,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86262,1,OK,0.7307491,-0.1040567,0.1233422,-0.6632983,53.855,-79.471,-309.752,0.0905036,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86262,1,OK,0.9854016,0.0420150,0.1369163,-0.0920458,168.436,-96.792,-315.786,0.1184384,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86262,1,OK,0.3290620,0.0725379,-0.0315964,0.9409878,274.162,-100.672,-322.623,0.1944585,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86262,1,OK,0.6710360,-0.0176575,0.0988918,-0.7345879,369.379,-98.857,-323.923,0.2626613,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86270,1,OK,0.7364100,-0.1025774,0.1246670,-0.6569904,53.724,-71.586,-309.704,0.1242993,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86270,1,OK,0.9845799,0.0415246,0.1352433,-0.1028945,168.194,-92.059,-315.360,0.1483881,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86270,1,OK,0.3691570,0.0686690,-0.0258731,0.9264655,274.629,-99.759,-321.263,0.2164727,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86270,1,OK,0.6633058,-0.0201852,0.1015604,-0.7411501,365.732,-102.036,-323.840,0.1794519,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86278,1,OK,0.7340550,-0.1035339,0.1268468,-0.6590553,52.780,-63.015,-309.308,0.1022227,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86278,1,OK,0.9817707,0.0426082,0.1387743,-0.1226889,166.671,-85.043,-315.266,0.1493379,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86278,1,OK,0.3803574,0.0685238,-0.0262698,0.9219233,273.880,-99.355,-321.098,0.1748820,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86278,1,OK,0.6316227,-0.0253081,0.1051277,-0.7676982,361.777,-104.383,-324.783,0.2971147,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86286,1,OK,0.7335514,-0.1051990,0.1224691,-0.6601794,53.219,-56.278,-309.500,0.0908864,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86286,1,OK,0.9790302,0.0390780,0.1420145,-0.1407289,165.696,-78.776,-316.157,0.1395816,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86286,1,OK,0.4270659,0.0737406,-0.0214544,0.9009533,270.312,-96.127,-322.817,0.1500814,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,86286,1,OK,0.5944183,-0.0215232,0.1045042,-0.7970461,365.002,-105.379,-326.174,0.3726794,0
