Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036430,1,OK,0.7377298,-0.1014466,0.1242413,-0.6557647,15.550,-9.370,-343.931,0.1047171,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036430,1,OK,0.9877320,-0.0743932,0.1300554,-0.0440096,128.973,-4.262,-346.510,0.0898040,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036430,1,OK,0.3699169,0.0234145,0.0844181,0.9249253,233.513,2.954,-351.687,0.1618712,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036430,1,OK,0.7039736,-0.0892206,0.0199023,-0.7043186,326.547,9.880,-353.522,0.2089798,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036438,1,OK,0.7371275,-0.0998017,0.1228770,-0.6569505,18.921,-9.205,-341.317,0.0753894,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036438,1,OK,0.9881774,-0.0690745,0.1300476,-0.0426817,131.756,-4.246,-343.704,0.0888579,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036438,1,OK,0.3804560,0.0252378,0.0761154,0.9213158,236.266,2.599,-348.612,0.1756894,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036438,1,OK,0.6958519,-0.0855505,0.0291907,-0.7124740,327.355,9.130,-351.630,0.2148612,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036446,1,OK,0.7417997,-0.1002466,0.1241620,-0.6513583,21.188,-9.195,-338.898,0.1080295,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036446,1,OK,0.9884433,-0.0637316,0.1321695,-0.0380702,134.067,-3.962,-341.384,0.0701601,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036446,1,OK,0.3565006,0.0308427,0.0684631,0.9312727,238.697,2.511,-346.083,0.0992174,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036446,1,OK,0.6970853,-0.0780758,0.0322236,-0.7119957,331.483,8.491,-349.291,0.2601578,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036454,1,OK,0.7403651,-0.1012904,0.1228951,-0.6530670,23.864,-9.498,-336.172,0.1215907,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036454,1,OK,0.9885126,-0.0613722,0.1325514,-0.0388130,136.851,-3.843,-339.224,0.0585360,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036454,1,OK,0.3525355,0.0348651,0.0643965,0.9329288,240.877,3.147,-343.779,0.0686018,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036454,1,OK,0.6861600,-0.0750249,0.0359530,-0.7226778,334.070,8.581,-346.869,0.2593840,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036462,1,OK,0.7356169,-0.1017979,0.1231946,-0.6582766,26.476,-9.145,-333.537,0.0837913,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036462,1,OK,0.9880119,-0.0631669,0.1318571,-0.0495589,139.667,-4.203,-336.559,0.0428960,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036462,1,OK,0.3625619,0.0338532,0.0637252,0.9291619,244.204,3.250,-341.650,0.0823128,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036462,1,OK,0.6793184,-0.0768525,0.0365716,-0.7288914,336.139,6.582,-344.639,0.1392327,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036470,1,OK,0.7367085,-0.1016279,0.1224351,-0.6572230,29.159,-9.096,-330.632,0.0791290,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036470,1,OK,0.9882446,-0.0637175,0.1320334,-0.0433576,142.330,-4.286,-333.587,0.0804549,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036470,1,OK,0.3578407,0.0328081,0.0662584,0.9308510,246.508,2.305,-338.237,0.0993989,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036470,1,OK,0.6638252,-0.0796443,0.0362978,-0.7427486,337.901,6.602,-341.882,0.2147485,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036478,1,OK,0.7340150,-0.1030740,0.1222033,-0.6600486,31.553,-9.123,-328.250,0.0924750,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036478,1,OK,0.9878311,-0.0679666,0.1318551,-0.0467379,145.036,-4.430,-331.560,0.0763474,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036478,1,OK,0.3586962,0.0323201,0.0695314,0.9302999,249.302,1.872,-336.354,0.0921246,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036478,1,OK,0.6804747,-0.0805972,0.0358988,-0.7274404,341.162,7.649,-340.098,0.1451838,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036486,1,OK,0.7310833,-0.1037184,0.1217073,-0.6632851,34.290,-9.077,-325.601,0.0801996,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036486,1,OK,0.9875456,-0.0727626,0.1315801,-0.0463241,147.771,-5.205,-328.729,0.0758625,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036486,1,OK,0.3578165,0.0308573,0.0744875,0.9303047,252.220,1.568,-333.758,0.0869138,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036486,1,OK,0.6766619,-0.0869578,0.0310269,-0.7304823,344.117,8.011,-338.474,0.1782343,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036494,1,OK,0.7334729,-0.1039574,0.1221495,-0.6605224,36.931,-9.067,-322.952,0.0719394,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036494,1,OK,0.9866752,-0.0779169,0.1300943,-0.0589623,150.718,-5.819,-326.111,0.0876180,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036494,1,OK,0.3715920,0.0273839,0.0825132,0.9243166,254.432,0.767,-330.880,0.1516601,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036494,1,OK,0.6797663,-0.0919314,0.0253106,-0.7272040,346.568,9.291,-335.019,0.3100075,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036502,1,OK,0.7334210,-0.1040236,0.1221537,-0.6605689,39.599,-9.081,-320.293,0.0799361,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036502,1,OK,0.9865549,-0.0796224,0.1303272,-0.0581767,153.246,-6.025,-323.199,0.0569516,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036502,1,OK,0.3555908,0.0257539,0.0917671,0.9297692,256.711,-1.090,-328.164,0.0861641,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2036502,1,OK,0.6880144,-0.0999342,0.0199783,-0.7185056,348.839,8.341,-332.736,0.2572117,0
