Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197046,1,OK,0.7393552,-0.1024761,0.1250196,-0.6536226,21.297,-9.353,-338.982,0.1158796,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197046,1,OK,0.9681021,-0.1976096,0.1443337,-0.0538198,134.478,-7.308,-346.014,0.0702351,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197046,1,OK,0.3159255,0.0108579,0.1961423,0.9282249,238.380,2.667,-357.304,0.0971956,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197046,1,OK,0.6867181,-0.1818459,-0.0377412,-0.7027986,328.602,10.753,-366.419,0.1202110,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197054,1,OK,0.7410447,-0.1021719,0.1224452,-0.6522430,27.230,-9.673,-333.372,0.1107216,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197054,1,OK,0.9679956,-0.2012794,0.1406135,-0.0519514,139.545,-6.454,-339.903,0.0573742,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197054,1,OK,0.3238939,-0.0015607,0.2138016,0.9216177,243.369,2.653,-351.388,0.0768339,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197054,1,OK,0.6753853,-0.1929914,-0.0590216,-0.7093134,334.453,12.941,-360.858,0.0843532,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197062,1,OK,0.7355198,-0.1033160,0.1223430,-0.6583074,32.334,-9.405,-328.051,0.0823227,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197062,1,OK,0.9690246,-0.2011352,0.1348445,-0.0485063,145.082,-5.703,-334.163,0.0691250,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197062,1,OK,0.3169291,-0.0087109,0.2252929,0.9212617,247.613,3.169,-344.378,0.0495996,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197062,1,OK,0.6835677,-0.2043635,-0.0762898,-0.6965275,339.873,15.313,-353.895,0.1638482,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197070,1,OK,0.7324817,-0.1057599,0.1229728,-0.6611831,36.807,-9.300,-323.320,0.0910927,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197070,1,OK,0.9710825,-0.1943436,0.1293611,-0.0499513,150.015,-4.991,-327.451,0.0806761,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197070,1,OK,0.3173899,-0.0168331,0.2259679,0.9208251,253.100,4.661,-336.351,0.0864449,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197070,1,OK,0.6942177,-0.2138483,-0.0928385,-0.6809638,344.722,18.863,-344.721,0.2377291,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197078,1,OK,0.7351704,-0.1053137,0.1213509,-0.6585647,42.275,-9.532,-317.795,0.1029461,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197078,1,OK,0.9747656,-0.1779500,0.1247564,-0.0510062,155.440,-3.347,-321.650,0.0661225,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197078,1,OK,0.3170124,-0.0230017,0.2164291,0.9231102,259.990,6.881,-329.040,0.1052112,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197078,1,OK,0.6962137,-0.2210308,-0.1079279,-0.6743763,349.975,21.249,-336.512,0.3059877,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197086,1,OK,0.7375984,-0.1042712,0.1209729,-0.6560805,47.754,-9.260,-312.383,0.1037190,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197086,1,OK,0.9785877,-0.1589530,0.1227404,-0.0451092,160.389,-2.544,-315.191,0.0554441,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197086,1,OK,0.3254763,-0.0210009,0.2011898,0.9236595,264.255,7.631,-321.957,0.1061640,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197086,1,OK,0.6977617,-0.2197653,-0.1114332,-0.6726176,354.712,21.434,-328.863,0.2012308,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197094,1,OK,0.7341926,-0.1049213,0.1216777,-0.6596569,52.853,-8.691,-307.634,0.1025492,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197094,1,OK,0.9818791,-0.1396371,0.1199954,-0.0449009,165.847,-1.119,-309.809,0.0604702,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197094,1,OK,0.3260143,-0.0132510,0.1769448,0.9285632,269.012,9.653,-315.498,0.0588721,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197094,1,OK,0.6931008,-0.1995873,-0.0985342,-0.6856144,359.468,23.896,-321.040,0.1686846,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197102,1,OK,0.7317133,-0.1070578,0.1201398,-0.6623448,58.150,-9.021,-302.502,0.0934723,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197102,1,OK,0.9845262,-0.1213749,0.1189217,-0.0428243,171.174,0.530,-304.251,0.0811775,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197102,1,OK,0.3115560,-0.0056414,0.1468470,0.9387955,275.768,11.311,-308.436,0.0569952,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197102,1,OK,0.6929234,-0.1608468,-0.0703572,-0.6993106,365.372,29.252,-310.454,0.1350219,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197110,1,OK,0.7351355,-0.1072432,0.1198509,-0.6585669,63.568,-9.121,-297.199,0.0851667,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197110,1,OK,0.9863781,-0.1074496,0.1179913,-0.0398848,176.859,1.441,-298.807,0.0432521,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197110,1,OK,0.3293554,0.0015327,0.1149075,0.9371867,281.064,13.022,-301.478,0.0841688,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197110,1,OK,0.6915524,-0.1281980,-0.0382688,-0.7098282,371.383,28.158,-302.954,0.1668407,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197118,1,OK,0.7372916,-0.1066321,0.1206315,-0.6561088,68.989,-8.828,-291.839,0.0932892,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197118,1,OK,0.9879462,-0.0931239,0.1206366,-0.0271482,182.005,2.117,-293.485,0.0487099,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197118,1,OK,0.3415495,0.0125553,0.0910497,0.9353589,285.691,13.532,-296.461,0.1076697,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197118,1,OK,0.6893315,-0.1037650,-0.0033012,-0.7169686,375.705,25.451,-298.891,0.2462987,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197126,1,OK,0.7339278,-0.1072153,0.1193945,-0.6599998,74.593,-8.581,-286.795,0.0720357,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197126,1,OK,0.9890535,-0.0786687,0.1225240,-0.0239238,187.442,2.428,-288.190,0.0693616,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197126,1,OK,0.3297338,0.0241725,0.0695259,0.9412000,290.865,15.776,-291.863,0.0590650,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197126,1,OK,0.6746441,-0.0788803,0.0228018,-0.7335621,382.331,23.247,-294.151,0.1533898,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197134,1,OK,0.7331979,-0.1076166,0.1192285,-0.6607753,80.004,-8.379,-281.749,0.0687622,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197134,1,OK,0.9898433,-0.0655033,0.1253570,-0.0143215,193.021,2.395,-283.221,0.0711879,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197134,1,OK,0.3337030,0.0309573,0.0592064,0.9403077,295.959,16.042,-287.188,0.0547430,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197134,1,OK,0.6834149,-0.0671376,0.0413525,-0.7257593,387.334,20.902,-290.996,0.2165656,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197142,1,OK,0.7333777,-0.1089190,0.1178996,-0.6606008,85.215,-8.655,-276.511,0.0707662,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197142,1,OK,0.9899678,-0.0579624,0.1286519,-0.0072703,198.498,2.571,-278.715,0.0817402,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197142,1,OK,0.3413292,0.0373230,0.0538893,0.9376552,300.898,15.173,-283.107,0.1033794,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197142,1,OK,0.6709408,-0.0655916,0.0458298,-0.7371810,392.999,19.510,-287.506,0.2889933,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197150,1,OK,0.7334153,-0.1092509,0.1180449,-0.6604784,90.431,-8.580,-271.171,0.0764166,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197150,1,OK,0.9896382,-0.0586048,0.1310490,-0.0028110,203.790,1.560,-273.680,0.1076113,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197150,1,OK,0.3314961,0.0415159,0.0501730,0.9412064,306.209,13.772,-278.309,0.0300611,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2197150,1,OK,0.6555361,-0.0697553,0.0395494,-0.7508944,399.821,17.352,-282.372,0.2038146,0
