Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160214,1,OK,0.7408343,-0.1013813,0.1222491,-0.6526419,22.354,-41.008,-308.610,0.0770521,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160214,1,OK,0.9891683,0.0443014,0.1386039,-0.0192967,136.258,-37.997,-313.112,0.1231864,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160214,1,OK,0.3688453,0.0708801,-0.0239214,0.9264755,242.412,-32.263,-318.617,0.1501847,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160214,1,OK,0.6759180,-0.0231143,0.0951760,-0.7304396,335.341,-31.198,-321.276,0.2393048,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160222,1,OK,0.7436895,-0.1002627,0.1223471,-0.6495417,19.813,-43.773,-308.783,0.1080421,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160222,1,OK,0.9892647,0.0454155,0.1378692,-0.0168781,133.753,-41.076,-313.329,0.1319458,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160222,1,OK,0.3721476,0.0721898,-0.0223081,0.9250931,238.807,-35.584,-318.517,0.1468684,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160222,1,OK,0.6750826,-0.0244461,0.0936239,-0.7313688,332.872,-34.744,-321.574,0.2775048,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160230,1,OK,0.7484862,-0.0996202,0.1248068,-0.6436361,16.737,-46.309,-308.781,0.1233103,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160230,1,OK,0.9889101,0.0463710,0.1393439,-0.0221328,130.764,-43.774,-313.527,0.1065825,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160230,1,OK,0.3521926,0.0724644,-0.0255096,0.9327693,236.277,-37.881,-318.706,0.0818443,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160230,1,OK,0.6613602,-0.0275797,0.0954983,-0.7434528,329.193,-36.002,-321.990,0.3211507,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160238,1,OK,0.7416670,-0.1006866,0.1232490,-0.6516149,14.390,-49.096,-308.699,0.0992843,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160238,1,OK,0.9889572,0.0473505,0.1391217,-0.0191495,128.354,-46.399,-313.385,0.1057897,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160238,1,OK,0.3274205,0.0705179,-0.0289370,0.9417992,234.762,-40.015,-318.946,0.0666264,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160238,1,OK,0.6656914,-0.0228613,0.0945993,-0.7398536,328.910,-36.514,-321.646,0.3230319,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160246,1,OK,0.7420968,-0.1007801,0.1234189,-0.6510787,11.886,-51.887,-308.889,0.1026007,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160246,1,OK,0.9893207,0.0429530,0.1376516,-0.0212510,126.374,-49.779,-313.375,0.1124922,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160246,1,OK,0.3495024,0.0719932,-0.0277593,0.9337529,232.029,-42.283,-318.882,0.0971605,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160246,1,OK,0.6752469,-0.0227979,0.0937857,-0.7312497,326.125,-39.479,-321.398,0.3214016,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160254,1,OK,0.7443441,-0.0995396,0.1220647,-0.6489560,9.784,-54.784,-308.506,0.0989462,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160254,1,OK,0.9895391,0.0429023,0.1371712,-0.0124855,123.757,-52.059,-313.367,0.1347118,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160254,1,OK,0.3500211,0.0719972,-0.0259340,0.9336108,229.070,-44.910,-318.748,0.0892863,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160254,1,OK,0.6722089,-0.0238126,0.0962125,-0.7336970,322.318,-41.804,-321.324,0.2317772,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160262,1,OK,0.7377700,-0.1014036,0.1223317,-0.6560852,6.896,-57.413,-308.558,0.0844110,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160262,1,OK,0.9896480,0.0405030,0.1369190,-0.0144736,121.371,-54.764,-313.380,0.1179551,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160262,1,OK,0.3402140,0.0719516,-0.0258284,0.9372355,227.106,-46.610,-319.674,0.0978385,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160262,1,OK,0.6891144,-0.0196783,0.0986783,-0.7176327,320.402,-42.843,-322.067,0.2894093,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160270,1,OK,0.7392385,-0.1004148,0.1221817,-0.6546106,4.466,-60.118,-308.643,0.0898710,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160270,1,OK,0.9893233,0.0406669,0.1391404,-0.0150166,118.020,-56.964,-313.361,0.1291743,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160270,1,OK,0.3404220,0.0706053,-0.0237615,0.9373170,224.563,-49.244,-319.691,0.0720524,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160270,1,OK,0.6783718,-0.0261147,0.0930427,-0.7283357,317.595,-46.675,-321.438,0.2633884,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160278,1,OK,0.7444945,-0.0985805,0.1228078,-0.6487897,2.040,-62.770,-308.724,0.1040394,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160278,1,OK,0.9895396,0.0410688,0.1377723,-0.0119781,115.718,-60.021,-313.299,0.1135367,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160278,1,OK,0.3395925,0.0696023,-0.0203623,0.9377728,221.229,-52.768,-318.951,0.1136298,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160278,1,OK,0.6928063,-0.0277821,0.0910496,-0.7148129,314.638,-47.773,-321.707,0.2357658,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160286,1,OK,0.7437198,-0.0982417,0.1216753,-0.6499420,-0.243,-65.601,-308.629,0.0981267,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160286,1,OK,0.9897055,0.0422263,0.1362246,-0.0119507,113.504,-62.687,-313.095,0.1135853,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160286,1,OK,0.3361990,0.0680435,-0.0219753,0.9390726,219.420,-54.364,-319.016,0.1157538,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160286,1,OK,0.6847433,-0.0300310,0.0904429,-0.7225267,311.675,-49.114,-321.988,0.2786834,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160294,1,OK,0.7390319,-0.0975614,0.1214101,-0.6554184,-2.611,-67.965,-308.590,0.1009175,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160294,1,OK,0.9895570,0.0413228,0.1375260,-0.0124930,110.718,-65.484,-313.463,0.1107606,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160294,1,OK,0.3388234,0.0669723,-0.0213241,0.9382210,216.939,-56.630,-318.893,0.0641089,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160294,1,OK,0.6714080,-0.0302058,0.0878839,-0.7352382,309.732,-51.509,-321.090,0.3706972,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160302,1,OK,0.7395214,-0.0978922,0.1213265,-0.6548321,-5.110,-70.777,-308.872,0.0886582,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160302,1,OK,0.9894674,0.0404202,0.1381664,-0.0151808,108.062,-67.792,-313.672,0.0965166,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160302,1,OK,0.3352360,0.0671002,-0.0206274,0.9395152,214.472,-59.259,-319.061,0.0619494,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160302,1,OK,0.6824556,-0.0265309,0.0895893,-0.7249305,307.568,-53.768,-320.992,0.3101827,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160310,1,OK,0.7420961,-0.0977736,0.1228887,-0.6516380,-7.787,-73.088,-308.673,0.0866308,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160310,1,OK,0.9897185,0.0402322,0.1371691,-0.0048376,105.681,-70.341,-313.386,0.1310460,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160310,1,OK,0.3363019,0.0690077,-0.0208594,0.9389909,211.189,-61.868,-318.465,0.1071484,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160310,1,OK,0.6866923,-0.0263536,0.0931510,-0.7204735,304.941,-56.327,-322.208,0.2850792,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160318,1,OK,0.7424683,-0.0974004,0.1221711,-0.6514047,-9.666,-75.309,-308.622,0.1010614,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160318,1,OK,0.9897162,0.0377876,0.1376213,-0.0097101,103.506,-73.069,-313.385,0.1193156,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160318,1,OK,0.3321024,0.0704230,-0.0235400,0.9403161,209.450,-63.869,-319.367,0.0858175,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160318,1,OK,0.6947464,-0.0215712,0.0945300,-0.7126894,304.135,-57.917,-322.569,0.2886406,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160326,1,OK,0.7348676,-0.0985826,0.1206952,-0.6600635,-11.257,-77.253,-308.600,0.0742811,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160326,1,OK,0.9896955,0.0384280,0.1373584,-0.0126039,101.786,-75.535,-312.971,0.1148758,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160326,1,OK,0.3376578,0.0677811,-0.0222370,0.9385619,207.959,-67.132,-318.556,0.1504672,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160326,1,OK,0.6799259,-0.0247133,0.0922175,-0.7270391,302.085,-61.494,-321.756,0.2747976,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160334,1,OK,0.7332151,-0.0974822,0.1194259,-0.6622917,-12.201,-78.715,-308.803,0.0739680,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160334,1,OK,0.9895087,0.0399513,0.1373526,-0.0202665,100.621,-77.739,-313.492,0.1130977,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160334,1,OK,0.3341775,0.0696914,-0.0242391,0.9396174,206.592,-69.212,-319.319,0.1381333,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160334,1,OK,0.6783157,-0.0260890,0.0885795,-0.7289450,300.596,-64.967,-320.610,0.2184469,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160342,1,OK,0.7373402,-0.0966600,0.1197104,-0.6577657,-13.203,-79.847,-308.680,0.0734565,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160342,1,OK,0.9893492,0.0421402,0.1378665,-0.0201275,99.425,-79.681,-313.706,0.1210993,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160342,1,OK,0.3327342,0.0699944,-0.0233494,0.9401295,205.386,-72.381,-319.612,0.0742336,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160342,1,OK,0.6693583,-0.0275417,0.0906396,-0.7368754,299.678,-66.572,-321.801,0.3207634,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160350,1,OK,0.7382398,-0.0975065,0.1210826,-0.6563790,-14.296,-80.625,-308.454,0.0920260,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160350,1,OK,0.9891645,0.0371190,0.1381371,-0.0330743,98.770,-82.224,-313.611,0.0951730,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160350,1,OK,0.3566781,0.0703152,-0.0221542,0.9313139,204.800,-74.940,-319.577,0.1397905,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160350,1,OK,0.6784714,-0.0276129,0.0899613,-0.7285747,298.812,-69.659,-321.852,0.2789109,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160358,1,OK,0.7315979,-0.0986848,0.1200919,-0.6637798,-14.843,-81.150,-308.491,0.0810460,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160358,1,OK,0.9891457,0.0352780,0.1373770,-0.0383910,98.412,-83.599,-313.580,0.0941170,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160358,1,OK,0.3593720,0.0673695,-0.0204579,0.9305346,204.784,-78.196,-319.067,0.1446828,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160358,1,OK,0.6945932,-0.0232218,0.0912707,-0.7132115,298.793,-72.141,-321.573,0.2825932,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160366,1,OK,0.7362650,-0.0965190,0.1199655,-0.6589432,-14.835,-81.301,-308.699,0.0865540,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160366,1,OK,0.9892083,0.0347817,0.1365911,-0.0400010,98.269,-84.528,-313.643,0.1127139,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160366,1,OK,0.3541233,0.0672803,-0.0215122,0.9325273,204.836,-79.928,-319.630,0.0973051,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160366,1,OK,0.6834357,-0.0234504,0.0932566,-0.7236497,297.609,-75.519,-321.033,0.2165716,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160374,1,OK,0.7384334,-0.0956889,0.1202576,-0.6565804,-14.859,-81.310,-308.531,0.0914661,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160374,1,OK,0.9889960,0.0352057,0.1381467,-0.0395348,97.713,-85.047,-313.641,0.1258911,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160374,1,OK,0.3548215,0.0689486,-0.0201891,0.9321696,204.151,-81.982,-319.899,0.0633926,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160374,1,OK,0.6813638,-0.0257019,0.0931974,-0.7255322,297.669,-78.863,-321.864,0.1960002,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160382,1,OK,0.7350702,-0.0981664,0.1200270,-0.6600218,-15.292,-81.648,-308.439,0.0564394,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160382,1,OK,0.9885507,0.0324213,0.1376621,-0.0525874,97.981,-85.864,-313.677,0.0917921,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160382,1,OK,0.3631240,0.0688952,-0.0182199,0.9290115,203.956,-84.140,-319.817,0.0964799,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160382,1,OK,0.6616105,-0.0273963,0.0913724,-0.7437554,298.314,-82.005,-322.231,0.2466109,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160390,1,OK,0.7377070,-0.0961920,0.1210281,-0.6571816,-15.194,-81.321,-308.698,0.0736628,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160390,1,OK,0.9886067,0.0355310,0.1378918,-0.0487872,97.852,-85.879,-313.662,0.1111900,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160390,1,OK,0.3604048,0.0677925,-0.0170622,0.9301728,204.069,-85.734,-319.895,0.0647560,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160390,1,OK,0.6647046,-0.0263061,0.0910458,-0.7410711,298.445,-84.951,-322.635,0.1622271,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160398,1,OK,0.7344431,-0.0988621,0.1200553,-0.6606105,-15.437,-81.740,-308.696,0.0579579,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160398,1,OK,0.9879328,0.0332634,0.1396572,-0.0581227,97.562,-86.240,-314.026,0.0981904,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160398,1,OK,0.3761031,0.0693171,-0.0151655,0.9238569,203.858,-86.568,-320.674,0.1226447,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160398,1,OK,0.6726915,-0.0252806,0.0902460,-0.7339637,299.331,-87.984,-323.786,0.2055048,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160406,1,OK,0.7360281,-0.0984208,0.1205921,-0.6588122,-14.970,-81.230,-308.558,0.0775827,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160406,1,OK,0.9882878,0.0351114,0.1385339,-0.0535046,97.717,-85.870,-313.662,0.1003279,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160406,1,OK,0.3909817,0.0682217,-0.0145440,0.9177514,204.015,-87.180,-320.374,0.1295204,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160406,1,OK,0.6616515,-0.0242347,0.0885808,-0.7441663,299.781,-90.808,-323.285,0.2132726,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160414,1,OK,0.7357826,-0.0982121,0.1204041,-0.6591518,-15.131,-81.420,-308.553,0.0742839,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160414,1,OK,0.9888436,0.0363705,0.1372288,-0.0450964,97.875,-85.911,-313.174,0.1273716,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160414,1,OK,0.3900909,0.0677945,-0.0141882,0.9181676,204.074,-87.748,-320.481,0.0775231,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1160414,1,OK,0.6415138,-0.0257687,0.0893723,-0.7614516,298.409,-93.635,-322.804,0.2162581,0
