Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846766,1,OK,0.7429637,-0.1011348,0.1242631,-0.6498734,36.043,-26.016,-308.809,0.1223417,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846766,1,OK,0.9805236,0.0339087,0.1412174,-0.1322172,149.182,-44.556,-315.227,0.1255238,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846766,1,OK,0.4435801,0.0731563,-0.0178876,0.8930649,253.001,-61.592,-321.694,0.0995121,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846766,1,OK,0.5863860,-0.0194034,0.1050223,-0.8029603,345.640,-80.747,-326.824,0.3420672,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846774,1,OK,0.7394897,-0.1029298,0.1231372,-0.6537566,40.986,-20.881,-309.117,0.1070343,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846774,1,OK,0.9821456,0.0419523,0.1390880,-0.1195179,154.433,-39.275,-314.753,0.1685684,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846774,1,OK,0.4660447,0.0726544,-0.0188055,0.8815725,257.403,-58.401,-320.675,0.1623933,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846774,1,OK,0.5662935,-0.0179216,0.1026963,-0.8175842,349.709,-81.235,-325.816,0.2526776,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846782,1,OK,0.7371114,-0.1040734,0.1221404,-0.6564429,46.040,-15.565,-308.989,0.0844041,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846782,1,OK,0.9813468,0.0483885,0.1387992,-0.1239023,159.258,-33.612,-314.568,0.1714960,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846782,1,OK,0.5006961,0.0735279,-0.0225371,0.8622002,263.021,-53.746,-321.135,0.2267943,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846782,1,OK,0.5420258,-0.0153621,0.1052917,-0.8335980,352.840,-79.708,-325.160,0.2429894,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846790,1,OK,0.7408399,-0.1031567,0.1236571,-0.6520919,51.028,-9.736,-308.919,0.0922370,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846790,1,OK,0.9799355,0.0504031,0.1396829,-0.1329458,164.108,-27.898,-314.448,0.1549065,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846790,1,OK,0.4993366,0.0751446,-0.0289947,0.8626561,267.656,-48.986,-320.822,0.2400651,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846790,1,OK,0.5462413,-0.0136158,0.1089626,-0.8303988,355.906,-77.355,-326.282,0.2557380,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846798,1,OK,0.7393829,-0.1046026,0.1234573,-0.6535515,55.952,-4.468,-308.748,0.0840614,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846798,1,OK,0.9804953,0.0517434,0.1388603,-0.1291098,169.489,-21.968,-314.330,0.1493928,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846798,1,OK,0.5031776,0.0775627,-0.0343722,0.8600086,272.458,-43.859,-320.750,0.1706585,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846798,1,OK,0.5196331,-0.0079662,0.1114478,-0.8470522,362.041,-73.608,-325.284,0.3039373,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846806,1,OK,0.7401015,-0.1048564,0.1221005,-0.6529520,61.322,0.736,-309.118,0.1175875,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846806,1,OK,0.9819248,0.0490952,0.1389798,-0.1187347,174.350,-16.678,-314.232,0.1989393,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846806,1,OK,0.5179688,0.0767815,-0.0323594,0.8513318,277.251,-39.706,-320.236,0.2108461,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846806,1,OK,0.5204267,0.0007696,0.1114476,-0.8466020,368.495,-70.440,-323.670,0.2728434,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846814,1,OK,0.7378574,-0.1045259,0.1229656,-0.6553780,66.106,6.378,-308.662,0.0976667,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846814,1,OK,0.9805075,0.0460860,0.1396316,-0.1303232,179.567,-10.588,-313.987,0.1523302,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846814,1,OK,0.5214438,0.0808789,-0.0308516,0.8488835,280.603,-33.452,-320.380,0.2135976,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846814,1,OK,0.5299955,0.0053825,0.1179050,-0.8397465,373.666,-63.026,-324.988,0.2362244,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846822,1,OK,0.7424237,-0.1049976,0.1240301,-0.6499224,70.793,11.813,-308.903,0.1073477,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846822,1,OK,0.9789697,0.0462685,0.1403633,-0.1406262,184.394,-5.003,-313.477,0.1047655,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846822,1,OK,0.5210429,0.0817336,-0.0279926,0.8491468,285.594,-27.102,-321.188,0.2108477,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846822,1,OK,0.5107948,-0.0027283,0.1226853,-0.8508992,376.770,-54.782,-326.690,0.3801800,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846830,1,OK,0.7404966,-0.1045284,0.1228118,-0.6524231,76.490,17.241,-308.720,0.1114927,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846830,1,OK,0.9801810,0.0491305,0.1400978,-0.1311641,189.220,-0.138,-313.345,0.1406929,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846830,1,OK,0.5060590,0.0792052,-0.0273478,0.8584188,291.399,-20.634,-320.384,0.1651077,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846830,1,OK,0.5622222,-0.0027824,0.1126697,-0.8192704,382.703,-50.190,-325.779,0.2997052,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846838,1,OK,0.7378480,-0.1060912,0.1218827,-0.6553393,81.557,22.378,-308.631,0.1110234,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846838,1,OK,0.9807399,0.0477991,0.1388489,-0.1287845,194.795,5.055,-313.287,0.1520274,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846838,1,OK,0.4939522,0.0732421,-0.0228587,0.8660972,297.958,-16.025,-319.960,0.1371313,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1846838,1,OK,0.5385596,-0.0148045,0.1081068,-0.8354923,387.084,-43.439,-325.756,0.2597601,0
