Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376918,1,OK,-162.7638485,-0.7766445,0.6675713,37.049,-40.000,-240.478,0.0697960,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376918,1,OK,19.3944524,-5.4406178,12.5721695,226.153,-107.372,-244.463,0.1570425,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376918,1,OK,13.6114014,-4.5430842,8.8682126,309.064,-138.141,-246.174,0.0851990,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376918,1,OK,106.1679097,-7.5895377,-2.8496351,135.335,-73.046,-241.982,0.0578053,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376926,1,OK,-160.5475340,-0.4304754,-1.7982642,36.359,-29.049,-237.725,0.0194019,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376926,1,OK,24.4258140,-7.5079677,12.6458724,232.216,-95.316,-246.955,0.0216335,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376926,1,OK,21.8325872,-8.0919141,6.6040332,323.373,-128.091,-242.576,0.1651127,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376926,1,OK,106.2718232,-9.8513606,-2.5267914,134.278,-60.569,-242.916,0.0376634,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376934,1,OK,-161.8365286,-0.6022991,1.2203581,37.706,-27.064,-239.639,0.0477009,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376934,1,OK,22.5629455,-5.6775635,10.7254947,227.593,-90.412,-239.364,0.0591628,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376934,1,OK,16.6931367,-4.6008125,8.2620015,306.664,-116.045,-239.936,0.0969016,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376934,1,OK,106.7121219,-5.7023109,-3.2565168,137.757,-59.443,-239.185,0.0667795,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376942,1,OK,-160.1825296,-0.1190280,-0.8035089,37.778,-17.926,-236.401,0.0339674,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376942,1,OK,27.0659977,-6.7810209,13.4019193,231.193,-73.247,-246.482,0.0539994,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376942,1,OK,20.8658657,-6.0117807,8.3015327,319.617,-102.391,-244.915,0.0699421,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376942,1,OK,107.8144291,-9.2162569,-1.8329401,134.968,-45.120,-241.591,0.0474814,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376950,1,OK,-160.1946694,-0.5959563,0.3822462,37.706,-13.873,-240.026,0.0524760,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376950,1,OK,25.6424237,-6.3526554,10.9541339,232.481,-69.762,-241.175,0.0779368,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376950,1,OK,15.9590540,-5.0515846,7.8190389,315.767,-94.582,-239.655,0.0966764,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376950,1,OK,110.0218613,-6.1064017,-2.9601268,139.779,-42.379,-242.438,0.0284168,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376958,1,OK,-158.2043419,-0.6682540,-1.5721343,37.190,-6.313,-238.622,0.0220989,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376958,1,OK,29.0815229,-7.1855133,12.5871155,236.851,-54.890,-245.957,0.0305266,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376958,1,OK,22.4635898,-7.3113922,7.5125041,327.604,-80.720,-241.338,0.1237022,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376958,1,OK,111.7573289,-9.1675407,-2.5766396,138.845,-29.217,-243.660,0.0471632,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376966,1,OK,-159.4528663,-0.3512249,-0.4250732,37.891,-2.182,-238.795,0.0375394,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376966,1,OK,29.5636470,-6.2797377,11.2283392,235.970,-49.362,-243.465,0.0312655,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376966,1,OK,21.7969202,-5.4350084,7.2208486,322.327,-72.444,-241.327,0.0692609,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376966,1,OK,113.1926571,-7.2609006,-2.6707356,139.916,-24.871,-242.349,0.0437806,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376974,1,OK,-158.8862753,-0.4382581,-0.1192142,38.649,0.260,-238.990,0.0262760,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376974,1,OK,31.3720150,-5.2588794,13.0306131,232.877,-38.177,-245.494,0.0845764,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376974,1,OK,23.0317644,-4.4501894,9.1130950,321.050,-57.483,-245.281,0.0786109,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376974,1,OK,114.0367241,-8.4147521,-1.9855440,138.485,-17.088,-240.619,0.0232913,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376982,1,OK,-156.9995584,-0.7947087,-0.8429224,36.877,5.731,-237.070,0.0421856,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376982,1,OK,32.1169003,-6.9478969,11.7336815,240.220,-29.025,-244.386,0.0765114,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376982,1,OK,20.6406630,-6.2767471,7.5961618,331.814,-48.660,-240.924,0.0744460,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376982,1,OK,115.1748719,-7.6387205,-2.3102954,139.956,-11.208,-241.547,0.0062579,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376990,1,OK,-157.2120136,-1.0213852,-0.7969845,37.674,7.732,-241.284,0.0414133,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376990,1,OK,33.3534224,-6.0822490,13.2580854,239.315,-18.176,-246.108,0.0947630,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376990,1,OK,24.3382923,-5.3871358,9.2639342,329.380,-32.596,-243.865,0.0374550,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376990,1,OK,118.5152309,-8.5734155,-2.8024009,141.647,-3.656,-242.176,0.0330819,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376998,1,OK,-157.4018726,-0.4092129,-1.4691035,37.306,11.295,-235.888,0.0404484,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376998,1,OK,37.0032771,-7.6734437,12.9434532,241.236,-7.674,-244.179,0.0828884,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376998,1,OK,29.0561999,-6.6740100,8.1957246,334.592,-20.791,-243.062,0.1090172,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8376998,1,OK,118.5164308,-8.9021671,-2.3106166,140.240,2.532,-241.335,0.0602372,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377006,1,OK,-157.8441856,-1.0029294,0.5165090,38.458,8.717,-241.160,0.0275821,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377006,1,OK,36.4364554,-5.3314973,11.3242113,240.633,-7.148,-244.054,0.0744811,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377006,1,OK,29.1987234,-5.9370667,8.7932606,331.718,-10.073,-242.101,0.0642780,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377006,1,OK,122.6466556,-7.2683854,-2.7137094,142.602,3.840,-241.335,0.0630441,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377014,1,OK,-157.3815790,-0.6902309,-0.9703609,37.475,11.372,-235.682,0.0326742,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377014,1,OK,45.8225878,-8.8264032,12.6308145,242.348,10.368,-244.070,0.1641577,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377014,1,OK,36.4977788,-6.7104245,7.8746888,333.422,2.781,-241.783,0.1721365,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377014,1,OK,124.5198034,-8.6720069,-2.3454357,140.495,10.943,-240.771,0.0408277,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377022,1,OK,-156.6964906,-0.6607236,-0.5551821,38.416,10.473,-241.404,0.0477180,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377022,1,OK,42.0322469,-6.8168024,12.3294694,243.547,14.813,-244.861,0.0502361,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377022,1,OK,29.8690549,-5.2190237,8.6375796,334.337,13.735,-242.669,0.1058788,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377022,1,OK,129.0321325,-7.5226489,-3.5428612,143.325,13.078,-241.605,0.0935124,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377030,1,OK,-154.4463255,-0.7270029,-1.7209879,36.770,10.707,-236.934,0.0416984,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377030,1,OK,49.3199253,-8.2053179,12.4615018,241.190,24.521,-243.541,0.0967837,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377030,1,OK,37.8978106,-5.8909433,8.0006658,333.654,26.800,-242.391,0.1162530,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8377030,1,OK,126.3578069,-9.0667571,-2.2495741,140.374,18.069,-240.912,0.1018912,0
