Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561830,1,OK,-158.3789810,-0.3888847,0.2119679,39.605,2.727,-242.100,0.0646154,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561830,1,OK,36.8070415,-1.3736182,8.8252422,242.659,4.635,-247.643,0.0689603,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561830,1,OK,27.6663940,1.5561310,-0.1840035,331.950,-0.800,-245.019,0.1111054,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561830,1,OK,130.0300816,-8.5023914,-2.6411830,143.389,11.072,-246.166,0.1691798,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561838,1,OK,-154.6001078,-0.6245735,-2.7998367,36.353,3.377,-237.012,0.0464154,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561838,1,OK,44.7851082,-3.7693134,9.1843522,241.414,15.198,-243.394,0.0830564,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561838,1,OK,37.4269198,1.8790857,-0.8322155,330.526,8.010,-243.024,0.1244211,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561838,1,OK,127.7515285,-8.4327501,-2.4847585,140.100,11.650,-238.630,0.0745519,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561846,1,OK,-155.5553028,-1.8377842,0.1589468,36.616,-6.960,-241.401,0.0366665,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561846,1,OK,43.5849456,-1.6058680,6.8279158,242.344,14.580,-243.756,0.1712691,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561846,1,OK,33.6016645,1.2292004,-2.2589653,335.775,15.203,-243.254,0.0957637,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561846,1,OK,129.1617253,-4.8483377,-1.4745179,141.989,7.019,-239.703,0.0635193,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561854,1,OK,-155.2130216,-0.3017517,-0.8057058,37.685,-11.285,-235.649,0.0336540,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561854,1,OK,51.8168694,-2.3786802,8.6913939,236.037,25.289,-243.457,0.0972609,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561854,1,OK,44.4249542,-0.8936719,0.7068014,329.735,36.337,-240.375,0.1600342,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561854,1,OK,132.8389572,-6.6743748,0.5051472,135.987,9.597,-241.081,0.0922403,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561862,1,OK,-156.3674564,-0.5195500,0.1189131,38.404,-19.602,-239.983,0.0658156,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561862,1,OK,52.6818788,-2.2670283,7.5514639,235.281,29.450,-241.646,0.0752633,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561862,1,OK,42.5312317,-1.2057501,0.4633494,325.340,47.992,-237.346,0.0444572,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561862,1,OK,142.0115176,-5.0576824,-1.4980118,139.096,9.028,-241.692,0.1453236,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561870,1,OK,-156.1703534,-1.0605463,-1.3255195,35.477,-24.184,-238.184,0.0476731,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561870,1,OK,60.9234337,-3.4543600,7.0243375,232.501,34.131,-239.757,0.1095997,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561870,1,OK,52.3287687,-1.9179146,0.3407089,321.695,58.415,-236.155,0.1853366,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561870,1,OK,140.3847357,-4.3186345,-0.6344909,135.855,4.907,-238.896,0.0301064,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561878,1,OK,-156.9135137,-0.1965395,0.1423428,37.966,-33.993,-239.030,0.0680849,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561878,1,OK,64.7873946,-3.1640056,5.1368799,231.563,35.699,-237.887,0.0300879,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561878,1,OK,55.5606971,-2.5461587,-0.3100296,317.333,68.040,-233.016,0.1183568,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561878,1,OK,145.6227617,-2.8834163,-0.4437747,136.543,-0.076,-239.915,0.0630432,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561886,1,OK,-155.8879521,-0.6004014,-0.4055084,37.349,-41.422,-238.133,0.0394662,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561886,1,OK,66.2263914,-1.0652309,5.8548209,224.319,34.364,-240.124,0.0159510,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561886,1,OK,58.2002489,-1.5634583,-0.2004870,310.167,72.044,-235.042,0.0699105,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561886,1,OK,146.7604675,-4.1258030,-0.6302220,132.405,-4.289,-237.025,0.0459131,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561894,1,OK,-156.2322754,-0.5935483,-0.4301964,36.235,-48.645,-236.978,0.0462335,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561894,1,OK,69.6835493,0.1492837,3.5821529,223.850,32.988,-240.223,0.0482887,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561894,1,OK,60.8624278,-0.0306466,-2.9786426,307.881,74.098,-235.512,0.0735101,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561894,1,OK,148.1019484,-1.7122358,0.5876381,133.077,-10.937,-238.541,0.0292131,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561902,1,OK,-156.8884940,-1.3229824,-0.6463970,36.648,-58.033,-240.417,0.0828464,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561902,1,OK,74.5179965,-0.3501023,3.7929480,220.353,33.884,-239.616,0.0569210,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561902,1,OK,61.4749586,0.4009199,-3.0276037,300.162,79.693,-235.433,0.0366894,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8561902,1,OK,151.8667484,-2.6985469,1.4782512,130.611,-13.396,-242.237,0.0720664,0
