Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712206,1,OK,-164.7046824,0.0937584,-0.7805008,34.867,-87.364,-235.959,0.1491966,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712206,1,OK,9.0596411,0.8095845,4.5950595,212.461,-181.061,-238.796,0.1666925,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712206,1,OK,0.4816561,-2.6364075,6.2281925,283.853,-228.050,-238.450,0.2302282,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712206,1,OK,95.6288008,3.6162319,4.5825239,130.599,-134.034,-237.695,0.0472069,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712214,1,OK,-161.7158924,1.1354893,-1.9886368,38.410,-81.275,-235.733,0.0487255,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712214,1,OK,9.7674809,0.7540484,5.0032226,210.948,-177.005,-243.138,0.0919326,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712214,1,OK,2.5433788,-3.0199122,3.8507970,288.548,-230.252,-240.690,0.1350991,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712214,1,OK,92.9680536,1.4907511,4.7214113,127.154,-122.474,-239.027,0.0522397,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712222,1,OK,-164.3078787,-1.7723501,-0.3005199,33.653,-74.317,-238.393,0.0812774,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712222,1,OK,6.4217041,-0.4701959,3.4177677,208.013,-171.855,-235.986,0.0731508,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712222,1,OK,0.7081003,-3.2871109,0.3163802,282.345,-224.980,-229.201,0.0375031,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712222,1,OK,90.4153484,3.5840579,3.0040381,128.618,-117.873,-238.410,0.0378928,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712230,1,OK,-161.7802350,-2.4210981,-1.6449647,33.283,-62.013,-239.685,0.0713838,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712230,1,OK,7.3174758,-0.9335282,4.9702210,211.101,-163.427,-242.635,0.0472063,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712230,1,OK,2.9138121,-3.0407391,-0.0448325,286.421,-219.713,-234.079,0.1228172,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712230,1,OK,91.1046920,0.7697660,3.4447254,128.060,-104.629,-240.949,0.0668562,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712238,1,OK,-163.3230824,-0.7968430,-0.4741345,35.512,-51.920,-237.564,0.0637179,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712238,1,OK,4.1493544,-1.5161759,5.1084261,208.556,-152.398,-237.575,0.0725810,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712238,1,OK,-0.1236673,-2.2120715,1.7997004,277.700,-205.959,-234.999,0.0925103,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712238,1,OK,90.7125827,1.3819903,2.4032786,127.925,-96.022,-238.141,0.0656896,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712246,1,OK,-164.7496272,-0.1347359,0.2298948,38.666,-44.031,-238.313,0.0798346,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712246,1,OK,4.6922486,-0.3903249,5.6095896,206.685,-143.010,-239.872,0.0502313,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712246,1,OK,-2.2750596,-2.1899354,3.2070832,276.899,-197.266,-237.193,0.1074197,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712246,1,OK,89.7081772,1.4668016,3.2463024,127.959,-86.119,-238.048,0.0148505,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712254,1,OK,-161.8687372,-0.8404680,-1.9183611,35.175,-28.918,-235.922,0.0210009,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712254,1,OK,4.9971407,-1.1724819,5.0555910,211.725,-133.255,-241.091,0.1471707,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712254,1,OK,-2.2609837,-4.5987662,2.7954506,285.300,-190.379,-234.646,0.1518814,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712254,1,OK,92.0092047,0.4487151,3.5784503,127.595,-74.302,-239.955,0.0902520,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712262,1,OK,-162.3867504,-1.8275316,0.3913218,36.127,-24.491,-240.734,0.0371300,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712262,1,OK,6.2702289,0.5542849,5.4617232,209.781,-121.873,-242.630,0.0380035,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712262,1,OK,-1.1583942,-1.5364049,2.5931461,282.311,-177.248,-241.059,0.0446381,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712262,1,OK,92.6713815,1.0706681,3.4333072,129.543,-68.115,-241.643,0.0601039,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712270,1,OK,-161.7940688,-0.2191753,-1.5529507,36.982,-12.369,-235.974,0.0258628,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712270,1,OK,9.4695382,0.0257459,6.2874730,214.389,-110.065,-247.201,0.0426651,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712270,1,OK,4.8473944,-1.7013958,1.9077772,291.723,-162.405,-244.074,0.1864553,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712270,1,OK,92.8731230,-2.0789494,3.1276245,128.342,-54.348,-240.535,0.0738398,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712278,1,OK,-164.7220466,-1.3675583,0.9892531,37.585,-10.327,-241.380,0.0912166,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712278,1,OK,6.9692242,0.4207045,3.1535957,212.315,-105.433,-238.230,0.0887253,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712278,1,OK,-1.9004756,0.3029801,-1.7838298,286.528,-154.238,-236.764,0.2427955,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8712278,1,OK,91.0234942,0.7252419,1.6065365,132.318,-52.426,-240.593,0.0662518,0
