Tools,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560534,1,OK,16.6115303,-5.5700729,20.8253821,227.556,-132.880,-256.694,0.0914253,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560534,1,OK,121.9291688,-13.8159733,-10.7767892,320.868,-172.505,-246.565,0.1297259,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560534,1,OK,-167.0898049,-4.7537721,-2.3318267,33.039,-56.821,-240.309,0.0348330,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560534,1,OK,72.1793068,-22.9730970,3.6041182,131.868,-88.831,-252.851,0.0468136,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560542,1,OK,14.2143169,-3.9438808,19.7032970,219.778,-122.211,-243.399,0.1140833,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560542,1,OK,121.8349961,-15.0601314,-8.0707330,299.907,-158.120,-241.389,0.1903743,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560542,1,OK,-171.7541675,-4.4659082,1.0719576,35.327,-54.436,-241.533,0.1201790,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560542,1,OK,76.8487782,-20.2538245,-0.3818435,135.166,-85.371,-245.055,0.0860778,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560550,1,OK,18.2761391,-4.9777509,21.7603450,226.583,-108.427,-255.265,0.0415704,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560550,1,OK,121.9680307,-15.8276581,-9.8565300,319.553,-147.025,-249.868,0.1760135,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560550,1,OK,-167.6997005,-3.5921331,-1.7853265,35.493,-42.186,-238.147,0.0579198,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560550,1,OK,74.8003282,-22.6484673,3.9652768,130.858,-69.395,-249.460,0.0180805,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560558,1,OK,18.2114338,-5.6557788,18.8613814,226.788,-102.304,-243.726,0.1176437,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560558,1,OK,124.3510054,-14.9865247,-9.4501919,305.787,-135.112,-239.026,0.1477613,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560558,1,OK,-168.7851431,-3.6164078,-0.1563390,35.901,-37.411,-241.418,0.0690126,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560558,1,OK,78.2424109,-20.6202272,-0.7741273,137.508,-65.918,-245.383,0.0434924,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560566,1,OK,20.3481849,-5.4968497,20.8362268,232.388,-86.420,-253.576,0.0927943,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560566,1,OK,119.7042484,-15.7064120,-9.3503642,324.510,-122.101,-245.409,0.2861784,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560566,1,OK,-167.2121686,-4.5470245,-2.3340076,33.995,-27.591,-240.224,0.0376768,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560566,1,OK,78.1896756,-21.4704279,3.1965943,134.087,-52.016,-250.679,0.0404512,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560574,1,OK,21.4996033,-4.0467415,18.6248388,228.546,-79.482,-247.297,0.0365469,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560574,1,OK,125.0377094,-15.4208063,-8.3090166,313.727,-107.947,-243.042,0.0599259,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560574,1,OK,-169.4014512,-3.8896543,-0.6278379,35.799,-23.165,-240.852,0.0826564,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560574,1,OK,80.9689328,-18.9565714,0.7121510,137.035,-47.373,-246.759,0.0267886,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560582,1,OK,22.2254693,-2.6937470,20.1034184,228.304,-64.077,-250.693,0.0335185,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560582,1,OK,127.0171770,-15.9916074,-8.3778097,322.114,-91.255,-248.919,0.1243070,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560582,1,OK,-167.5099679,-3.4494753,-0.6889541,36.864,-17.628,-239.464,0.0357487,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560582,1,OK,83.1638276,-19.1321619,2.2474985,134.857,-36.788,-247.193,0.0327854,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560590,1,OK,25.4467867,-4.5290231,16.3106640,235.957,-57.665,-245.979,0.0618523,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560590,1,OK,131.1557646,-12.4189622,-9.2048420,327.140,-81.476,-240.021,0.1397059,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560590,1,OK,-167.4852835,-3.7818967,-0.8977781,35.845,-10.944,-239.859,0.0541496,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560590,1,OK,84.8591113,-17.3859302,0.2626839,139.170,-30.437,-247.446,0.0276785,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560598,1,OK,24.8284176,-1.7757735,18.1881124,233.754,-41.644,-249.731,0.0984854,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560598,1,OK,131.1311684,-13.7292909,-6.5323336,325.805,-66.066,-245.676,0.1211282,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560598,1,OK,-165.8757066,-3.9419882,-1.6779119,36.539,-5.175,-242.028,0.0276696,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560598,1,OK,86.9782240,-17.7427471,1.8361731,137.879,-20.950,-248.160,0.0362291,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560606,1,OK,29.5977839,-2.7553600,16.4317678,239.293,-29.468,-250.379,0.0474652,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560606,1,OK,129.7594113,-12.7803266,-5.3060670,330.827,-51.325,-244.664,0.0740456,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560606,1,OK,-167.0584135,-3.3087430,-2.2484520,36.426,0.706,-237.997,0.0527269,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,560606,1,OK,88.8323740,-17.4100608,1.9755106,137.372,-11.879,-247.703,0.0595766,0
