Tools,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564166,1,OK,37.1411041,0.4721712,12.2841497,237.910,-218.449,-254.414,0.2152175,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564166,1,OK,138.6108357,-8.6086925,-3.6642163,340.459,-225.657,-243.039,0.2048311,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564166,1,OK,-168.2595874,-6.2310875,-1.9913436,30.590,-188.684,-242.843,0.1101912,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564166,1,OK,90.4572978,-12.0001679,3.8744313,133.414,-206.207,-252.682,0.0400248,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564174,1,OK,35.9622730,0.8872309,13.1339659,226.448,-215.495,-246.597,0.0741168,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564174,1,OK,136.7507257,-12.4140336,-2.9077575,312.336,-219.498,-242.896,0.1795116,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564174,1,OK,-167.6455430,-6.6023350,-0.6459105,29.229,-187.209,-239.883,0.1523548,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564174,1,OK,88.7967308,-10.6105951,4.4115518,129.299,-207.934,-248.916,0.0858775,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564182,1,OK,35.4915264,-0.8877759,14.3337983,229.542,-215.991,-252.660,0.0629915,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564182,1,OK,135.9106589,-11.6815992,-4.8201543,328.728,-231.125,-248.786,0.1636358,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564182,1,OK,-166.3607921,-6.2365026,-1.5729080,29.530,-181.707,-238.338,0.0851164,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564182,1,OK,85.8555779,-11.8582903,4.2938677,129.210,-203.477,-250.158,0.0140989,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564190,1,OK,30.5699581,-0.0189869,13.4639735,228.689,-221.752,-249.183,0.1408149,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564190,1,OK,137.1592053,-10.8081384,-5.4039639,320.780,-234.821,-240.013,0.1171992,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564190,1,OK,-167.7872914,-5.5097812,-2.8071905,30.422,-176.409,-243.963,0.0907136,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564190,1,OK,83.9779883,-11.6331796,3.4300942,131.706,-204.906,-251.162,0.0358617,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564198,1,OK,28.6509263,-1.0193719,12.4014773,231.583,-225.079,-245.756,0.1812983,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564198,1,OK,138.1647693,-8.9825904,-7.1530632,326.604,-240.077,-235.137,0.0983946,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564198,1,OK,-165.6514450,-4.1401924,-1.0640738,33.999,-173.067,-239.841,0.1264997,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564198,1,OK,82.7574181,-12.1068667,1.8927027,133.620,-201.688,-247.284,0.0404110,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564206,1,OK,27.4903502,-1.0108753,12.8193018,224.518,-222.983,-243.528,0.1424151,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564206,1,OK,137.8009339,-10.3697296,-7.3737551,313.408,-237.309,-236.436,0.1749375,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564206,1,OK,-166.6564755,-4.0840495,0.1846573,33.503,-169.176,-238.482,0.0540854,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564206,1,OK,80.8455722,-12.8140354,1.1881862,132.235,-198.225,-245.440,0.0476528,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564214,1,OK,27.6981627,-1.9093174,13.2908276,224.008,-224.110,-247.329,0.0844814,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564214,1,OK,136.1605172,-9.9635884,-8.3285550,319.041,-243.064,-240.183,0.0649374,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564214,1,OK,-162.6092786,-3.2596272,-0.2385628,35.463,-162.149,-238.983,0.0706469,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564214,1,OK,79.3921356,-14.2092337,0.7976184,132.042,-193.086,-244.958,0.0619574,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564222,1,OK,24.6078449,-2.3039431,13.6869488,224.703,-221.676,-246.958,0.2445848,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564222,1,OK,131.4037655,-9.6292987,-8.2200337,317.049,-241.994,-234.562,0.2355872,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564222,1,OK,-167.0332848,-5.8298607,-2.3454411,29.255,-153.224,-239.979,0.1055916,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564222,1,OK,75.0097331,-15.1995705,2.3055913,129.955,-189.244,-247.704,0.0602712,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564230,1,OK,22.0455981,-2.0850713,14.5257222,224.230,-220.107,-249.782,0.0968570,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564230,1,OK,134.0112522,-9.3234918,-8.6992694,317.025,-245.228,-237.570,0.0914619,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564230,1,OK,-163.7541707,-2.9893517,-2.9192863,34.459,-144.373,-241.113,0.0374418,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564230,1,OK,76.0530845,-16.7632815,1.8474891,130.501,-183.669,-249.905,0.0254566,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564238,1,OK,17.9621394,-1.2604197,14.7777119,219.234,-216.970,-249.250,0.0892008,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564238,1,OK,130.8202465,-9.9928094,-7.7205224,309.678,-244.868,-239.629,0.0718241,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564238,1,OK,-165.1755054,-3.4462561,-1.2521982,34.597,-140.252,-239.987,0.0340440,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,564238,1,OK,74.0729849,-17.0947636,1.3359540,129.824,-178.604,-248.182,0.0285773,0
