Tools,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209710,1,OK,37.7486456,-3.5149244,15.6485218,241.444,-3.629,-247.965,0.1022591,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209710,1,OK,129.8208647,-11.4469393,-4.4578518,335.056,-21.878,-240.317,0.0485551,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209710,1,OK,-163.3883855,-3.1122056,-2.5514640,36.121,6.339,-240.097,0.0345113,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209710,1,OK,93.8490375,-17.7538848,1.4423074,139.576,3.923,-247.603,0.0406185,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209718,1,OK,34.2704710,-1.6509805,14.1203257,240.003,2.402,-244.313,0.1586095,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209718,1,OK,130.2862294,-10.6358349,-3.5443091,335.144,-8.142,-238.296,0.0730759,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209718,1,OK,-163.5266334,-2.4764204,-1.3075292,36.776,7.941,-239.795,0.0540679,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209718,1,OK,96.7151384,-16.0732419,0.4088419,139.335,6.930,-245.165,0.0322002,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209726,1,OK,39.3232765,-0.6150169,14.3192444,237.647,12.677,-246.318,0.0617788,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209726,1,OK,132.6438186,-11.1097527,-2.0952819,333.818,5.499,-242.659,0.1138363,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209726,1,OK,-163.5735645,-2.6047505,-1.0659908,37.436,8.129,-240.180,0.0446168,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209726,1,OK,97.3093344,-15.6078378,1.5235588,138.847,12.579,-245.365,0.0363496,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209734,1,OK,42.8838217,-1.2074986,11.1735790,241.403,18.633,-243.010,0.0734542,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209734,1,OK,132.5453659,-7.9845914,-2.1796173,338.483,14.438,-235.125,0.0567677,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209734,1,OK,-163.8836688,-3.0686873,-1.4240493,36.000,9.853,-238.535,0.0563648,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209734,1,OK,102.4292557,-14.6942672,0.3232180,139.790,18.076,-245.722,0.0518346,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209742,1,OK,44.7532628,-1.0488914,12.0860916,239.967,32.476,-243.107,0.0459974,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209742,1,OK,135.7176607,-8.9738915,-0.9588861,333.975,31.246,-237.909,0.0664943,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209742,1,OK,-163.8625916,-3.0545851,-1.8510913,36.701,9.886,-242.112,0.0360743,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209742,1,OK,103.8700250,-14.3794026,0.3303542,139.967,21.665,-244.958,0.0218603,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209750,1,OK,51.2473511,-1.1048267,11.3218849,238.291,40.758,-243.657,0.1322765,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209750,1,OK,136.9699251,-6.5204385,0.3742947,333.884,43.668,-236.040,0.0923035,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209750,1,OK,-163.5292050,-2.3794243,-2.3682761,36.243,9.386,-238.389,0.0366763,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209750,1,OK,108.0781979,-14.3975549,0.5547845,137.622,25.987,-245.531,0.0433856,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209758,1,OK,48.4366554,1.3255155,8.8257163,237.681,38.923,-242.548,0.1277290,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209758,1,OK,138.9376646,-4.3163105,1.2316704,333.906,51.875,-232.752,0.1282231,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209758,1,OK,-164.6701339,-3.1122542,-0.9377726,36.953,4.189,-242.870,0.0603395,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209758,1,OK,111.5082556,-12.6610367,-0.1967850,138.801,24.010,-244.739,0.0655864,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209766,1,OK,55.0005780,0.7921862,8.6813571,235.267,49.918,-241.532,0.0493885,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209766,1,OK,140.9344653,-3.4969273,2.3919761,331.065,62.870,-233.544,0.0937805,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209766,1,OK,-163.2543571,-2.8902978,-2.0610615,35.488,3.400,-236.624,0.0325331,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209766,1,OK,109.4936981,-12.5248338,1.6223286,134.716,24.011,-242.442,0.0904981,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209774,1,OK,57.2158310,0.9157335,7.8887492,233.509,55.773,-240.173,0.0860329,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209774,1,OK,147.0332604,-3.1563547,2.2944035,326.070,74.674,-231.351,0.1066987,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209774,1,OK,-164.7669173,-3.0745515,-1.1933255,36.847,-2.788,-243.522,0.0731176,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209774,1,OK,117.6046847,-13.3385005,-0.5356006,137.525,26.371,-246.414,0.0690655,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209782,1,OK,59.9214843,2.3802449,6.6197768,230.246,54.091,-240.259,0.0548899,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209782,1,OK,145.9595897,-0.0351330,4.6746192,324.543,77.881,-231.138,0.0369085,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209782,1,OK,-161.7563102,-3.1657963,-3.9842147,34.268,-2.261,-238.056,0.0292287,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1209782,1,OK,116.3219986,-13.5855918,0.3606393,133.792,24.621,-242.776,0.0697083,0
