Tools,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855078,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855078,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855078,1,OK,-167.9564787,-5.1550389,-0.6402765,31.170,-106.601,-239.575,0.1485570,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855078,1,OK,68.4605858,-23.1458876,1.5847351,125.692,-149.029,-247.561,0.0481630,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855086,1,OK,9.0247760,-6.4292704,23.3436539,214.213,-187.402,-254.752,0.0702807,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855086,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855086,1,OK,-160.9302353,-2.7186899,-0.9796510,33.323,-87.595,-238.948,0.0227935,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855086,1,OK,66.2115514,-24.8863220,2.6470567,125.882,-136.392,-249.160,0.0472748,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855094,1,OK,7.1978134,-5.3829213,22.0192566,210.003,-182.653,-251.341,0.1972272,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855094,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855094,1,OK,-166.9263888,-2.6478477,-1.3494096,34.911,-83.185,-239.347,0.1215784,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855094,1,OK,67.0532392,-23.9037774,1.2866119,127.641,-128.213,-248.809,0.0333773,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855102,1,OK,6.5450311,-4.6260196,21.4399126,211.957,-171.690,-253.094,0.0605421,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855102,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855102,1,OK,-164.3703743,-3.7190016,0.0006996,35.136,-75.564,-240.811,0.0839903,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855102,1,OK,67.3180249,-22.5344453,1.9470770,127.250,-118.188,-250.212,0.0360743,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855110,1,OK,4.6108633,-4.0218210,21.5803856,212.736,-157.926,-251.253,0.0255743,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855110,1,OK,102.4155138,-15.9552361,-5.1428613,284.370,-222.256,-251.824,0.1250905,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855110,1,OK,-165.7889932,-4.4946553,-1.3222433,31.975,-62.160,-240.404,0.0859083,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855110,1,OK,66.8090448,-22.8602196,1.3771671,128.258,-106.421,-249.143,0.0345358,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855118,1,OK,4.5065730,-3.0022161,21.7659074,210.673,-145.996,-250.314,0.1367598,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855118,1,OK,102.5335897,-16.0423545,-2.3198767,279.306,-206.742,-255.243,0.1216727,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855118,1,OK,-164.3594255,-2.4932840,0.1656516,37.572,-55.028,-239.440,0.0625637,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855118,1,OK,68.6160530,-23.5206587,0.9671995,129.264,-93.573,-245.158,0.0378916,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855126,1,OK,4.9101165,-3.3612065,21.2428335,216.641,-137.851,-255.821,0.1210569,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855126,1,OK,101.1563645,-13.9365108,-2.9211566,292.140,-195.765,-250.000,0.0950811,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855126,1,OK,-163.4206090,-2.4209848,-1.8456726,35.994,-40.194,-237.984,0.0344710,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855126,1,OK,66.8423257,-23.6192419,2.9608376,129.216,-80.564,-249.827,0.0303561,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855134,1,OK,5.1068881,-1.6066193,21.9911968,210.212,-122.687,-253.044,0.0308411,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855134,1,OK,106.4395753,-14.3746636,-1.2828281,285.231,-180.501,-255.669,0.1556514,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855134,1,OK,-165.1397042,-3.7389695,-0.1781771,36.002,-35.020,-242.594,0.0764768,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855134,1,OK,69.3145364,-22.0504579,2.3432783,129.627,-73.144,-249.555,0.0371149,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855142,1,OK,7.2137214,-4.3996649,24.0409297,219.199,-106.764,-255.782,0.1035298,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855142,1,OK,104.3475247,-14.1725314,-3.3418934,301.515,-167.209,-256.635,0.2125947,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855142,1,OK,-161.6550904,-3.1491274,-2.7575495,34.515,-20.747,-238.359,0.0250320,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855142,1,OK,68.8132632,-25.0270696,2.8071048,132.114,-56.044,-248.906,0.0455085,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855150,1,OK,4.7767764,-2.1331779,20.6425071,217.208,-103.476,-249.500,0.0956324,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855150,1,OK,110.7378117,-14.1662734,-3.1934735,286.928,-150.487,-249.076,0.2854573,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855150,1,OK,-164.9085555,-3.0226545,0.8560741,37.893,-19.434,-242.996,0.0586817,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,855150,1,OK,72.0174493,-21.5900361,-0.2300529,136.772,-53.343,-246.517,0.1018979,0
