Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672350,1,OK,-156.2764958,-10.8830552,0.9651625,34.709,-153.183,-216.219,0.0797824,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672350,1,OK,21.7818110,-9.4437931,15.4978848,232.907,-176.449,-223.210,0.0975284,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672350,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672350,1,OK,161.6050074,-4.1300263,-10.0663401,134.024,-164.434,-221.813,0.0283326,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672358,1,OK,-158.9149251,-11.9340609,2.1092819,33.525,-149.358,-215.812,0.0836005,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672358,1,OK,22.6744300,-10.2933045,14.5493693,231.227,-170.906,-218.312,0.0150187,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672358,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672358,1,OK,158.9567314,-3.6676168,-8.9225376,134.446,-162.495,-220.592,0.0387073,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672366,1,OK,-158.8231225,-10.9601851,1.3795404,34.736,-141.273,-215.716,0.0792600,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672366,1,OK,21.7438244,-10.1208131,14.8389207,230.293,-167.016,-218.694,0.0660374,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672366,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672366,1,OK,160.7756621,-3.8576661,-10.9685998,133.439,-153.677,-219.798,0.0663706,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672374,1,OK,-157.8325452,-10.5922961,1.9373745,36.008,-135.782,-215.850,0.0764476,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672374,1,OK,21.7566723,-11.3764675,14.3794798,232.292,-164.507,-217.160,0.1537713,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672374,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672374,1,OK,157.6773931,-4.3546752,-9.3820481,132.558,-153.192,-221.274,0.0556804,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672382,1,OK,-159.4943471,-10.7754221,2.4638122,34.942,-128.936,-214.384,0.0828241,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672382,1,OK,19.2600105,-8.5775424,15.1630560,227.349,-162.712,-221.977,0.0804872,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672382,1,OK,-154.1384805,14.9499753,-15.4365160,319.889,-169.314,-222.923,0.3413063,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672382,1,OK,156.9969380,-4.2601113,-11.1206281,132.440,-143.448,-218.911,0.0218765,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672390,1,OK,-160.0609446,-10.7249440,1.1868899,35.398,-120.411,-217.308,0.0989786,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672390,1,OK,17.4076814,-8.3764081,15.5239598,230.193,-160.289,-227.315,0.0746364,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672390,1,OK,-155.4523660,15.8418550,-15.9586281,323.172,-165.105,-224.542,0.3080829,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672390,1,OK,156.9130128,-4.6042855,-10.6611538,134.055,-139.894,-224.147,0.0386821,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672398,1,OK,-162.6480308,-11.5045278,3.8257661,34.495,-116.322,-215.366,0.1359569,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672398,1,OK,17.6165040,-9.6124767,14.8033759,227.026,-151.779,-216.448,0.1101864,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672398,1,OK,-156.2994455,14.7193766,-15.4417154,316.397,-163.048,-221.671,0.2557552,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672398,1,OK,156.4842426,-2.0447443,-11.3283537,135.860,-130.262,-215.614,0.0393737,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672406,1,OK,-161.3322341,-10.3491178,3.0164084,37.005,-107.309,-214.649,0.1022372,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672406,1,OK,16.4297553,-9.1864183,15.4678889,230.314,-146.628,-222.628,0.0743113,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672406,1,OK,-157.1163858,15.8224745,-16.3405319,321.807,-156.743,-224.639,0.2744210,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672406,1,OK,159.0586307,-2.7690569,-10.6234722,134.876,-123.420,-219.005,0.1141537,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672414,1,OK,-163.5647548,-10.7885414,3.0960221,35.702,-99.389,-215.462,0.1476313,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672414,1,OK,16.3836035,-9.8052916,15.1818855,229.834,-138.244,-218.435,0.0887078,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672414,1,OK,-156.7429083,13.8237889,-15.8110813,315.374,-157.562,-229.077,0.0810525,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672414,1,OK,154.3461571,-3.5705030,-9.3457513,133.748,-117.221,-218.935,0.0346558,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672422,1,OK,-161.6126505,-10.3269599,1.7124425,36.926,-90.402,-215.486,0.1095771,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672422,1,OK,16.4001291,-10.6434155,15.9148031,234.414,-130.467,-222.362,0.0979622,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672422,1,OK,-155.6897750,17.1149307,-15.3030035,325.483,-148.802,-224.989,0.1086753,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,672422,1,OK,158.7904969,-3.9844196,-10.6955937,134.355,-107.377,-221.890,0.1199229,0
