Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967734,1,OK,-154.7044947,-10.1159163,2.4763519,38.372,20.166,-213.736,0.0497049,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967734,1,OK,37.6255326,-6.5120688,10.6300343,234.116,61.439,-220.876,0.0753358,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967734,1,OK,-143.9469133,10.4354265,-13.4325761,324.657,72.979,-229.095,0.1261028,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967734,1,OK,174.4746993,-3.2952775,1.5095685,132.969,36.751,-219.958,0.0353158,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967742,1,OK,-155.5335028,-9.4105816,2.4958160,39.850,16.752,-217.171,0.0636620,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967742,1,OK,42.4609131,-4.0186456,4.2948626,233.313,66.324,-220.943,0.0682635,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967742,1,OK,-139.6712407,5.8596757,-4.1819347,321.649,82.679,-227.938,0.1743024,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967742,1,OK,176.8524915,-1.8424666,2.5249507,134.816,41.868,-220.390,0.0630698,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967750,1,OK,-153.8173516,-10.2660480,0.8626460,37.364,13.360,-214.733,0.0504162,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967750,1,OK,47.0124001,0.2044109,-0.8627054,228.170,65.833,-221.547,0.0810549,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967750,1,OK,-124.7163151,-0.3814980,3.7219721,316.753,89.424,-229.831,0.1957979,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967750,1,OK,-179.6952397,-1.2297592,4.9611600,132.900,39.797,-219.713,0.0236417,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967758,1,OK,-154.5500221,-10.2965703,2.0709659,37.397,6.931,-215.018,0.0476275,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967758,1,OK,50.6035528,1.1155871,-4.7581634,228.025,71.638,-220.077,0.0578717,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967758,1,OK,-126.9949794,-2.9760450,9.5799975,311.607,103.293,-226.739,0.0954533,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967758,1,OK,-179.7582019,0.5241702,7.6960352,133.891,38.034,-221.180,0.0377725,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967766,1,OK,-154.7982083,-9.6407428,2.2851523,38.581,-0.044,-214.279,0.0604078,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967766,1,OK,55.5951770,4.5072843,-6.5014598,223.100,71.176,-223.252,0.0826312,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967766,1,OK,-126.8933596,-7.2238009,14.9281153,307.818,103.401,-230.282,0.0504358,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967766,1,OK,-173.1067719,-1.5258237,9.0850705,129.511,32.299,-220.165,0.1057940,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967774,1,OK,-155.7228985,-9.8738928,2.5834509,38.419,-7.716,-216.668,0.0914468,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967774,1,OK,55.6152315,4.5643877,-8.7327668,221.745,72.304,-222.265,0.0883460,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967774,1,OK,-123.4628466,-9.4061392,18.4411914,306.400,109.174,-231.661,0.0668444,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967774,1,OK,-173.6323225,-0.3532704,8.4599804,131.061,29.720,-221.086,0.0264098,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967782,1,OK,-154.1749011,-10.4375076,1.5307409,37.010,-13.780,-216.096,0.0582991,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967782,1,OK,56.3249319,6.3956668,-8.4420930,216.183,69.379,-224.978,0.0506548,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967782,1,OK,-124.5409326,-10.4239875,19.0117434,300.387,107.153,-232.847,0.0207016,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967782,1,OK,-172.2007399,-0.4738358,7.4739739,131.211,24.636,-222.311,0.0290217,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967790,1,OK,-155.6351699,-9.8974433,2.5003479,37.261,-22.022,-214.924,0.0658734,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967790,1,OK,61.1471213,5.4097966,-7.2390504,216.342,67.295,-225.357,0.0772758,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967790,1,OK,-124.6791159,-9.9274389,19.5347793,297.603,105.490,-231.239,0.0349558,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967790,1,OK,-170.9146921,-1.0642141,7.9401289,128.871,16.725,-221.731,0.0436020,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967798,1,OK,-157.5478642,-9.8180349,3.0237946,38.331,-31.484,-215.917,0.0925260,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967798,1,OK,60.1657206,4.5082272,-4.2697155,212.641,60.071,-226.614,0.0630677,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967798,1,OK,-123.7220139,-10.2299969,17.7099516,295.926,101.998,-237.303,0.0303812,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967798,1,OK,-168.8673931,-2.2632879,8.5523345,126.384,10.678,-221.906,0.0489103,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967806,1,OK,-156.8983475,-10.4900530,2.0803917,36.133,-37.892,-214.766,0.0713754,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967806,1,OK,60.3059813,4.4695898,-3.9732136,212.193,52.585,-226.658,0.0800955,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967806,1,OK,-122.7679180,-10.3396931,16.3173818,294.502,92.079,-236.314,0.1244891,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,967806,1,OK,-167.5596792,-1.9091631,8.9015925,127.363,2.478,-222.676,0.0370966,0
