Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261542,1,OK,175.0511397,-31.2335325,96.6200959,38.766,-190.229,-188.407,0.0308319,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261542,1,OK,15.8867264,26.5430217,-69.6402641,235.898,-175.601,-196.705,0.0902483,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261542,1,OK,-162.0512845,-21.0213361,65.1576968,328.439,-174.284,-199.840,0.1284572,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261542,1,OK,-178.7332100,17.4928115,81.0281134,136.919,-184.358,-196.493,0.0460488,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261550,1,OK,175.7404849,-30.5040164,95.8094361,39.056,-189.794,-187.749,0.0372134,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261550,1,OK,15.9145926,26.2771027,-69.2212711,235.784,-176.265,-197.364,0.0450744,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261550,1,OK,-160.8760084,-23.8786109,62.9569788,326.303,-175.430,-203.819,0.0616328,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261550,1,OK,-178.9538190,18.9981166,80.4647726,136.564,-185.517,-194.083,0.0189670,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261558,1,OK,175.2222539,-31.4343951,96.5937926,39.006,-193.400,-187.157,0.0083707,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261558,1,OK,16.2178535,27.3461381,-68.8253484,234.657,-178.548,-196.936,0.0614413,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261558,1,OK,-161.2313073,-20.0349516,62.3436365,326.554,-174.435,-200.462,0.0856831,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261558,1,OK,-178.9421033,18.5189292,80.3157029,136.331,-187.706,-193.711,0.0487672,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261566,1,OK,175.3887990,-31.1108208,96.1931851,38.629,-194.389,-187.318,0.0174392,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261566,1,OK,15.9331951,24.5212543,-68.1228872,234.989,-180.591,-195.398,0.0356456,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261566,1,OK,-162.5606437,-18.5907228,63.6945448,328.627,-180.681,-200.353,0.1225392,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261566,1,OK,-179.4834950,20.2460704,79.1628770,136.267,-188.547,-193.159,0.0338885,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261574,1,OK,175.1929748,-30.9777597,96.4063507,38.449,-196.726,-188.317,0.0240409,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261574,1,OK,16.5057538,24.9747963,-67.1305686,236.422,-182.142,-196.165,0.0258189,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261574,1,OK,-160.1717066,-20.8281850,60.3687529,326.849,-179.897,-198.240,0.0451526,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261574,1,OK,-179.5852970,18.8760055,79.1205180,136.932,-191.663,-194.993,0.0317316,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261582,1,OK,175.4523977,-30.9075826,96.1513539,38.936,-197.056,-187.913,0.0227911,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261582,1,OK,16.6192718,24.2738413,-66.1343558,235.295,-183.600,-194.602,0.0471887,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261582,1,OK,-160.4724236,-18.6199174,58.5028899,325.981,-180.978,-197.983,0.0873543,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261582,1,OK,179.7714399,21.1039585,77.7136106,136.569,-191.573,-192.603,0.0467507,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261590,1,OK,175.6173426,-30.9412959,95.9927970,38.905,-196.811,-187.652,0.0208954,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261590,1,OK,17.1954869,24.2603530,-64.2079686,233.136,-184.067,-193.538,0.0233229,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261590,1,OK,-159.5453452,-19.8779073,57.5709852,326.549,-185.763,-195.183,0.0974520,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261590,1,OK,179.4144599,20.3056363,76.9393278,136.187,-192.685,-192.242,0.0407629,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261598,1,OK,175.3126289,-30.7954097,96.3201493,39.058,-197.866,-188.079,0.0242583,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261598,1,OK,17.3767820,22.9042109,-62.8329101,234.457,-184.731,-192.808,0.0317884,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261598,1,OK,-158.8100926,-17.6895836,53.6240277,324.831,-181.740,-194.867,0.0584385,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261598,1,OK,178.7272837,20.4119946,75.9872997,136.488,-193.227,-193.388,0.0145817,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261606,1,OK,175.8362674,-30.5469263,95.8150271,39.430,-196.162,-187.604,0.0254795,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261606,1,OK,18.2683480,22.1799829,-61.3723371,234.589,-184.456,-190.707,0.0533849,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261606,1,OK,-155.9208456,-20.5001723,52.1574443,326.999,-184.477,-194.431,0.1111699,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261606,1,OK,178.4417151,19.5675635,74.6700945,136.248,-192.182,-194.016,0.0169730,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261614,1,OK,175.2379131,-31.0568232,96.2903500,39.165,-196.308,-188.331,0.0292228,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261614,1,OK,17.7880178,21.8622986,-60.8088623,234.412,-185.475,-190.002,0.0259470,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261614,1,OK,-156.0374243,-19.9488127,51.2330204,325.352,-185.672,-190.530,0.1011953,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2261614,1,OK,177.6739368,21.2023919,73.5463525,137.239,-192.195,-191.518,0.0242904,0
