Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226910,1,OK,175.2513862,-31.1133970,96.1708215,40.117,-147.829,-187.895,0.0102120,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226910,1,OK,15.6670734,30.8059014,-69.6252498,235.182,-133.121,-209.717,0.0208988,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226910,1,OK,-160.8142420,-28.2875817,64.0664923,328.837,-133.336,-222.943,0.0818696,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226910,1,OK,-178.3231471,14.7462567,82.4045627,135.976,-140.433,-198.701,0.0316142,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226918,1,OK,175.9041733,-28.2476060,95.5570697,40.398,-151.873,-188.570,0.0683766,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226918,1,OK,16.3949562,31.5275668,-68.5953698,235.032,-137.037,-210.099,0.0258839,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226918,1,OK,-159.4896053,-27.0096144,60.2515442,326.346,-133.059,-222.298,0.0266322,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226918,1,OK,-178.1796161,16.2799004,82.5362821,138.915,-148.088,-199.530,0.0178636,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226926,1,OK,175.2605128,-30.9101368,96.3541736,40.416,-157.300,-187.955,0.0068355,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226926,1,OK,16.6891672,28.5300813,-68.8302413,239.494,-142.173,-205.885,0.0467129,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226926,1,OK,-159.3054674,-25.2982791,60.3924096,328.156,-137.963,-218.365,0.0618396,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226926,1,OK,-178.1679694,16.3839009,82.1393739,138.456,-151.578,-197.812,0.0078348,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226934,1,OK,175.4337605,-31.2539679,96.0608699,39.442,-159.508,-187.508,0.0230636,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226934,1,OK,17.0551211,30.3803400,-67.4150474,234.874,-145.543,-206.249,0.0274120,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226934,1,OK,-157.8300474,-28.2136566,58.5932405,325.865,-143.896,-217.895,0.1136505,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226934,1,OK,-178.4516745,16.1111361,81.5979871,136.741,-154.708,-196.407,0.0223250,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226942,1,OK,175.0644031,-31.1344213,96.5267139,39.993,-165.260,-188.384,0.0109045,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226942,1,OK,16.7481587,30.5424621,-67.0719759,234.340,-150.480,-207.273,0.0382090,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226942,1,OK,-159.4032070,-24.6087966,58.9317077,327.641,-147.841,-216.060,0.0898564,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226942,1,OK,-178.6199400,15.1397366,81.4312107,137.061,-158.675,-198.858,0.0404678,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226950,1,OK,175.6925203,-30.6554181,95.8500249,39.672,-166.678,-187.642,0.0339825,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226950,1,OK,16.1656129,26.8851186,-68.1124384,237.187,-153.859,-204.254,0.0633969,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226950,1,OK,-159.9029895,-23.9422343,58.8010136,326.316,-151.152,-217.078,0.1029005,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226950,1,OK,-178.3858664,16.6401211,81.6725314,137.808,-163.059,-198.203,0.0239240,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226958,1,OK,175.0626984,-30.9784395,96.6185114,39.640,-173.027,-188.781,0.0272716,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226958,1,OK,15.9243426,27.8344404,-68.2471864,236.052,-157.777,-205.187,0.0564137,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226958,1,OK,-159.9232190,-22.3464087,59.8699946,327.944,-154.180,-210.650,0.0493894,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226958,1,OK,-178.2402085,16.6417801,82.0784740,137.640,-167.296,-196.887,0.0116246,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226966,1,OK,175.5883374,-30.6141470,95.9210562,39.302,-173.381,-187.673,0.0513560,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226966,1,OK,16.7461919,29.2818937,-67.3427711,233.441,-159.538,-203.193,0.0291195,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226966,1,OK,-159.7722287,-25.1525693,60.4524684,326.748,-160.016,-211.548,0.0819865,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226966,1,OK,-178.4766315,17.2187866,81.6477072,136.877,-169.076,-196.493,0.0254324,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226974,1,OK,174.9680038,-31.3360904,96.8282485,39.299,-179.068,-187.354,0.0178170,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226974,1,OK,16.2703018,28.4937666,-68.8606458,236.549,-164.635,-202.194,0.0951546,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226974,1,OK,-161.4041113,-20.6585333,61.2531379,327.200,-159.885,-209.612,0.1015789,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226974,1,OK,-178.1773249,16.9334905,82.3118099,137.340,-173.847,-196.449,0.0394313,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226982,1,OK,175.6287845,-30.6743436,95.8574607,39.139,-179.901,-187.562,0.0508051,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226982,1,OK,16.7712651,28.6070288,-68.8172671,235.071,-166.478,-199.413,0.0620893,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226982,1,OK,-162.1154153,-20.6086254,63.6269255,328.936,-166.030,-207.320,0.1083733,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2226982,1,OK,-178.4682896,18.7072149,81.0400456,136.887,-174.689,-194.410,0.0367240,0
