Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861590,1,OK,-179.1858270,-23.6819452,90.5883314,42.163,-177.574,-189.300,0.0626620,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861590,1,OK,29.4359605,17.2324108,-23.6297481,232.456,-174.365,-187.134,0.0731737,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861590,1,OK,-148.9752411,-4.9976348,20.4229128,323.808,-169.059,-188.770,0.1620161,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861590,1,OK,163.0595732,21.2422577,45.9832804,136.250,-178.056,-196.262,0.0317622,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861598,1,OK,179.8945370,-25.1659237,91.5224490,40.881,-172.675,-189.939,0.0328112,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861598,1,OK,32.3172253,17.6795186,-23.5666926,233.432,-171.965,-183.147,0.0772536,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861598,1,OK,-149.2502886,-3.0843275,17.5524980,321.286,-162.278,-186.167,0.1090142,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861598,1,OK,160.4320415,25.6609163,42.2897475,138.291,-169.538,-188.777,0.1001075,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861606,1,OK,-179.7654051,-24.9858130,90.9820230,40.336,-162.006,-186.615,0.0245546,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861606,1,OK,28.9301544,14.6266332,-23.6839544,231.448,-164.039,-179.578,0.0385901,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861606,1,OK,-148.2691026,-2.1560288,20.8276326,322.549,-159.803,-175.112,0.0761779,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861606,1,OK,160.5570737,23.2288258,40.5336338,137.087,-161.150,-190.453,0.0448513,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861614,1,OK,-179.5946715,-25.1285275,91.1412486,42.228,-154.389,-188.129,0.0257725,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861614,1,OK,26.0170924,12.1258379,-25.6144880,235.449,-160.993,-176.486,0.0977124,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861614,1,OK,-151.5966597,-0.0956847,25.2676609,328.877,-160.560,-165.719,0.0736462,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861614,1,OK,158.8172476,21.9604430,39.6020058,135.672,-156.245,-194.357,0.0724114,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861622,1,OK,-179.6194654,-24.7121949,90.6943024,41.293,-144.374,-189.288,0.0503849,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861622,1,OK,25.8074362,12.1128623,-26.0592894,233.081,-156.192,-171.380,0.0397417,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861622,1,OK,-155.6649839,0.1881400,25.4930915,322.764,-159.121,-162.437,0.1204424,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861622,1,OK,156.3771663,26.0294347,37.7080966,137.292,-148.244,-188.400,0.0679437,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861630,1,OK,179.9641520,-25.7077860,91.3862102,41.006,-137.031,-189.160,0.0327209,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861630,1,OK,29.5733528,11.0856246,-22.6166650,231.199,-144.591,-169.994,0.0892944,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861630,1,OK,-158.0031120,3.4027233,22.7187368,320.960,-148.123,-160.147,0.0729020,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861630,1,OK,157.0841584,25.7672659,35.8990766,136.997,-135.564,-184.733,0.0558046,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861638,1,OK,-179.6224953,-24.6039752,90.8660705,42.199,-125.392,-187.151,0.0147769,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861638,1,OK,25.4720295,6.4294136,-21.3713165,231.003,-136.550,-166.179,0.0554311,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861638,1,OK,-159.0036287,7.9369778,21.4547697,322.984,-142.863,-149.784,0.0654749,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861638,1,OK,156.7025398,24.4665329,34.5585373,136.572,-126.082,-186.751,0.0327579,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861646,1,OK,-179.6111438,-24.8374161,90.9190344,42.329,-115.175,-188.498,0.0109330,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861646,1,OK,25.0955629,2.6261940,-19.4657645,233.617,-129.552,-162.590,0.0228679,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861646,1,OK,-161.7387505,11.2361861,18.3702436,322.453,-139.375,-144.251,0.0781037,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861646,1,OK,155.1963517,26.1263805,33.2573951,137.641,-119.022,-186.155,0.0353089,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861654,1,OK,-179.8432809,-25.3670403,91.1441226,41.685,-106.391,-189.512,0.0144323,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861654,1,OK,25.5502883,1.2841577,-16.1780042,230.301,-120.761,-162.132,0.0386949,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861654,1,OK,-161.0181757,12.6244427,14.2508436,319.521,-129.889,-143.416,0.0316455,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861654,1,OK,152.7873892,27.7695754,29.7961584,137.365,-107.561,-181.513,0.0805785,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861662,1,OK,-179.4285062,-21.4466054,90.4545102,43.616,-94.863,-187.841,0.1967254,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861662,1,OK,24.4203029,-1.4601393,-13.6852227,228.186,-108.097,-159.265,0.0364914,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861662,1,OK,-161.7322321,14.1031501,10.4801867,317.652,-118.685,-143.421,0.0533213,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2861662,1,OK,153.8428530,27.7213626,30.1410733,137.122,-96.309,-181.577,0.2241933,0
