Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898622,1,OK,-179.3463191,-24.5504262,91.3933599,41.218,-192.544,-188.711,0.0210578,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898622,1,OK,3.9180227,49.5180512,-86.1647734,228.935,-166.157,-227.896,0.0894960,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898622,1,OK,-170.3874853,-33.8069496,94.9753692,321.691,-158.072,-248.322,0.0611990,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898622,1,OK,-173.6969784,11.9617545,88.1619509,134.844,-179.124,-207.543,0.0722325,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898630,1,OK,-179.4618994,-24.2742427,91.0613266,39.835,-194.136,-188.088,0.0201992,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898630,1,OK,4.7154869,44.5307109,-85.6156497,235.475,-171.891,-221.838,0.1185757,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898630,1,OK,-168.2441631,-28.1402548,92.3976035,330.219,-161.829,-234.918,0.1464260,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898630,1,OK,-174.3741337,16.9431524,86.4686207,136.747,-182.685,-204.983,0.0505422,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898638,1,OK,-179.1733259,-23.8992462,91.0843142,41.088,-196.698,-188.489,0.0306684,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898638,1,OK,8.1331821,46.2226380,-79.1243923,231.570,-174.379,-218.575,0.0689056,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898638,1,OK,-169.2733959,-37.9019060,86.9300301,317.682,-170.332,-243.906,0.1872242,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898638,1,OK,-176.4826436,14.9227986,81.9426151,134.881,-183.106,-206.855,0.0354119,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898646,1,OK,-179.1119723,-23.6461774,91.1773158,41.753,-198.191,-188.637,0.0543095,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898646,1,OK,12.9401426,40.7135032,-70.8673326,236.854,-175.267,-214.270,0.1057045,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898646,1,OK,-165.3624930,-25.9867382,81.0029578,328.262,-165.692,-227.626,0.1313341,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898646,1,OK,-178.9141920,17.8108033,76.7922297,136.813,-187.611,-203.062,0.0285054,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898654,1,OK,-179.2522745,-24.9779220,90.7189573,39.763,-196.649,-189.195,0.0178063,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898654,1,OK,18.2014967,39.4841657,-61.2965073,233.850,-178.719,-207.168,0.0549282,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898654,1,OK,-163.2632645,-25.1182879,72.7031250,326.930,-173.046,-218.135,0.1118632,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898654,1,OK,178.7275491,20.1958990,70.7199231,138.192,-187.874,-198.879,0.0463955,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898662,1,OK,-179.6391227,-25.0842717,91.4328171,40.249,-196.411,-187.383,0.0067268,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898662,1,OK,23.0340313,34.3265739,-51.0020052,235.573,-180.445,-201.671,0.0713521,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898662,1,OK,-158.5914956,-20.9478584,59.3771583,328.835,-171.204,-212.253,0.0665591,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898662,1,OK,176.5739769,19.0148858,66.3487259,136.536,-186.088,-199.493,0.0257734,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898670,1,OK,-178.5969616,-23.5337013,90.4476594,42.038,-190.831,-188.958,0.0575739,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898670,1,OK,29.4904122,29.6410442,-39.7053867,234.444,-175.276,-194.533,0.0704331,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898670,1,OK,-156.4938642,-13.0773686,46.5812683,329.462,-171.927,-199.370,0.1528540,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898670,1,OK,173.3608006,19.6368491,61.1557362,136.568,-183.471,-201.383,0.0491217,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898678,1,OK,-179.4344483,-25.1269681,91.2113203,41.259,-188.811,-189.402,0.0364774,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898678,1,OK,25.3196279,23.3490723,-36.4167763,235.290,-178.307,-192.285,0.1406132,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898678,1,OK,-145.4532981,-11.6762568,27.6061114,322.210,-163.190,-193.701,0.0863006,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898678,1,OK,170.5273551,22.0294628,56.1851367,137.665,-183.029,-194.473,0.0240068,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898686,1,OK,-179.0727527,-25.5233686,90.5393672,40.694,-180.065,-188.442,0.0101473,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898686,1,OK,33.2920481,18.5605860,-25.5634948,234.230,-171.373,-184.532,0.0542514,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898686,1,OK,-144.8396654,-5.4119746,20.3923343,324.179,-163.399,-187.118,0.0820083,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898686,1,OK,165.1867471,24.3016192,47.9724742,137.565,-176.943,-191.957,0.0361612,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898694,1,OK,-179.3753189,-26.3015656,91.1301589,40.693,-174.753,-187.751,0.0345031,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898694,1,OK,31.4404640,13.2861767,-19.8880256,234.447,-171.616,-183.342,0.0919255,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898694,1,OK,-148.4425257,2.2942055,16.7648573,327.780,-160.996,-174.264,0.1090563,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2898694,1,OK,162.6860590,24.1594434,41.8246473,138.024,-170.457,-189.436,0.0417087,0
