Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581558,1,OK,-169.3267251,-7.5504940,-1.0681162,34.022,-157.617,-221.591,0.0682202,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581558,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581558,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581558,1,OK,144.2092699,-5.2896119,-10.0372885,137.333,-172.208,-230.802,0.0616334,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581566,1,OK,-168.1654850,-6.3218625,-0.1950312,37.442,-152.641,-221.357,0.0907030,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581566,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581566,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581566,1,OK,141.2671899,-5.9241253,-7.8809008,134.630,-167.576,-230.472,0.0566524,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581574,1,OK,-166.1720807,-6.2867839,-0.5251600,36.566,-144.363,-221.815,0.2786219,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581574,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581574,1,OK,88.3149916,-23.6731571,-2.4205965,321.521,-179.317,-232.126,0.1234310,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581574,1,OK,142.2608504,-4.3235524,-8.4810390,137.497,-161.646,-229.475,0.0755772,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581582,1,OK,-161.7445286,-7.4976578,-0.6421017,34.907,-138.101,-221.485,0.1532391,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581582,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581582,1,OK,89.8360828,-23.2452999,-1.7998161,318.839,-174.780,-239.810,0.1952986,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581582,1,OK,140.1519487,-5.0426371,-7.6133256,135.099,-154.116,-227.741,0.0584028,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581590,1,OK,-169.6979022,-6.0900365,-0.4305732,37.137,-131.404,-219.535,0.0677625,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581590,1,OK,22.5654542,-23.2892815,24.6710075,237.196,-165.895,-236.813,0.1160679,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581590,1,OK,81.7129732,-20.8472438,0.8008591,320.036,-173.263,-237.258,0.2089783,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581590,1,OK,142.3830537,-4.6415631,-7.1976496,134.321,-148.150,-228.788,0.1444408,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581598,1,OK,-170.2045947,-6.9157885,-1.1558108,36.023,-123.994,-220.663,0.0629876,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581598,1,OK,21.7244316,-20.6087953,24.1787081,231.277,-157.752,-237.188,0.0619864,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581598,1,OK,81.8043577,-18.9898379,1.4739319,318.314,-165.463,-239.841,0.1378113,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581598,1,OK,140.0805952,-5.4638529,-5.9527366,134.378,-141.645,-231.501,0.0177782,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581606,1,OK,-169.6327129,-7.9959011,-0.7938958,34.378,-117.714,-221.598,0.0629420,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581606,1,OK,23.1510503,-21.2473286,22.3658354,237.664,-154.298,-241.348,0.1535090,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581606,1,OK,81.8499163,-16.3511750,-0.0517663,327.506,-164.483,-239.549,0.1461000,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581606,1,OK,139.2575742,-5.0334012,-4.8843142,134.674,-135.573,-233.193,0.0527981,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581614,1,OK,-172.2958215,-6.8749104,0.6829194,37.447,-112.346,-220.991,0.0936800,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581614,1,OK,24.0040212,-20.0658113,20.5007918,228.397,-143.007,-230.576,0.1697962,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581614,1,OK,84.9983804,-14.8673494,0.5010495,312.308,-152.012,-233.687,0.1737822,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581614,1,OK,139.2070862,-2.0326314,-3.7704137,137.597,-129.391,-227.473,0.0598670,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581622,1,OK,-171.5660253,-7.9496936,-0.4021960,34.475,-102.936,-221.117,0.0764728,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581622,1,OK,22.9797594,-18.2666160,20.0588820,236.219,-140.361,-243.118,0.1088610,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581622,1,OK,87.1114586,-13.0341266,-0.8792073,328.648,-149.093,-240.979,0.0810411,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581622,1,OK,140.7308984,-3.8095678,-3.5251335,134.657,-119.579,-232.154,0.0477948,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581630,1,OK,-174.6402731,-7.0659923,0.3948463,36.266,-96.173,-220.976,0.1221862,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581630,1,OK,22.9372871,-17.0603530,18.3579021,230.239,-130.664,-235.693,0.0297358,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581630,1,OK,86.7588224,-11.6947698,1.3623904,313.271,-135.981,-239.450,0.1524834,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5581630,1,OK,138.5740166,-2.6609513,-3.4208481,136.775,-113.015,-230.063,0.0384045,0
