Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603158,1,OK,-165.3174490,-6.5326638,-1.7969587,38.074,-3.774,-219.397,0.0429408,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603158,1,OK,52.7747596,-19.9071376,15.1903059,233.914,38.794,-232.219,0.1024425,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603158,1,OK,108.8001246,-6.8820502,-1.0690605,320.870,65.545,-231.153,0.2111600,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603158,1,OK,161.7441359,-2.5394052,-5.4342762,136.849,12.978,-227.194,0.0181944,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603166,1,OK,-167.6445789,-6.6985622,-0.1930808,38.628,-11.072,-221.587,0.0579156,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603166,1,OK,52.3531518,-17.5468746,13.1884899,234.182,29.083,-233.092,0.0773032,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603166,1,OK,106.8105023,-5.6414179,-0.1770211,321.719,60.075,-233.982,0.0345530,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603166,1,OK,162.8488453,-2.4674354,-4.6018572,137.297,8.066,-229.449,0.0396763,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603174,1,OK,-166.5655045,-6.6181094,-1.2045527,37.748,-14.077,-218.781,0.0371817,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603174,1,OK,53.1445278,-18.2393913,14.3946863,231.736,30.779,-232.235,0.0740610,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603174,1,OK,106.1722306,-4.4417422,-0.2837238,319.446,55.453,-230.864,0.2041645,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603174,1,OK,160.8882799,-2.8585764,-5.1309183,135.567,3.172,-226.779,0.0518671,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603182,1,OK,-168.5056556,-6.1852408,0.2167799,38.961,-21.947,-221.726,0.0703930,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603182,1,OK,51.6810245,-16.8075479,12.3173224,234.181,21.865,-232.326,0.0878830,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603182,1,OK,111.0725280,-4.6895217,-1.7557169,320.916,56.374,-229.322,0.1151030,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603182,1,OK,161.9665184,-1.8919248,-5.1123663,137.932,-2.692,-229.051,0.0396644,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603190,1,OK,-166.9032028,-7.1757238,-1.9198561,36.474,-24.359,-220.127,0.0337741,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603190,1,OK,52.7179833,-17.2176041,12.8962859,232.364,19.190,-232.022,0.0280965,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603190,1,OK,103.8533887,-1.7289531,0.8354317,317.684,44.212,-233.438,0.1030753,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603190,1,OK,161.7086944,-3.4959254,-6.6175218,135.888,-6.404,-228.354,0.0418894,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603198,1,OK,-170.5715564,-6.4011204,0.6310414,38.093,-33.970,-221.040,0.0922155,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603198,1,OK,54.1791314,-15.9960792,9.5112826,233.363,5.461,-229.588,0.0526018,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603198,1,OK,107.0893016,0.4967674,-1.3392559,322.597,36.046,-228.674,0.0774342,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603198,1,OK,161.7930387,-1.4366600,-4.7769475,137.843,-17.634,-227.925,0.0420909,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603206,1,OK,-169.1411183,-6.5740821,-1.0635965,37.259,-37.702,-219.253,0.0712163,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603206,1,OK,53.8673361,-16.8753872,12.1197513,231.019,3.631,-231.589,0.0383011,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603206,1,OK,108.0302915,-0.0458674,0.3129660,317.460,32.568,-231.707,0.1137768,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603206,1,OK,161.4756942,-3.9460406,-6.6846183,134.219,-21.782,-226.919,0.0431238,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603214,1,OK,-170.8900327,-6.8095903,0.0127663,37.046,-45.475,-220.785,0.0982120,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603214,1,OK,53.4359483,-16.5628550,9.6767362,233.833,-9.780,-229.534,0.0447858,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603214,1,OK,109.2032390,1.5791931,-1.8052360,322.218,20.321,-226.535,0.1277458,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603214,1,OK,160.4499554,-1.8178481,-6.0488171,137.825,-32.358,-227.438,0.0207693,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603222,1,OK,-170.1188405,-7.1343087,-0.8523816,36.712,-50.859,-221.448,0.0797182,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603222,1,OK,52.3068863,-17.8111615,11.2103160,236.168,-15.539,-231.545,0.0793061,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603222,1,OK,105.3672846,0.9020668,-1.1440726,322.062,11.560,-228.715,0.0432450,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603222,1,OK,158.9609937,-3.6103409,-7.8005935,137.647,-37.706,-228.917,0.0646816,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603230,1,OK,-171.9389125,-6.8125441,-0.1025138,36.817,-57.390,-220.619,0.1076344,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603230,1,OK,53.5843028,-18.1211935,10.9567231,233.806,-27.910,-230.239,0.0817711,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603230,1,OK,106.4014676,0.3114233,-1.8823320,322.961,0.217,-226.431,0.1044592,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5603230,1,OK,155.7256575,-4.5349500,-6.5017759,136.741,-49.083,-230.296,0.3154021,0
