Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064886,1,OK,-165.0059515,-6.2260714,-1.1489073,38.875,1.366,-218.735,0.0423159,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064886,1,OK,54.3494062,-11.7053581,6.8456995,232.885,43.854,-233.387,0.0663762,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064886,1,OK,107.7764186,4.4953252,0.8530331,320.367,73.827,-235.903,0.1464716,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064886,1,OK,160.6272650,-1.5725260,-0.8693489,135.099,21.222,-228.520,0.0415929,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064894,1,OK,-166.8502277,-5.9738280,-0.7462593,39.575,-4.048,-222.135,0.0612859,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064894,1,OK,54.4604211,-12.1593207,7.0792219,234.067,47.740,-234.328,0.0058632,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064894,1,OK,113.9920039,4.7825134,0.5670774,318.511,75.763,-232.993,0.1732479,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064894,1,OK,162.8458119,0.6862855,-2.1926732,139.105,20.780,-228.815,0.0634499,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064902,1,OK,-165.0836548,-6.9512950,-2.4200438,37.112,-6.982,-220.526,0.0356074,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064902,1,OK,56.2818547,-12.3377192,6.6783072,230.537,45.986,-230.557,0.0931488,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064902,1,OK,111.9433523,5.5066232,0.5257919,317.471,73.862,-232.811,0.1062444,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064902,1,OK,163.5734724,0.1895984,-1.7336027,136.389,15.991,-227.382,0.0551803,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064910,1,OK,-166.9454298,-6.1295702,-0.3547134,38.584,-15.721,-221.089,0.0655201,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064910,1,OK,57.4298163,-11.7704127,4.4528643,231.980,39.786,-230.128,0.1369448,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064910,1,OK,110.2075925,5.5796500,-0.5578936,316.151,76.168,-229.999,0.0745180,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064910,1,OK,164.1666752,0.9083073,-0.8798698,136.479,9.174,-228.701,0.0347911,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064918,1,OK,-167.2461534,-5.8091383,-1.0946741,39.047,-22.240,-219.749,0.0642189,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064918,1,OK,59.7672190,-10.9343260,5.8254903,227.096,37.556,-232.095,0.0805815,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064918,1,OK,111.9283782,7.0597280,0.6478491,312.449,70.678,-231.441,0.1439554,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064918,1,OK,164.6303419,-0.8804576,-2.1173067,133.375,5.358,-226.681,0.0692547,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064926,1,OK,-168.2442726,-6.7764806,-0.9169421,36.784,-28.854,-220.363,0.0681544,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064926,1,OK,57.5702073,-10.3905829,4.2606833,227.456,29.096,-229.250,0.0465119,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064926,1,OK,113.9319531,8.3843632,-0.4177802,313.680,67.015,-228.354,0.0988430,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064926,1,OK,165.6436332,0.9906986,-1.9789455,135.599,-3.330,-226.943,0.0251107,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064934,1,OK,-168.1065663,-6.5224262,-1.0221098,37.591,-36.949,-221.400,0.0664467,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064934,1,OK,63.2061936,-12.2722233,3.0269303,230.224,26.175,-228.789,0.0673800,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064934,1,OK,111.3775324,8.9169369,0.1487472,310.227,61.668,-230.205,0.0555284,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064934,1,OK,166.5114250,-0.5734090,-2.9182370,134.239,-9.752,-228.185,0.0560236,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064942,1,OK,-170.2844674,-6.7313025,-1.5724662,36.917,-43.312,-220.432,0.1046396,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064942,1,OK,62.5067579,-11.0356364,4.0078651,228.075,17.453,-231.654,0.0352163,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064942,1,OK,117.0752977,9.9985763,-0.0159421,311.409,54.287,-227.846,0.1336637,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064942,1,OK,164.8933755,-0.8350672,-3.2199171,133.517,-16.723,-227.504,0.0870837,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064950,1,OK,-169.6234451,-6.6641205,-0.2117455,37.197,-53.564,-220.660,0.0892859,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064950,1,OK,60.5325481,-11.0200969,3.9967838,225.880,4.289,-227.225,0.0153185,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064950,1,OK,114.5004679,8.8690930,-1.0088074,312.053,45.477,-227.467,0.0884614,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064950,1,OK,164.9459119,0.4341457,-2.9755385,134.708,-28.602,-224.919,0.0338272,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064958,1,OK,-169.9231413,-6.5711681,-0.8529562,36.800,-60.198,-219.926,0.0899932,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064958,1,OK,61.0418947,-12.1409016,3.7126895,231.034,-4.470,-229.878,0.1064155,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064958,1,OK,109.9679240,8.4988776,-0.5766496,312.342,33.902,-230.322,0.1105617,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064958,1,OK,163.8219223,-1.5720372,-2.8231898,132.976,-36.526,-228.948,0.0587089,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064966,1,OK,-172.2544048,-6.9397986,0.4322603,36.700,-70.336,-221.549,0.1317779,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064966,1,OK,57.6875954,-12.9276122,7.5351412,226.985,-13.661,-229.824,0.0834173,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064966,1,OK,117.0684836,5.2777500,-1.1557408,313.028,25.154,-226.950,0.1181613,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064966,1,OK,161.5588199,-0.9049924,-4.8145714,136.094,-45.290,-227.269,0.1000373,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064974,1,OK,-168.5269536,-6.9845410,-2.1676652,35.599,-74.499,-221.250,0.0636168,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064974,1,OK,62.1466800,-16.5694654,6.5695215,231.695,-22.236,-229.529,0.1014510,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064974,1,OK,112.1424315,3.2993312,-2.5687522,316.641,14.721,-226.437,0.0472264,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064974,1,OK,167.9435181,-4.8269380,-6.9180972,132.825,-55.387,-232.474,0.4022004,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064982,1,OK,-171.3987455,-6.9571646,0.0846198,36.689,-85.777,-220.878,0.1147058,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064982,1,OK,53.4502518,-13.4851266,9.8674494,227.392,-42.117,-229.616,0.0613918,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064982,1,OK,114.2387192,2.1885105,0.0338337,315.232,-6.615,-230.846,0.1177884,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6064982,1,OK,159.6187058,-2.3913788,-5.4523319,136.385,-67.465,-226.955,0.1290703,0
