Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872310,1,OK,-170.6911026,-8.5823403,-1.9268682,31.358,-188.209,-221.365,0.0833049,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872310,1,OK,16.3731155,-18.0853737,23.4113480,218.270,-238.756,-240.655,0.1564782,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872310,1,OK,80.8061547,-18.4751642,1.7313815,301.291,-253.398,-244.825,0.0649370,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872310,1,OK,134.0194059,-6.0682318,-3.8360710,125.670,-216.918,-232.806,0.1368432,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872318,1,OK,-170.4315465,-8.8562365,-1.7818960,31.287,-188.472,-222.274,0.0721100,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872318,1,OK,16.8553782,-21.5003822,23.2429364,229.000,-245.611,-242.529,0.0531364,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872318,1,OK,82.5778262,-19.5647462,-3.8109525,326.638,-268.642,-237.617,0.0753612,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872318,1,OK,136.1250819,-4.4143195,-5.6147554,132.033,-218.479,-234.361,0.1717544,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872326,1,OK,-172.5545100,-9.4226239,-1.0737126,30.765,-186.583,-223.280,0.0931820,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872326,1,OK,13.4312232,-21.3014134,24.5220885,222.951,-245.887,-239.296,0.0607620,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872326,1,OK,79.8034549,-21.0936632,-1.9956879,308.744,-260.959,-235.915,0.1140557,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872326,1,OK,130.8684336,-4.4426961,-5.5783036,131.303,-217.894,-233.039,0.0228547,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872334,1,OK,-173.0513484,-9.1808539,0.0955556,31.586,-183.524,-221.723,0.0883624,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872334,1,OK,13.0312927,-21.8002485,23.6899471,224.583,-255.229,-241.012,0.0753701,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872334,1,OK,81.3407931,-19.7880714,-4.2575740,318.223,-281.530,-237.106,0.1394124,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872334,1,OK,128.8593410,-4.6645786,-4.2842908,128.249,-220.093,-233.547,0.0677059,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872342,1,OK,-173.0979218,-8.6956875,-0.2311955,32.404,-177.391,-222.213,0.0832311,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872342,1,OK,11.0374454,-22.3015571,24.4303679,221.039,-252.971,-240.476,0.0544550,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872342,1,OK,82.2674455,-20.9658569,-4.4030890,308.713,-273.624,-237.264,0.2547743,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872342,1,OK,127.0279391,-4.7343419,-4.8182088,128.103,-214.577,-233.322,0.0423872,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872350,1,OK,-170.5979532,-8.0560283,-0.1134931,34.009,-171.394,-222.214,0.0676153,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872350,1,OK,9.6903627,-21.3393660,25.2843041,217.475,-241.869,-240.146,0.2114036,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872350,1,OK,77.7042267,-22.0884670,-2.3758798,302.274,-264.298,-236.436,0.1711136,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872350,1,OK,128.3739289,-3.7430466,-5.0085350,129.710,-208.120,-231.031,0.0811728,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872358,1,OK,-170.8465543,-7.6484929,0.0513049,33.980,-163.670,-220.630,0.0821095,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872358,1,OK,14.6335034,-25.4871525,20.9567559,228.918,-244.600,-236.696,0.3332739,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872358,1,OK,72.6663098,-20.8640299,-2.5584071,312.482,-267.295,-234.340,0.3828309,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872358,1,OK,127.2115408,-2.9383642,-5.3837097,130.749,-199.982,-229.976,0.0535245,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872366,1,OK,-170.8053776,-7.1475817,-0.7653378,35.480,-154.399,-221.151,0.0451697,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872366,1,OK,11.0307668,-20.2464128,21.3113372,217.928,-231.595,-238.894,0.1596480,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872366,1,OK,77.9195883,-18.3423563,-1.9146168,299.622,-255.813,-240.005,0.0733424,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872366,1,OK,124.6828449,-4.2380830,-3.7654486,127.704,-192.036,-230.868,0.0401944,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872374,1,OK,-169.1279727,-7.4627912,-1.5742815,35.254,-145.130,-221.842,0.0602986,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872374,1,OK,10.8026842,-19.6603763,19.5290746,223.072,-225.639,-240.724,0.0789643,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872374,1,OK,78.4520838,-13.9403663,-3.8619087,313.318,-258.651,-238.839,0.1821533,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872374,1,OK,127.8935638,-3.7278741,-0.8710218,124.607,-188.855,-235.353,0.1957179,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872382,1,OK,-174.7029472,-9.1877531,1.3590110,30.232,-134.677,-222.932,0.1178211,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872382,1,OK,10.1635835,-17.1969798,17.7295402,216.596,-212.330,-234.669,0.1417438,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872382,1,OK,81.8691152,-11.3031406,-1.4801151,293.961,-232.123,-233.978,0.2365007,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5872382,1,OK,126.2087093,-1.7695772,-3.5531232,131.656,-170.764,-227.563,0.0336721,0
