Tools,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713150,1,OK,147.9060742,-18.2269789,-14.0694101,234.466,-69.713,-232.765,0.1212909,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713150,1,OK,132.7939440,-18.1005163,-9.1949172,334.559,-85.139,-236.926,0.2485895,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713150,1,OK,-169.5009414,-2.4723570,-1.4625799,35.306,-40.917,-216.334,0.0681728,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713150,1,OK,90.3902055,-5.2036160,7.4703699,135.938,-56.152,-226.154,0.0226838,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713158,1,OK,145.6932967,-17.5282970,-9.8605159,229.885,-66.547,-229.763,0.0887934,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713158,1,OK,136.7742934,-18.5054998,-7.2499550,322.062,-77.516,-241.210,0.1014092,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713158,1,OK,-170.5985590,-2.9156572,0.3578106,35.785,-36.561,-217.964,0.0959390,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713158,1,OK,91.1246668,-4.3472812,6.8991770,136.472,-49.753,-223.453,0.0276375,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713166,1,OK,147.6879600,-18.8300012,-11.6183375,233.211,-48.370,-233.515,0.1665248,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713166,1,OK,137.0508268,-17.6530174,-7.9029108,333.835,-60.903,-241.620,0.1504118,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713166,1,OK,-168.7543546,-2.4250011,-1.0324529,35.696,-27.294,-215.491,0.0534741,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713166,1,OK,91.4609588,-4.8987033,8.4134730,134.871,-38.956,-225.647,0.0195050,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713174,1,OK,145.4001264,-17.0230062,-8.6012244,233.651,-44.965,-230.765,0.0824247,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713174,1,OK,138.9816073,-17.0330136,-6.2661866,326.685,-52.160,-241.042,0.1421349,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713174,1,OK,-169.5311112,-2.4637177,-0.1462164,36.368,-22.242,-217.680,0.0782140,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713174,1,OK,94.1171592,-4.4762355,7.0448397,136.923,-32.195,-224.138,0.0357635,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713182,1,OK,150.3419263,-16.8374368,-10.8806341,237.559,-28.704,-231.703,0.0992581,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713182,1,OK,136.4033835,-15.4451024,-4.7882491,332.570,-41.057,-238.084,0.0787792,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713182,1,OK,-166.9800609,-2.5819249,-1.4794441,35.863,-14.083,-216.751,0.0494504,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713182,1,OK,94.7042539,-4.5202676,7.3820609,137.666,-22.297,-225.641,0.0197150,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713190,1,OK,150.0742705,-15.4067089,-8.4863898,237.940,-21.410,-230.148,0.0396726,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713190,1,OK,141.9382693,-14.5696375,-5.8465112,333.440,-27.648,-237.257,0.1877775,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713190,1,OK,-167.4993891,-1.8121439,-0.6199931,37.346,-9.743,-216.994,0.0636477,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713190,1,OK,96.6978075,-3.1836485,6.9158279,138.180,-15.806,-224.277,0.0192662,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713198,1,OK,148.5837901,-15.9862374,-6.3538101,235.109,-12.110,-230.919,0.1301714,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713198,1,OK,139.9778809,-15.0999924,-3.7030455,331.740,-14.733,-240.008,0.0926889,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713198,1,OK,-166.7057368,-1.8874783,-0.7116491,37.248,-4.393,-215.981,0.0465980,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713198,1,OK,97.2771629,-2.5365182,7.6833082,136.908,-9.156,-224.299,0.0129427,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713206,1,OK,149.7953804,-13.6907777,-5.1531330,239.000,-4.268,-229.946,0.0957333,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713206,1,OK,139.1915220,-11.8626849,-2.6092379,336.688,-6.442,-234.433,0.0407726,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713206,1,OK,-166.9689530,-1.9601039,-0.2448725,37.425,-0.435,-216.846,0.0549147,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713206,1,OK,100.0280742,-1.7843362,7.2370989,138.349,-2.722,-225.057,0.0314673,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713214,1,OK,154.4888585,-14.1506824,-4.7580471,237.412,5.455,-231.646,0.0615834,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713214,1,OK,140.5277503,-12.5077903,0.4758594,331.225,5.566,-240.204,0.0440152,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713214,1,OK,-166.0097157,-2.2873247,-0.8842361,37.043,3.949,-217.795,0.0405274,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713214,1,OK,101.6066239,-1.3987612,7.7259605,138.671,4.849,-226.094,0.0427632,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713222,1,OK,152.5991133,-12.9792263,-3.3707470,238.264,13.904,-229.888,0.1110072,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713222,1,OK,140.0585204,-10.1299909,1.5255297,334.417,16.787,-237.343,0.1324689,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713222,1,OK,-166.0032938,-1.6921401,-0.8369551,37.491,6.826,-216.003,0.0503520,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713222,1,OK,102.1466365,-0.3849028,7.8591651,137.996,9.448,-225.306,0.0272471,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713230,1,OK,154.7544498,-12.0126471,-0.7454250,237.779,17.000,-231.126,0.0512946,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713230,1,OK,141.7502215,-9.3973462,2.5942515,333.888,25.243,-237.561,0.1138944,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713230,1,OK,-165.5746100,-2.3660808,-0.4268501,37.319,7.408,-218.235,0.0455051,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713230,1,OK,102.9024971,0.6738681,7.9412812,138.611,13.025,-225.341,0.0219325,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713238,1,OK,152.6222273,-11.0934797,0.8908350,237.194,23.879,-230.106,0.1502919,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713238,1,OK,141.5189085,-7.3040488,5.2104654,333.875,30.216,-238.308,0.0674499,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713238,1,OK,-164.9364602,-1.9459331,-0.6201975,37.379,9.318,-214.769,0.0398620,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713238,1,OK,103.7273373,1.6144159,8.5926058,136.467,14.942,-224.526,0.0367915,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713246,1,OK,158.8732452,-11.1355487,0.1668984,236.985,32.025,-230.271,0.0279742,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713246,1,OK,145.6395218,-7.2118065,4.4037555,331.738,43.163,-234.926,0.1218335,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713246,1,OK,-165.6516416,-1.6870212,-0.3412620,38.408,8.876,-218.592,0.0499612,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713246,1,OK,108.5339116,0.7404852,7.8833032,138.833,20.439,-225.931,0.0509501,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713254,1,OK,160.5742045,-10.2791163,1.1476889,236.898,35.327,-229.823,0.0705924,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713254,1,OK,145.7164947,-5.4206575,7.1576995,332.293,46.084,-237.533,0.1040231,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713254,1,OK,-164.3085546,-2.2624656,-1.7593180,36.480,10.194,-215.903,0.0410155,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713254,1,OK,107.0017229,2.0207894,8.0631633,137.070,20.807,-224.359,0.0324820,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713262,1,OK,159.5968737,-9.8020674,2.1523794,236.963,37.370,-230.545,0.0806283,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713262,1,OK,145.3840970,-4.0690917,7.7412542,332.020,52.185,-235.683,0.1307947,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713262,1,OK,-165.5348153,-1.8833223,-0.1903483,37.592,6.120,-218.033,0.0487828,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1713262,1,OK,110.9648959,2.2083524,8.0162413,138.103,21.195,-226.267,0.0577020,0
