Tools,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556246,1,OK,147.0219419,-19.7550111,-16.3669709,237.596,-30.110,-232.128,0.0690257,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556246,1,OK,145.0047754,-19.4373461,-16.7734155,332.647,-40.975,-238.911,0.0638086,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556246,1,OK,-166.0421896,-1.9472828,-0.7548148,36.864,-5.982,-215.868,0.0417826,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556246,1,OK,92.8379920,-6.5517214,7.4943027,137.147,-18.577,-227.451,0.0394292,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556254,1,OK,150.5750629,-18.9978992,-13.9053746,235.364,-20.577,-233.820,0.1147197,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556254,1,OK,145.9952269,-19.7694779,-13.0663552,328.105,-27.648,-243.523,0.1204639,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556254,1,OK,-166.9484908,-2.4203844,-1.0747073,37.202,-0.473,-218.956,0.0649457,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556254,1,OK,94.8147625,-7.5291914,7.2120784,137.590,-8.654,-225.387,0.0297985,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556262,1,OK,152.5068665,-18.2466169,-13.8551187,237.383,-3.798,-231.348,0.0738086,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556262,1,OK,143.7256409,-17.1921871,-9.3486361,334.503,-15.238,-241.604,0.1499747,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556262,1,OK,-164.0974742,-2.2367079,-2.3122224,36.263,6.374,-215.483,0.0495868,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556262,1,OK,94.5078143,-6.6024269,6.5171082,138.494,-0.165,-223.537,0.0671405,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556270,1,OK,149.8577688,-17.5394673,-9.0846519,236.486,1.897,-231.740,0.0631982,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556270,1,OK,150.8133453,-15.1125790,-8.2057122,333.505,1.180,-240.627,0.2349567,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556270,1,OK,-164.6205821,-1.7595900,-0.3665803,37.815,6.369,-217.967,0.0452905,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556270,1,OK,99.9356734,-3.9838998,7.6000454,139.262,6.958,-228.068,0.0911332,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556278,1,OK,154.8227758,-16.8579769,-7.8868305,238.288,20.014,-234.896,0.1182967,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556278,1,OK,156.5829893,-15.4843388,-9.9959604,333.532,32.612,-238.935,0.1200372,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556278,1,OK,-164.4420408,-1.5959699,-1.1300358,37.748,9.071,-215.646,0.0414493,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556278,1,OK,104.4948753,-4.3766670,8.5165055,135.973,14.106,-225.527,0.0512872,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556286,1,OK,159.9744862,-13.9422210,-5.5693448,237.655,27.670,-231.274,0.1039166,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556286,1,OK,151.8125966,-14.0903081,-3.1604717,330.669,36.785,-241.924,0.0716735,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556286,1,OK,-164.0314656,-1.9234267,-1.4645106,37.539,9.830,-218.836,0.0557204,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556286,1,OK,108.2714510,-3.1517955,6.1144922,140.308,19.041,-224.846,0.0736318,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556294,1,OK,158.6886845,-12.9030688,-3.4236271,236.597,36.954,-229.395,0.0846625,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556294,1,OK,150.0842674,-9.2957108,2.4142530,333.958,41.686,-239.952,0.0562264,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556294,1,OK,-161.7145113,-2.3489992,-2.4939691,35.816,10.862,-215.331,0.0532459,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556294,1,OK,106.2602342,-0.6497776,7.7869718,137.059,22.262,-225.537,0.0744629,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556302,1,OK,165.7883536,-11.6618546,-1.6291474,235.819,44.908,-230.992,0.0605206,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556302,1,OK,156.2195675,-7.3681795,3.0703772,330.824,63.862,-234.776,0.1300737,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556302,1,OK,-163.2259402,-1.2382700,-0.6254128,38.297,5.821,-217.754,0.0534873,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556302,1,OK,112.8379987,0.1177497,7.8836102,136.947,24.274,-226.165,0.0322076,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556310,1,OK,164.8618181,-11.3397356,1.9666770,230.085,49.160,-231.253,0.1031599,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556310,1,OK,157.3249927,-6.1285953,5.9486630,324.369,76.562,-235.962,0.1233588,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556310,1,OK,-162.8524833,-0.8913845,-1.3683943,38.755,1.910,-216.517,0.0414618,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556310,1,OK,114.7558882,-0.7425177,8.4350982,133.630,24.228,-224.016,0.0335616,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556318,1,OK,170.8804502,-9.2429493,2.5641434,230.636,53.331,-228.810,0.0416978,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556318,1,OK,161.9661086,-3.9877872,8.8974786,322.037,82.710,-236.163,0.0633521,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556318,1,OK,-163.1894162,-1.6846332,-1.5995957,36.943,-2.140,-217.125,0.0550825,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2556318,1,OK,118.6679085,-0.4378340,6.6978930,136.258,24.117,-224.785,0.0436467,0
