Tools,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117606,1,OK,150.6234464,-17.8857528,-6.8387264,234.645,17.596,-232.797,0.1349724,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117606,1,OK,145.0972123,-14.4682420,-2.2231412,331.398,20.949,-242.644,0.0973159,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117606,1,OK,-164.4038748,-1.7860375,-0.8736938,38.110,8.612,-217.476,0.0462134,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117606,1,OK,100.5526762,-5.6633741,7.9273212,137.435,15.280,-224.205,0.0567411,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117614,1,OK,157.8058329,-15.6279187,-7.1202397,237.660,32.216,-232.121,0.0563314,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117614,1,OK,147.5517512,-13.0312697,-2.8300310,335.138,36.776,-239.479,0.0612369,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117614,1,OK,-163.2117718,-2.3788931,-1.7225303,36.329,8.800,-215.299,0.0437987,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117614,1,OK,105.4247907,-3.8296598,7.9201889,136.978,20.346,-225.218,0.0534636,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117622,1,OK,161.9455205,-14.4682268,-6.1203964,235.783,41.397,-231.373,0.0735393,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117622,1,OK,153.6153152,-14.0050256,-3.8030580,329.668,54.157,-240.755,0.0866324,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117622,1,OK,-163.4001684,-2.3064560,-1.5324808,36.586,5.443,-218.326,0.0536618,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117622,1,OK,113.9409464,-2.6249722,6.7701578,138.642,25.063,-226.487,0.0716378,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117630,1,OK,161.3935635,-13.2704266,-3.0788252,232.121,49.425,-229.601,0.0998426,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117630,1,OK,155.8561394,-12.1434460,-1.8989622,325.483,67.593,-237.547,0.1086889,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117630,1,OK,-163.3542598,-1.7436015,-2.4140029,36.805,2.070,-215.699,0.0471682,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117630,1,OK,114.3088788,-0.9846248,7.8516354,134.243,23.678,-224.298,0.0145682,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117638,1,OK,166.5475897,-12.0003302,-0.3076194,229.159,51.246,-231.158,0.0571082,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117638,1,OK,159.3003443,-9.1026646,1.5672612,322.635,77.926,-236.245,0.1220273,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117638,1,OK,-164.8410729,-1.1580437,-0.5005609,38.871,-7.344,-218.534,0.0723382,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117638,1,OK,119.4598901,-0.6994975,7.5739405,134.519,21.851,-225.863,0.0481905,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117646,1,OK,170.1072448,-11.0782639,1.6620026,224.465,53.409,-230.081,0.1197062,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117646,1,OK,162.1796756,-5.6704277,6.1552599,318.205,86.060,-236.105,0.0098100,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117646,1,OK,-163.7704025,-0.8364741,-2.1253365,38.069,-12.163,-215.645,0.0534623,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117646,1,OK,119.7333403,-1.2802267,8.3698027,129.856,18.868,-223.742,0.0454101,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117654,1,OK,179.1693413,-9.1428440,0.4076849,224.027,56.020,-226.513,0.0729693,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117654,1,OK,165.7624910,-3.6438543,7.9659045,308.570,97.098,-232.460,0.0559406,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117654,1,OK,-165.2679244,-1.9642485,-1.4464018,35.934,-20.671,-217.810,0.0810953,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117654,1,OK,129.2024030,-0.4346551,5.7725540,133.599,14.583,-224.882,0.2251983,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117662,1,OK,-177.9445631,-9.4461297,1.9199454,219.698,49.962,-227.183,0.0584641,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117662,1,OK,169.7143425,-2.2356788,11.5047364,304.599,95.302,-236.581,0.0428709,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117662,1,OK,-164.2883614,-2.4286354,-2.7363969,34.563,-26.681,-216.001,0.0556843,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117662,1,OK,123.4343618,-0.8615575,6.8607287,130.106,7.017,-223.201,0.0275858,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117670,1,OK,-176.6130279,-8.7134595,1.8904148,219.953,45.299,-227.055,0.0624932,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117670,1,OK,175.4586698,-0.6798279,10.1020390,301.515,100.299,-229.812,0.0885858,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117670,1,OK,-167.8127199,-1.8833049,-0.8789346,36.305,-38.660,-216.865,0.1012763,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117670,1,OK,125.6244051,-2.0319563,6.8188695,129.882,-0.974,-224.371,0.0163032,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117678,1,OK,-176.6171713,-10.4081460,0.7851733,216.187,38.211,-228.534,0.1313234,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117678,1,OK,177.0993249,-2.4602861,8.0421832,296.048,97.783,-231.201,0.0518964,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117678,1,OK,-166.4580182,-1.7915371,-2.3133395,36.523,-45.953,-216.026,0.0830396,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117678,1,OK,126.4230129,-4.8307929,6.5992283,128.024,-8.712,-223.283,0.0194942,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117686,1,OK,-173.1144851,-10.0599159,-1.0112300,217.447,28.923,-226.715,0.0351256,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117686,1,OK,-178.4137854,-4.2938717,6.0217449,296.295,88.727,-231.658,0.0819701,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117686,1,OK,-167.5247810,-1.9227961,-1.3494928,35.830,-55.609,-216.222,0.0964568,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117686,1,OK,127.1906801,-4.4270437,5.8520536,130.464,-20.280,-223.430,0.0362608,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117694,1,OK,-173.6330640,-11.3137878,-3.6543606,217.171,22.647,-228.006,0.0890417,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117694,1,OK,-177.8722031,-6.9072151,1.5170707,295.556,80.958,-231.181,0.0828743,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117694,1,OK,-167.4628571,-1.8783520,-1.4939234,36.489,-65.339,-216.577,0.0973447,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117694,1,OK,126.8170110,-6.9138763,6.2145505,129.277,-27.956,-224.866,0.0224741,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117702,1,OK,-173.2546074,-11.8490390,-4.5527920,217.153,11.475,-228.331,0.0677126,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117702,1,OK,175.8309298,-9.2641454,-1.4529494,296.006,69.859,-229.540,0.1033683,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117702,1,OK,-168.3779261,-2.4634643,-2.1592200,34.664,-73.509,-216.344,0.1142712,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117702,1,OK,126.3937880,-7.3114903,6.1675620,129.025,-37.786,-224.996,0.0365741,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117710,1,OK,-173.7759023,-12.7285904,-4.7831046,215.921,-2.389,-228.200,0.0570756,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117710,1,OK,176.3361319,-11.6927642,-3.1415865,298.266,51.925,-232.773,0.0374770,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117710,1,OK,-165.8394231,-1.9662309,-1.6438850,36.319,-84.408,-216.480,0.0884080,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117710,1,OK,126.6627596,-7.1998917,5.5657245,130.341,-50.053,-223.116,0.0324261,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117718,1,OK,-175.1203727,-11.9218892,-4.7381625,217.565,-14.551,-225.444,0.0531941,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117718,1,OK,175.3775703,-10.2259540,-2.4759470,302.384,36.219,-229.902,0.0549025,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117718,1,OK,-165.9473742,-0.4162459,-2.9718106,38.222,-91.210,-216.429,0.0986958,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2117718,1,OK,112.6096572,-9.4569920,7.9948172,128.317,-58.916,-227.328,0.4638677,0
