Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328166,1,OK,0.7367863,-0.0999877,0.1295887,-0.6560146,50.245,-7.086,-368.390,0.1080130,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328166,1,OK,0.9864841,-0.0854976,0.1317296,-0.0467603,164.189,-4.599,-370.506,0.1166099,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328166,1,OK,0.3690014,0.0208173,0.1073148,0.9229779,266.129,5.142,-375.504,0.2305997,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328166,1,OK,0.7077951,-0.1318769,-0.0026055,-0.6939941,356.147,15.466,-382.055,0.2513881,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328174,1,OK,0.7368249,-0.1022240,0.1281575,-0.6559078,50.231,-7.932,-364.489,0.1538390,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328174,1,OK,0.9869784,-0.0758010,0.1326595,-0.0502924,163.912,-4.383,-367.720,0.0741351,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328174,1,OK,0.3597015,0.0244349,0.0995434,0.9274205,266.608,2.857,-372.124,0.1815593,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328174,1,OK,0.7137995,-0.1221651,0.0019218,-0.6896102,358.641,13.788,-377.431,0.2196589,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328182,1,OK,0.7373707,-0.1018335,0.1263921,-0.6556977,50.784,-8.233,-360.921,0.1405544,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328182,1,OK,0.9887023,-0.0637616,0.1309945,-0.0352505,164.291,-4.749,-362.519,0.1418250,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328182,1,OK,0.3791831,0.0261295,0.0843166,0.9211016,267.391,1.518,-367.072,0.2619482,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328182,1,OK,0.7011665,-0.1064341,0.0119911,-0.7049067,359.523,9.862,-372.026,0.2511874,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328190,1,OK,0.7426938,-0.1007414,0.1266581,-0.6497805,50.826,-8.221,-356.969,0.1468113,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328190,1,OK,0.9894207,-0.0513735,0.1315426,-0.0332258,164.468,-2.774,-359.530,0.1353512,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328190,1,OK,0.3430125,0.0363204,0.0619877,0.9365793,268.031,2.868,-363.903,0.1029514,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328190,1,OK,0.6726431,-0.0888120,0.0307831,-0.7339728,358.096,7.617,-367.656,0.3106529,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328198,1,OK,0.7372745,-0.1013222,0.1269099,-0.6557850,50.807,-7.885,-352.974,0.1000146,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328198,1,OK,0.9893083,-0.0442809,0.1327976,-0.0409025,164.209,-2.926,-355.826,0.1137607,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328198,1,OK,0.3266189,0.0450601,0.0434552,0.9430808,268.192,3.334,-361.186,0.0955485,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328198,1,OK,0.6625087,-0.0643285,0.0547340,-0.7442770,359.572,7.828,-364.108,0.2505081,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328206,1,OK,0.7376493,-0.1018705,0.1274012,-0.6551830,50.787,-7.770,-349.472,0.1196629,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328206,1,OK,0.9891341,-0.0391599,0.1332495,-0.0482154,164.609,-3.252,-352.441,0.0925036,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328206,1,OK,0.3492820,0.0473623,0.0297931,0.9353456,269.714,2.552,-357.591,0.0465553,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328206,1,OK,0.6702558,-0.0522930,0.0682908,-0.7371288,360.948,5.313,-362.190,0.1998977,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328214,1,OK,0.7335685,-0.1032920,0.1249056,-0.6600050,51.218,-8.346,-346.214,0.0910319,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328214,1,OK,0.9899072,-0.0317609,0.1339872,-0.0335026,165.303,-3.877,-349.424,0.1243111,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328214,1,OK,0.3626576,0.0520024,0.0204071,0.9302466,270.065,1.809,-354.592,0.0591454,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328214,1,OK,0.6874505,-0.0431570,0.0710667,-0.7214560,362.678,1.875,-357.849,0.3092071,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328222,1,OK,0.7358842,-0.1023805,0.1244682,-0.6576476,51.316,-8.336,-341.841,0.1081686,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328222,1,OK,0.9900660,-0.0262568,0.1346437,-0.0308376,165.007,-4.448,-344.463,0.1237919,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328222,1,OK,0.3566251,0.0577750,0.0117414,0.9323855,269.178,2.174,-350.502,0.0649472,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328222,1,OK,0.6613358,-0.0424338,0.0810846,-0.7444861,360.568,2.087,-355.336,0.2992562,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328230,1,OK,0.7353858,-0.1035624,0.1244549,-0.6580225,51.073,-8.454,-338.321,0.0732142,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328230,1,OK,0.9895082,-0.0246739,0.1365540,-0.0402207,165.158,-4.537,-342.233,0.0855128,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328230,1,OK,0.3565207,0.0618736,0.0087844,0.9321950,268.950,2.219,-347.539,0.0535267,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328230,1,OK,0.6475446,-0.0452685,0.0851175,-0.7559046,359.685,2.513,-352.981,0.2949663,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328238,1,OK,0.7372559,-0.1039107,0.1247789,-0.6558098,51.063,-8.608,-334.714,0.1040684,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328238,1,OK,0.9889827,-0.0294048,0.1373196,-0.0468186,165.098,-6.114,-338.629,0.0784781,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328238,1,OK,0.3699915,0.0598179,0.0144311,0.9269951,269.119,-0.595,-344.123,0.1159964,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1328238,1,OK,0.6614306,-0.0425942,0.0848788,-0.7439697,361.366,3.958,-348.664,0.2238944,0
