Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922598,1,OK,0.7393286,-0.1027882,0.1230970,-0.6539686,52.264,-8.644,-324.426,0.1224994,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922598,1,OK,0.9476528,-0.2907029,0.1247732,-0.0433313,164.001,-1.162,-332.179,0.0995996,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922598,1,OK,0.2849952,-0.0515639,0.3256816,0.9000280,267.714,12.446,-345.996,0.0249091,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922598,1,OK,0.6861620,-0.2931449,-0.1698212,-0.6437457,359.970,27.851,-357.192,0.2221630,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922606,1,OK,0.7366399,-0.1046386,0.1218130,-0.6569430,51.980,-8.937,-316.717,0.0927831,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922606,1,OK,0.9501100,-0.2869020,0.1171645,-0.0353640,164.873,0.945,-324.878,0.0886785,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922606,1,OK,0.2644430,-0.0582671,0.3353315,0.9023456,267.594,15.758,-336.118,0.0994094,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922606,1,OK,0.6900552,-0.3214869,-0.2053142,-0.6150740,359.443,32.152,-346.960,0.2521407,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922614,1,OK,0.7384435,-0.1045378,0.1223027,-0.6548398,51.827,-8.836,-309.174,0.0954958,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922614,1,OK,0.9528243,-0.2801704,0.1130873,-0.0290096,164.176,3.282,-316.312,0.0894960,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922614,1,OK,0.2841505,-0.0761081,0.3369885,0.8943740,268.073,17.269,-327.054,0.0863293,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922614,1,OK,0.6693995,-0.3322941,-0.2362203,-0.6210354,358.639,32.656,-338.266,0.1859973,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922622,1,OK,0.7372592,-0.1048867,0.1212614,-0.6563104,51.906,-8.827,-301.868,0.0869315,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922622,1,OK,0.9549503,-0.2753440,0.1087133,-0.0209051,163.644,5.651,-308.248,0.0634307,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922622,1,OK,0.2686249,-0.0729651,0.3333425,0.9007772,266.211,19.887,-317.380,0.0150201,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922622,1,OK,0.6724662,-0.3192319,-0.2366007,-0.6244199,359.632,36.775,-326.949,0.1380213,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922630,1,OK,0.7409836,-0.1055871,0.1198169,-0.6522565,52.111,-9.469,-294.514,0.1051944,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922630,1,OK,0.9577190,-0.2669976,0.1064453,-0.0124860,163.425,7.392,-300.400,0.0474225,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922630,1,OK,0.2622980,-0.0744302,0.3154934,0.9089136,267.633,24.367,-308.144,0.0338332,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922630,1,OK,0.6829283,-0.2984488,-0.2192029,-0.6296724,359.237,41.249,-316.304,0.1560973,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922638,1,OK,0.7366937,-0.1067423,0.1195995,-0.6569508,52.132,-9.315,-286.951,0.0758727,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922638,1,OK,0.9617931,-0.2521422,0.1065021,-0.0059645,163.056,9.259,-292.662,0.0539443,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922638,1,OK,0.2802848,-0.0769551,0.2914484,0.9113595,268.107,27.585,-299.327,0.0320301,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922638,1,OK,0.6872892,-0.2755219,-0.2032581,-0.6406304,359.625,43.379,-305.842,0.1124551,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922646,1,OK,0.7350968,-0.1070399,0.1186943,-0.6588526,52.389,-9.310,-279.462,0.0696453,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922646,1,OK,0.9658585,-0.2356278,0.1075987,0.0043971,163.102,9.483,-284.504,0.0405568,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922646,1,OK,0.2902364,-0.0689943,0.2717145,0.9149721,266.393,28.436,-291.718,0.0618748,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922646,1,OK,0.6880770,-0.2541966,-0.1876803,-0.6532306,359.900,43.146,-295.480,0.1308091,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922654,1,OK,0.7361610,-0.1074446,0.1178220,-0.6577542,52.511,-9.487,-272.196,0.0714276,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922654,1,OK,0.9697333,-0.2191547,0.1070663,0.0111941,163.774,10.301,-276.910,0.0445873,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922654,1,OK,0.2827291,-0.0598279,0.2526649,0.9233880,266.530,29.577,-284.128,0.0451975,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922654,1,OK,0.6861820,-0.2307503,-0.1665657,-0.6694508,358.269,45.438,-286.667,0.2113794,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922662,1,OK,0.7361928,-0.1074918,0.1182388,-0.6576361,52.543,-9.302,-264.633,0.0726565,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922662,1,OK,0.9723311,-0.2056977,0.1095656,0.0160009,163.501,10.715,-268.814,0.0490627,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922662,1,OK,0.3002289,-0.0589197,0.2317122,0.9234179,266.811,31.566,-274.797,0.1062829,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922662,1,OK,0.6918391,-0.2071787,-0.1483749,-0.6755891,358.916,46.409,-275.458,0.2024773,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922670,1,OK,0.7326887,-0.1087502,0.1166754,-0.6616098,52.953,-9.592,-257.369,0.0589094,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922670,1,OK,0.9745838,-0.1952026,0.1087603,0.0159251,164.520,10.650,-261.368,0.0274391,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922670,1,OK,0.2886693,-0.0491447,0.2198267,0.9305542,266.790,31.668,-267.254,0.0681550,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922670,1,OK,0.6991988,-0.1945934,-0.1270629,-0.6760987,357.625,46.869,-267.948,0.1728148,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922678,1,OK,0.7331088,-0.1097266,0.1163770,-0.6610355,53.187,-9.650,-250.173,0.0586478,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922678,1,OK,0.9760277,-0.1859335,0.1117054,0.0179072,164.704,10.654,-253.941,0.0377718,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922678,1,OK,0.2980616,-0.0446939,0.2097422,0.9301451,267.501,30.662,-260.499,0.0888828,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922678,1,OK,0.7004641,-0.1859144,-0.1120879,-0.6798692,358.269,46.859,-262.309,0.1713949,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922686,1,OK,0.7347830,-0.1093778,0.1161345,-0.6592747,53.368,-9.790,-242.494,0.0565735,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922686,1,OK,0.9770640,-0.1801247,0.1128112,0.0132148,165.071,9.921,-246.716,0.0318758,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922686,1,OK,0.2883970,-0.0362402,0.1997894,0.9357339,267.853,30.495,-252.399,0.0479873,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922686,1,OK,0.7107682,-0.1796103,-0.0981262,-0.6729933,358.308,47.013,-254.751,0.1730900,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922694,1,OK,0.7347102,-0.1095177,0.1156930,-0.6594103,53.430,-9.850,-235.397,0.0537741,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922694,1,OK,0.9774383,-0.1780481,0.1130631,0.0114000,165.807,8.842,-239.209,0.0423536,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922694,1,OK,0.2720956,-0.0291982,0.1935775,0.9421461,268.739,28.492,-244.744,0.0238629,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,922694,1,OK,0.7131175,-0.1784334,-0.0893749,-0.6720395,359.972,44.419,-249.510,0.1624123,0
