Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427686,1,OK,0.7347230,-0.1031749,0.1236952,-0.6589663,53.740,-66.181,-309.667,0.1008477,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427686,1,OK,0.9862715,0.0396327,0.1383052,-0.0810526,168.729,-76.944,-315.012,0.1523575,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427686,1,OK,0.4318477,0.0714092,-0.0206665,0.8988777,274.062,-87.146,-321.618,0.2017319,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427686,1,OK,0.6047747,-0.0256099,0.0914261,-0.7907167,370.094,-105.303,-323.528,0.3900035,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427694,1,OK,0.7356256,-0.1027802,0.1238075,-0.6579992,53.584,-62.322,-309.565,0.0991583,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427694,1,OK,0.9861472,0.0413827,0.1380474,-0.0821226,168.694,-73.210,-315.034,0.1504694,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427694,1,OK,0.4067341,0.0706282,-0.0250643,0.9104674,274.550,-83.288,-321.678,0.0686597,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427694,1,OK,0.6014150,-0.0191118,0.0952018,-0.7930141,367.937,-101.560,-324.000,0.2878895,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427702,1,OK,0.7314528,-0.1050843,0.1227923,-0.6624622,53.169,-58.950,-309.444,0.0728361,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427702,1,OK,0.9856032,0.0427617,0.1380804,-0.0877012,168.471,-68.903,-314.728,0.1231267,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427702,1,OK,0.4211160,0.0709771,-0.0246167,0.9038902,274.138,-79.182,-321.226,0.1299313,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427702,1,OK,0.5856574,-0.0185123,0.0944086,-0.8048290,367.621,-99.813,-323.110,0.3085842,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427710,1,OK,0.7351121,-0.1039013,0.1238263,-0.6583933,52.961,-54.957,-309.194,0.0852643,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427710,1,OK,0.9859391,0.0425201,0.1381204,-0.0838985,168.059,-65.072,-314.448,0.1114900,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427710,1,OK,0.4096504,0.0703436,-0.0243341,0.9092008,273.306,-75.236,-320.420,0.0998012,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427710,1,OK,0.5951115,-0.0160898,0.0993813,-0.7973122,366.825,-90.901,-323.723,0.1461926,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427718,1,OK,0.7342809,-0.1046024,0.1236433,-0.6592436,52.889,-51.311,-309.164,0.0769249,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427718,1,OK,0.9857047,0.0414460,0.1387716,-0.0860869,167.937,-60.832,-314.506,0.1055975,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427718,1,OK,0.4150485,0.0731919,-0.0246739,0.9065147,272.641,-69.622,-320.693,0.1396709,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427718,1,OK,0.5938093,-0.0165873,0.1030501,-0.7978070,366.624,-84.472,-324.836,0.2391403,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427726,1,OK,0.7348503,-0.1051909,0.1229917,-0.6586372,52.973,-47.792,-309.418,0.0695641,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427726,1,OK,0.9854503,0.0390812,0.1398895,-0.0882682,167.799,-56.765,-314.585,0.1099676,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427726,1,OK,0.3938061,0.0721397,-0.0259046,0.9159921,273.346,-64.619,-321.033,0.1022585,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427726,1,OK,0.5806896,-0.0187651,0.0995068,-0.8078031,367.698,-79.415,-323.705,0.3598612,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427734,1,OK,0.7310287,-0.1058294,0.1217697,-0.6630002,53.036,-44.129,-309.389,0.0828215,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427734,1,OK,0.9861281,0.0385865,0.1387537,-0.0825218,167.925,-52.765,-314.465,0.0977092,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427734,1,OK,0.4091349,0.0716313,-0.0215675,0.9094022,273.051,-60.305,-320.632,0.0703866,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427734,1,OK,0.6095972,-0.0201610,0.0967579,-0.7865257,366.230,-74.196,-323.080,0.1639519,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427742,1,OK,0.7313504,-0.1049400,0.1226942,-0.6626163,52.814,-40.056,-309.110,0.0765707,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427742,1,OK,0.9855760,0.0353875,0.1396309,-0.0888306,167.504,-48.937,-314.281,0.0826479,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427742,1,OK,0.3957101,0.0711787,-0.0194090,0.9154072,272.276,-56.003,-320.131,0.0898404,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427742,1,OK,0.6185534,-0.0244702,0.0987302,-0.7791311,364.344,-66.753,-323.930,0.1968428,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427750,1,OK,0.7328547,-0.1051448,0.1226415,-0.6609294,52.562,-36.356,-309.178,0.0656231,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427750,1,OK,0.9861948,0.0347459,0.1397156,-0.0818054,167.306,-44.678,-314.248,0.1142250,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427750,1,OK,0.3820771,0.0723866,-0.0186973,0.9211014,271.906,-50.471,-320.751,0.0586258,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427750,1,OK,0.6286198,-0.0244988,0.0990794,-0.7709866,365.525,-58.846,-324.876,0.1988653,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427758,1,OK,0.7360760,-0.1042280,0.1235659,-0.6573127,52.333,-32.475,-309.079,0.1079177,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427758,1,OK,0.9868519,0.0347393,0.1388371,-0.0751055,167.564,-40.558,-314.674,0.1381888,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427758,1,OK,0.3652363,0.0711202,-0.0192330,0.9279948,271.989,-45.224,-320.027,0.1086794,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427758,1,OK,0.6588697,-0.0227629,0.0990813,-0.7453559,365.303,-52.154,-324.608,0.2184723,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427766,1,OK,0.7358858,-0.1050032,0.1223896,-0.6576223,52.466,-29.108,-309.267,0.0903886,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427766,1,OK,0.9870515,0.0346681,0.1385127,-0.0730874,167.418,-36.395,-313.994,0.1212102,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427766,1,OK,0.3657415,0.0683248,-0.0159741,0.9280677,271.969,-41.387,-319.116,0.0665877,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427766,1,OK,0.6241780,-0.0270040,0.0950729,-0.7750057,365.518,-47.598,-322.886,0.2571428,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427774,1,OK,0.7336851,-0.1050775,0.1214992,-0.6602294,52.618,-25.357,-309.128,0.0825917,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427774,1,OK,0.9862835,0.0335513,0.1401868,-0.0804171,166.727,-32.213,-313.511,0.0898355,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427774,1,OK,0.3880991,0.0709364,-0.0150032,0.9187611,271.478,-35.551,-319.534,0.0592571,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427774,1,OK,0.6367614,-0.0256106,0.0983545,-0.7643333,364.997,-40.844,-323.551,0.1759769,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427782,1,OK,0.7364936,-0.1043870,0.1228602,-0.6569520,52.295,-21.295,-308.707,0.0853183,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427782,1,OK,0.9872428,0.0370430,0.1402096,-0.0657329,166.551,-27.562,-313.703,0.1162376,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427782,1,OK,0.3813051,0.0745137,-0.0199513,0.9212253,271.234,-29.062,-320.109,0.1108286,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,427782,1,OK,0.6438999,-0.0236950,0.1050939,-0.7574872,364.426,-33.017,-325.184,0.2257251,0
