Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109334,1,OK,0.7359027,-0.1041512,0.1220541,-0.6578013,52.855,-34.190,-309.264,0.0797826,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109334,1,OK,0.9777706,0.0327371,0.1442014,-0.1486567,164.863,-55.509,-315.728,0.1427941,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109334,1,OK,0.4630173,0.0697902,-0.0052560,0.8835817,267.608,-80.237,-322.213,0.1129006,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109334,1,OK,0.5555615,-0.0241295,0.0947899,-0.8257022,359.439,-107.088,-326.112,0.1463098,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109342,1,OK,0.7343291,-0.1060347,0.1202108,-0.6595959,52.855,-27.386,-309.692,0.0846786,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109342,1,OK,0.9772626,0.0336477,0.1440000,-0.1519530,164.404,-48.220,-315.023,0.1460221,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109342,1,OK,0.4835476,0.0755230,-0.0103798,0.8719921,267.035,-71.486,-323.751,0.1993073,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109342,1,OK,0.5383320,-0.0252052,0.0939328,-0.8371022,358.310,-103.222,-326.813,0.2272797,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109350,1,OK,0.7330668,-0.1062431,0.1203440,-0.6609408,52.521,-19.723,-309.477,0.0849180,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109350,1,OK,0.9771253,0.0351572,0.1403675,-0.1558431,165.130,-41.077,-314.549,0.1390124,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109350,1,OK,0.5242726,0.0709624,-0.0073040,0.8485572,266.558,-66.749,-321.733,0.1994977,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109350,1,OK,0.5201861,-0.0229212,0.0894478,-0.8490466,358.231,-99.380,-324.850,0.3181355,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109358,1,OK,0.7377433,-0.1054182,0.1203176,-0.6558548,52.487,-12.275,-309.344,0.0992184,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109358,1,OK,0.9775176,0.0360891,0.1394596,-0.1539739,164.778,-33.408,-313.923,0.1132097,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109358,1,OK,0.5045502,0.0670081,-0.0134071,0.8606737,266.893,-60.040,-319.989,0.1296471,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109358,1,OK,0.5283137,-0.0167805,0.0916352,-0.8439230,355.567,-94.086,-323.281,0.1535973,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109366,1,OK,0.7371575,-0.1057515,0.1213204,-0.6562749,52.008,-4.464,-309.310,0.0937040,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109366,1,OK,0.9764977,0.0313894,0.1414100,-0.1595936,164.108,-25.495,-313.889,0.0968434,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109366,1,OK,0.4812982,0.0721229,-0.0179227,0.8734009,265.228,-50.905,-320.383,0.0982379,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109366,1,OK,0.5167707,-0.0141590,0.1002179,-0.8501199,353.906,-85.561,-324.312,0.1926633,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109374,1,OK,0.7341610,-0.1062490,0.1201740,-0.6597553,52.000,2.844,-309.698,0.0903401,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109374,1,OK,0.9767184,0.0252361,0.1408371,-0.1598415,164.175,-17.850,-313.641,0.0961340,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109374,1,OK,0.5086586,0.0701996,-0.0126901,0.8580078,265.365,-43.813,-320.193,0.1179949,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109374,1,OK,0.5484932,-0.0109587,0.1033264,-0.8296739,353.755,-76.807,-325.192,0.1464352,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109382,1,OK,0.7352320,-0.1067608,0.1199369,-0.6585220,51.588,10.130,-309.371,0.0916607,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109382,1,OK,0.9770064,0.0211528,0.1405393,-0.1589333,164.088,-10.224,-313.855,0.1307026,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109382,1,OK,0.5191061,0.0674766,-0.0066206,0.8520164,265.408,-36.308,-319.941,0.1729416,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109382,1,OK,0.5431919,-0.0148040,0.1005645,-0.8334327,354.190,-67.637,-324.443,0.2182308,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109390,1,OK,0.7332676,-0.1074977,0.1199935,-0.6605789,51.139,17.716,-309.073,0.0873576,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109390,1,OK,0.9760689,0.0208130,0.1427039,-0.1627636,163.251,-2.238,-313.667,0.0911876,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109390,1,OK,0.4933314,0.0690799,-0.0040915,0.8670844,264.457,-26.910,-319.668,0.1075752,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109390,1,OK,0.5579672,-0.0207138,0.0995709,-0.8236074,353.988,-55.199,-324.371,0.1155688,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109398,1,OK,0.7316152,-0.1077600,0.1202468,-0.6623200,50.703,25.357,-308.092,0.0787709,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109398,1,OK,0.9746923,0.0193847,0.1417371,-0.1717837,163.185,4.678,-312.978,0.0707638,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109398,1,OK,0.4861957,0.0677460,0.0000202,0.8712200,265.169,-17.181,-319.306,0.0891642,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109398,1,OK,0.5657708,-0.0286622,0.0923605,-0.8188720,356.095,-43.078,-324.026,0.1360284,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109406,1,OK,0.7346246,-0.1071402,0.1211445,-0.6589171,50.420,32.796,-307.709,0.0864773,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109406,1,OK,0.9754683,0.0190143,0.1412147,-0.1678050,163.070,11.895,-313.040,0.0839994,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109406,1,OK,0.4808538,0.0645287,0.0079893,0.8743865,265.104,-9.841,-319.037,0.1265831,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,109406,1,OK,0.5680023,-0.0394121,0.0851579,-0.8176602,356.260,-31.595,-323.635,0.1406065,0
