Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394366,1,OK,-157.4698763,-0.3866099,-1.5966585,37.347,11.880,-236.182,0.0377928,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394366,1,OK,36.1044861,-7.2155640,12.7061919,241.587,-8.206,-244.714,0.0085189,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394366,1,OK,26.8623151,-6.0465034,7.6177806,334.586,-24.134,-243.237,0.0390688,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394366,1,OK,119.6541250,-8.5047038,-2.0183780,140.115,2.940,-241.823,0.0379752,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394374,1,OK,-157.7046417,-0.9155270,0.6192312,38.766,8.903,-241.096,0.0300303,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394374,1,OK,38.6854642,-5.2433906,10.5073237,240.510,-6.665,-243.782,0.0647241,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394374,1,OK,28.3054542,-4.8107389,7.1622660,331.380,-12.543,-241.681,0.1329443,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394374,1,OK,122.1567966,-6.4535834,-2.0551281,142.399,3.915,-240.659,0.0565483,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394382,1,OK,-155.9395495,-0.8802229,-0.7869581,37.405,11.242,-235.285,0.0366822,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394382,1,OK,43.9568787,-7.0899541,11.9110753,241.535,10.931,-243.734,0.0785350,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394382,1,OK,37.5310487,-5.5706840,6.1837826,333.781,3.823,-241.784,0.1960948,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394382,1,OK,122.9269708,-7.6442487,-0.9507807,139.830,10.942,-240.721,0.0816277,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394390,1,OK,-156.1581456,-0.6434984,-0.4994770,38.589,10.452,-241.498,0.0445651,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394390,1,OK,40.8602212,-5.6160468,11.1420602,244.048,17.372,-244.299,0.1775582,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394390,1,OK,30.8648283,-4.4390528,6.4785296,334.819,16.686,-241.447,0.0980314,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394390,1,OK,128.1799799,-6.6500387,-2.7182617,143.439,14.333,-241.748,0.0621491,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394398,1,OK,-154.8520125,-0.4353465,-1.6572764,37.328,10.712,-236.866,0.0294301,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394398,1,OK,48.6960930,-6.2803771,11.0234317,240.465,26.001,-242.943,0.0443656,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394398,1,OK,41.7860698,-4.6105339,4.9407421,333.738,29.045,-241.381,0.1876877,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394398,1,OK,127.7637536,-7.8077337,-1.8862919,140.723,19.490,-240.906,0.0825704,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394406,1,OK,-157.7175912,-1.0345530,0.0804610,38.275,5.510,-241.178,0.0538097,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394406,1,OK,49.0988425,-4.9016449,8.8323184,242.478,29.210,-242.127,0.0723916,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394406,1,OK,36.4304650,-2.8820058,3.3560347,333.710,37.230,-240.245,0.0399886,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394406,1,OK,134.5883601,-5.9682135,-2.1873813,143.058,19.723,-242.744,0.0801606,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394414,1,OK,-155.6625413,-0.5948841,-0.7373768,37.648,3.432,-236.330,0.0265073,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394414,1,OK,53.8550626,-4.7726507,10.0028367,237.726,38.652,-243.068,0.0362757,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394414,1,OK,42.2791864,-3.4729448,4.0472708,329.393,55.167,-238.933,0.0373898,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394414,1,OK,133.1020215,-6.7948640,-0.6489542,137.389,18.974,-238.925,0.0258413,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394422,1,OK,-156.5783078,-1.0635418,0.1306168,37.571,-2.105,-240.356,0.0466002,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394422,1,OK,56.7042772,-4.5270842,7.6190801,238.802,41.826,-240.872,0.0388615,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394422,1,OK,44.1200122,-2.4044741,1.3727585,328.979,61.047,-237.918,0.0597604,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394422,1,OK,138.6715588,-5.3159418,-1.9462441,140.921,20.192,-241.570,0.0408203,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394430,1,OK,-154.1196082,-1.1825117,-2.0295570,36.163,-3.237,-239.395,0.0348817,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394430,1,OK,60.3818967,-4.7749724,7.4638421,236.990,50.082,-240.704,0.0304033,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394430,1,OK,50.0719814,-1.7485993,0.0607680,324.991,70.158,-236.797,0.1015130,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394430,1,OK,139.1514011,-6.1562325,-2.0171299,138.574,20.705,-240.097,0.0280059,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394438,1,OK,-156.4856570,-0.4560600,-0.5178722,37.552,-10.104,-238.620,0.0632366,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394438,1,OK,62.9916696,-2.8967243,6.0133362,233.442,50.368,-240.309,0.0485490,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394438,1,OK,52.0630138,-1.0890902,-1.1795221,320.361,79.670,-235.821,0.0725641,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,8394438,1,OK,142.2078121,-4.9272018,-1.1693601,137.512,18.580,-240.615,0.0506581,0
