Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975886,1,OK,-158.8977147,-0.5461213,-0.9006298,36.601,-10.078,-234.832,0.0297388,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975886,1,OK,19.8985735,-8.6902764,17.0028968,221.744,-88.141,-249.929,0.0338367,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975886,1,OK,12.1335181,-9.1091715,14.6965666,308.081,-128.120,-251.246,0.1294617,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975886,1,OK,104.4621733,-12.0031964,-2.8959847,129.125,-47.666,-242.282,0.0556703,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975894,1,OK,-159.9511216,-0.6379436,1.1909664,38.169,-8.607,-240.963,0.0562222,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975894,1,OK,18.6150936,-8.1228370,14.3094808,223.338,-83.521,-242.645,0.1034789,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975894,1,OK,12.1149713,-7.7896148,12.0985059,302.036,-118.593,-241.531,0.0931460,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975894,1,OK,106.5663910,-8.5392232,-4.8917448,136.198,-45.545,-241.917,0.0629696,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975902,1,OK,-157.6509119,-0.9591580,-2.0164917,36.096,1.496,-237.662,0.0368831,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975902,1,OK,26.4478313,-10.2737024,14.6140001,230.989,-68.900,-248.769,0.0953855,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975902,1,OK,17.4402650,-9.4576893,10.4191966,317.494,-105.995,-244.598,0.1208234,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975902,1,OK,107.8753988,-11.7973756,-3.6692342,133.801,-31.617,-243.156,0.0594870,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975910,1,OK,-158.2508151,-0.4534559,0.3927249,38.059,2.324,-240.217,0.0619259,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975910,1,OK,22.8378904,-7.3726781,13.1309594,229.331,-63.265,-243.744,0.0997668,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975910,1,OK,13.3082755,-5.5238552,10.7873506,309.512,-91.717,-243.724,0.0718665,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975910,1,OK,110.3539107,-8.5174514,-4.3710838,137.822,-29.028,-241.472,0.0314562,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975918,1,OK,-157.7534977,-0.0202497,-0.3426589,38.779,5.700,-236.536,0.0411116,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975918,1,OK,27.7583355,-7.1226565,14.9743022,228.974,-46.471,-246.197,0.0323753,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975918,1,OK,14.4697960,-4.5164441,11.1914236,315.422,-74.006,-246.983,0.1284966,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975918,1,OK,112.0552279,-10.2865777,-3.0344234,135.541,-18.868,-239.699,0.0600770,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975926,1,OK,-156.7710055,-0.8298427,0.1737037,37.527,8.207,-238.995,0.0486824,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975926,1,OK,27.3369646,-6.2469774,11.1669475,234.466,-43.879,-242.660,0.0605487,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975926,1,OK,15.4622279,-4.8090783,7.2712287,321.728,-67.850,-241.424,0.1062928,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975926,1,OK,114.5258502,-7.4260131,-3.3645492,140.090,-15.406,-241.580,0.0123444,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975934,1,OK,-156.6085482,-1.0587743,-0.9552057,37.106,10.953,-240.099,0.0428320,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975934,1,OK,35.3707651,-8.0326593,11.8545534,240.131,-27.565,-246.021,0.0811837,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975934,1,OK,22.9530407,-5.5191707,6.2095162,330.242,-50.245,-242.368,0.0646917,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975934,1,OK,117.8340662,-8.3805429,-3.0846201,141.226,-6.995,-243.310,0.0242526,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975942,1,OK,-156.7684329,-0.2173696,-0.7709620,37.884,12.397,-237.828,0.0497858,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975942,1,OK,34.8193026,-6.7152184,11.3335607,239.975,-18.344,-244.452,0.0285473,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975942,1,OK,26.3770721,-4.2716331,4.8123056,330.875,-37.020,-242.595,0.1027399,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975942,1,OK,121.0894015,-7.3851015,-2.9048107,141.009,-2.326,-241.947,0.0584744,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975950,1,OK,-155.4903812,-0.6374251,0.1448721,38.656,9.879,-239.810,0.0441342,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975950,1,OK,37.0526165,-4.5372011,10.7539435,238.231,-12.680,-244.945,0.0605082,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975950,1,OK,23.6069148,-2.2773793,5.2234606,329.773,-21.591,-244.372,0.1358991,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975950,1,OK,122.7355747,-6.8549718,-1.9219329,140.622,-0.002,-240.487,0.0345458,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975958,1,OK,-155.3916148,-0.5130532,-0.0589154,37.755,8.940,-236.188,0.0543903,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975958,1,OK,44.1501452,-6.0088115,9.5816545,241.543,-1.163,-242.894,0.0908604,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975958,1,OK,32.4353504,-2.6398725,2.4461338,334.004,-10.104,-241.080,0.1235785,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,7975958,1,OK,124.2988598,-6.7889218,-1.8656093,141.601,5.693,-240.795,0.0750397,0
