Tools,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493046,1,OK,73.6186257,7.0123799,2.0054826,216.713,27.438,-242.254,0.0964185,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493046,1,OK,162.8579565,7.3941391,12.7145198,301.475,75.661,-229.294,0.1112245,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493046,1,OK,-171.5945887,-3.1775400,0.4739989,37.185,-66.441,-240.307,0.1052710,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493046,1,OK,130.6664385,-6.9421187,1.1421879,131.671,-27.048,-243.884,0.0803758,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493054,1,OK,74.3276140,8.1531305,2.9573983,212.735,20.190,-243.096,0.0838134,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493054,1,OK,158.1066225,8.5759888,13.5577693,301.369,65.575,-232.537,0.0571640,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493054,1,OK,-168.5874992,-3.3647231,-3.2265093,35.811,-67.482,-238.290,0.0618195,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493054,1,OK,128.3686934,-9.1612376,2.1229985,126.174,-29.372,-243.276,0.0515983,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493062,1,OK,73.9427994,7.5268972,1.0212037,217.741,15.129,-242.726,0.0846829,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493062,1,OK,160.9455087,8.1521551,12.9489596,302.567,60.779,-231.115,0.0295640,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493062,1,OK,-172.8040116,-5.2962310,-1.8111519,32.438,-76.158,-240.722,0.1259807,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493062,1,OK,129.6308897,-6.2689779,1.7418059,130.480,-38.939,-245.445,0.0301549,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493070,1,OK,72.4329107,9.0650912,0.9871746,216.295,5.587,-243.763,0.0243790,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493070,1,OK,158.5280386,7.9779920,14.3265956,302.171,48.348,-234.893,0.0641061,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493070,1,OK,-170.0594602,-4.0733240,-1.8049430,35.303,-83.890,-240.831,0.0795832,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493070,1,OK,128.2261489,-6.4374558,1.8201090,129.732,-43.850,-245.867,0.0622838,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493078,1,OK,71.8717051,9.4104404,0.2821043,217.814,-1.912,-243.258,0.1247961,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493078,1,OK,160.5785689,8.0060666,13.9264129,303.957,42.406,-232.256,0.0652332,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493078,1,OK,-171.9269751,-3.1682463,-0.8587230,36.841,-91.530,-240.487,0.1184021,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493078,1,OK,128.7157812,-4.6154880,2.1400395,130.820,-53.105,-244.834,0.0356389,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493086,1,OK,70.2837785,10.9079796,0.6071566,215.056,-12.962,-243.983,0.0277439,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493086,1,OK,156.9518766,8.3860597,14.6663526,305.154,29.527,-235.161,0.0464002,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493086,1,OK,-169.0862575,-1.9921475,-0.5136918,39.300,-99.111,-238.505,0.0735938,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493086,1,OK,128.5816508,-4.9266438,2.6780554,128.661,-60.247,-244.115,0.0518854,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493094,1,OK,66.9920099,11.9906765,-2.0666437,219.351,-23.415,-243.905,0.0324886,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493094,1,OK,157.6595462,9.4754972,16.5021422,310.483,15.372,-235.742,0.0625413,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493094,1,OK,-169.5138963,-3.3531457,-1.3691903,35.824,-104.036,-239.529,0.0833218,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493094,1,OK,126.3480743,-3.0870599,2.5782257,131.446,-69.050,-244.564,0.0325760,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493102,1,OK,67.8311479,11.7479979,-0.7818729,219.342,-29.238,-246.498,0.0224998,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493102,1,OK,153.1691741,9.2048489,15.7491887,309.273,7.713,-237.369,0.0889784,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493102,1,OK,-171.4719384,-5.5493477,-0.2292798,32.186,-113.072,-238.877,0.1164265,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493102,1,OK,125.4177904,-4.2786208,3.9901306,129.088,-76.750,-246.698,0.0161302,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493110,1,OK,66.5410058,12.3548082,-1.8619520,221.143,-39.688,-246.382,0.0550953,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493110,1,OK,149.5613684,11.6933967,16.5108353,312.872,-7.663,-236.341,0.1212028,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493110,1,OK,-167.0681855,-4.0653596,-3.3492338,33.676,-114.091,-240.619,0.1345741,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493110,1,OK,124.6979244,-5.4469559,3.2307561,129.142,-81.774,-248.352,0.0804820,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493118,1,OK,65.1667558,12.9931260,-2.2176418,221.568,-52.190,-244.103,0.1275440,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493118,1,OK,149.9612905,11.4217670,16.9260755,315.081,-19.381,-236.258,0.0581604,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493118,1,OK,-170.0328689,-5.4915468,-0.9506841,33.013,-125.762,-241.065,0.1254447,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,493118,1,OK,123.4872617,-2.5412306,3.0090799,133.277,-94.405,-244.027,0.0447919,0
