Tools,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154918,1,OK,16.6131586,-4.3314982,16.1721980,223.585,-179.679,-250.031,0.0811097,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154918,1,OK,121.8548900,-11.6837390,-10.9538430,313.492,-215.076,-238.986,0.1558908,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154918,1,OK,-163.2143834,-4.1817848,-1.9087928,32.350,-93.187,-240.414,0.0639396,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154918,1,OK,69.4512653,-20.5011280,1.6453964,132.229,-132.594,-248.833,0.0982420,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154926,1,OK,14.6567796,-2.9050196,17.1576169,217.012,-165.097,-246.240,0.0991976,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154926,1,OK,121.2904516,-12.9481334,-7.9997086,299.233,-201.972,-241.456,0.1703403,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154926,1,OK,-167.4308719,-3.0103396,0.0148744,34.516,-86.936,-239.440,0.1178115,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154926,1,OK,75.0275585,-20.1331151,0.2529751,129.866,-122.808,-246.116,0.1118128,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154934,1,OK,15.7083123,-2.5224688,17.3121283,218.373,-157.899,-250.758,0.0441656,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154934,1,OK,116.1874745,-13.0827409,-6.1339434,304.850,-197.299,-246.129,0.1697832,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154934,1,OK,-165.9268376,-1.4495628,-0.3672589,37.898,-78.052,-238.671,0.1046593,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154934,1,OK,71.7919981,-20.9627862,1.8427864,130.625,-111.923,-247.134,0.0525024,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154942,1,OK,14.5661515,-2.6007396,17.1215463,218.023,-145.596,-245.706,0.0690733,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154942,1,OK,115.9438860,-12.6848457,-6.2197437,304.378,-185.895,-241.648,0.1089254,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154942,1,OK,-166.1496922,-1.6847866,-0.2546733,36.989,-69.154,-238.822,0.0928811,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154942,1,OK,74.4201097,-20.2578286,0.2581196,132.057,-104.338,-245.740,0.0449691,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154950,1,OK,16.8731985,-2.4490421,17.2180449,224.920,-137.340,-253.121,0.0671656,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154950,1,OK,117.2254196,-12.2867899,-5.6626983,310.935,-179.381,-245.727,0.1087304,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154950,1,OK,-166.8260331,-3.2292187,-0.6156035,35.865,-62.080,-241.264,0.1096696,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154950,1,OK,74.6059539,-20.3449732,2.6633964,131.155,-93.905,-250.486,0.0342258,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154958,1,OK,16.1591416,-2.1348222,18.2779571,222.586,-123.192,-252.017,0.0613082,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154958,1,OK,114.3713688,-13.5157188,-4.4869940,309.877,-164.772,-247.779,0.0616492,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154958,1,OK,-165.8347755,-2.3961838,-2.8475787,34.925,-48.931,-237.821,0.0823024,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154958,1,OK,73.8419621,-20.4498917,3.2295724,130.110,-82.935,-249.191,0.0329790,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154966,1,OK,18.2044000,-2.7108749,17.0203464,224.055,-113.337,-246.226,0.0532988,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154966,1,OK,114.5641440,-13.5340520,-3.5330230,304.336,-151.584,-243.713,0.1260734,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154966,1,OK,-164.5860014,-2.5634162,-0.1243448,37.281,-47.265,-240.093,0.0601311,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154966,1,OK,76.0951125,-19.5313613,1.0990692,134.148,-76.076,-245.049,0.0282431,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154974,1,OK,19.8354375,-3.5259199,17.4570247,228.340,-99.761,-248.779,0.1209333,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154974,1,OK,114.0657961,-12.1396566,-4.9634972,318.862,-139.516,-241.442,0.1756282,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154974,1,OK,-162.5990526,-2.3011867,-2.8447858,35.159,-33.573,-236.696,0.0335963,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154974,1,OK,76.5577224,-20.6143866,2.3729486,133.269,-62.447,-247.603,0.0644558,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154982,1,OK,19.0976523,-1.4928769,16.3900255,226.827,-90.818,-246.611,0.0522822,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154982,1,OK,118.6037755,-12.2541506,-3.1212240,311.660,-126.480,-244.230,0.1416583,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154982,1,OK,-165.9006868,-2.6051077,0.9160847,37.624,-33.983,-242.404,0.0699028,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154982,1,OK,79.9476185,-17.8294252,0.5002578,136.223,-59.056,-246.244,0.0279157,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154990,1,OK,24.2572148,-3.3257214,17.1729589,232.030,-76.496,-251.687,0.0612770,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154990,1,OK,119.1446023,-11.6415119,-5.5490591,326.118,-110.254,-242.258,0.1566356,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154990,1,OK,-163.0877154,-2.8945476,-3.0083497,34.770,-20.059,-238.529,0.0326206,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1154990,1,OK,80.6797035,-19.9330269,2.5531223,134.351,-43.400,-249.302,0.0312799,0
