Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710742,1,OK,-158.1599449,-10.1543507,1.4744456,38.406,-20.148,-215.080,0.0653700,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710742,1,OK,13.5057140,-8.8190387,20.5204577,230.931,-51.093,-223.943,0.0390018,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710742,1,OK,-166.5593450,10.7018742,-19.3842948,320.448,-73.323,-235.048,0.2107605,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710742,1,OK,157.2635842,-4.1612482,-10.3260341,137.940,-32.656,-220.841,0.0242747,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710750,1,OK,-157.8697766,-10.5251495,2.2530637,38.528,-14.864,-216.499,0.0601581,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710750,1,OK,14.8536165,-8.7769672,16.3660872,235.899,-46.058,-222.151,0.0457724,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710750,1,OK,-162.0520539,11.2076674,-17.6006723,318.895,-61.640,-231.774,0.0647713,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710750,1,OK,157.6447074,-3.6221206,-9.1009405,137.530,-26.587,-218.785,0.0259884,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710758,1,OK,-156.5821493,-10.3465390,0.9410876,38.531,-6.319,-214.116,0.0503413,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710758,1,OK,15.6619146,-7.4606455,16.4168721,233.989,-32.072,-223.499,0.1057630,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710758,1,OK,-157.4008853,12.3076681,-14.6711906,325.982,-51.148,-231.868,0.1639435,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710758,1,OK,158.5290637,-4.1167330,-7.8041275,137.560,-14.977,-220.147,0.0301250,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710766,1,OK,-156.7046066,-10.3398497,1.9374051,39.084,-1.144,-216.708,0.0494408,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710766,1,OK,17.7202916,-7.3934083,13.1341155,237.850,-23.688,-221.741,0.0367627,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710766,1,OK,-156.0627267,10.3937813,-13.8255523,321.646,-36.032,-229.573,0.0846970,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710766,1,OK,159.3791629,-2.4122729,-5.5115595,138.437,-10.401,-218.796,0.0385944,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710774,1,OK,-155.7908360,-10.3630901,0.8368192,38.678,5.830,-214.524,0.0584809,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710774,1,OK,20.8981977,-7.1343851,11.2522341,237.503,-12.415,-221.163,0.1034629,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710774,1,OK,-150.5158003,12.3665635,-9.7369462,331.433,-24.407,-225.669,0.1422890,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710774,1,OK,161.3664999,-2.7070451,-4.3385428,137.895,-0.116,-218.676,0.0421706,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710782,1,OK,-155.7401015,-10.4892594,1.8128763,39.195,9.885,-216.814,0.0680921,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710782,1,OK,20.2228980,-5.7241279,7.4424055,238.363,-5.733,-217.574,0.0554768,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710782,1,OK,-158.5930659,6.0996385,-9.3649296,321.606,-15.885,-228.311,0.1030559,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710782,1,OK,163.3217880,-0.7649279,-1.3616035,139.878,2.784,-220.050,0.0977367,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710790,1,OK,-156.1340138,-10.1264623,1.5787622,39.279,14.278,-213.733,0.0583126,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710790,1,OK,23.7717613,-4.6138716,6.6430782,236.554,6.258,-218.591,0.1321208,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710790,1,OK,-149.3998521,7.7822785,-4.4208637,331.174,-2.351,-223.638,0.1211522,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710790,1,OK,165.8898275,-2.7482682,-0.4371877,135.713,11.647,-217.716,0.1970709,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710798,1,OK,-154.9042321,-10.0621512,1.0172103,39.997,19.057,-216.363,0.0678494,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710798,1,OK,21.0011519,-3.0893912,3.6999130,235.682,11.811,-216.105,0.1539789,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710798,1,OK,-155.6058270,3.9572124,-4.0039900,327.491,11.237,-228.165,0.1878171,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710798,1,OK,165.1817975,0.3229702,1.0750306,141.665,18.047,-220.083,0.0455906,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710806,1,OK,-154.1531824,-10.4238324,1.1268748,39.061,21.512,-214.318,0.0760927,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710806,1,OK,28.3075150,-2.5777677,1.7403861,238.233,23.244,-218.214,0.0711361,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710806,1,OK,-144.2417163,2.6775610,2.0312621,329.346,15.416,-223.369,0.1376725,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710806,1,OK,165.2733264,-0.7266292,3.2578367,138.494,21.268,-219.128,0.0406880,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710814,1,OK,-155.3558622,-10.3002558,1.3192332,40.136,23.458,-216.098,0.0649262,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710814,1,OK,29.4834537,-1.3976646,-1.2157310,240.207,29.785,-220.048,0.1149476,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710814,1,OK,-152.0313253,3.5570513,2.6364697,333.982,33.398,-223.672,0.1613663,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,710814,1,OK,167.1874941,-0.2492374,4.7405574,139.639,28.033,-219.026,0.0439080,0
