Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790462,1,OK,-154.2499855,-10.3904303,1.4816344,38.386,17.995,-213.897,0.0650922,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790462,1,OK,18.9710879,-8.5956167,18.5350775,238.907,6.456,-227.100,0.0958027,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790462,1,OK,-155.2224666,11.5500724,-15.3387945,326.601,-13.867,-238.212,0.2202710,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790462,1,OK,162.8244388,-4.8884011,-8.2210315,136.670,15.901,-220.530,0.0371460,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790470,1,OK,-155.1296538,-9.6870606,1.9529198,39.664,20.891,-216.404,0.0576914,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790470,1,OK,18.6921981,-6.4452561,15.9294910,237.234,14.890,-225.267,0.0623763,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790470,1,OK,-162.3741281,8.4269060,-17.0328257,325.023,5.481,-235.359,0.1770495,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790470,1,OK,163.0961468,-4.3081319,-6.8845364,137.051,22.901,-218.985,0.1385232,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790478,1,OK,-153.8723546,-10.4486280,0.8222665,38.409,23.831,-214.657,0.0670384,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790478,1,OK,20.8138545,-5.5209811,13.6297318,235.947,26.395,-222.677,0.1498422,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790478,1,OK,-152.9580191,8.2263548,-13.5088733,325.236,22.416,-234.757,0.1054452,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790478,1,OK,167.9560149,-3.6280216,-4.3858638,138.229,32.274,-220.854,0.0805180,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790486,1,OK,-154.0565277,-10.4121653,1.5619227,38.803,24.078,-216.502,0.0605754,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790486,1,OK,25.0346675,-4.5618845,8.2486905,238.278,35.194,-221.436,0.0267572,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790486,1,OK,-155.4978120,5.1424786,-7.1324018,326.364,26.372,-231.693,0.1207356,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790486,1,OK,170.8169419,-0.3739345,0.8441547,140.353,32.182,-220.970,0.0656023,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790494,1,OK,-155.2724883,-9.9863452,2.2630723,39.158,22.991,-214.035,0.0616209,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790494,1,OK,33.6138134,-2.4964239,3.0117850,236.413,46.681,-220.921,0.1020233,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790494,1,OK,-145.2803242,6.9568371,-4.2667964,328.811,49.830,-225.160,0.0753439,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790494,1,OK,172.2400290,-2.0610747,4.3063344,134.853,33.587,-219.480,0.0357961,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790502,1,OK,-155.2537131,-9.7591443,1.8867574,39.590,22.173,-216.331,0.0639103,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790502,1,OK,35.8749239,-0.6037958,-3.0181428,237.192,52.437,-219.332,0.0684180,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790502,1,OK,-139.4120291,2.0916485,2.3166958,325.944,59.689,-226.741,0.1151720,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790502,1,OK,174.0867295,-0.6311466,5.6423155,136.447,38.564,-218.942,0.0388662,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790510,1,OK,-153.4479267,-10.7185680,0.8060763,37.278,20.536,-214.645,0.0586326,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790510,1,OK,38.3603918,2.7176654,-7.6678059,234.258,55.999,-219.860,0.0685459,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790510,1,OK,-131.8625770,-4.2757237,10.1156782,324.813,68.268,-226.978,0.1797831,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790510,1,OK,175.5618063,0.7284854,8.9190354,136.648,39.244,-219.890,0.0227415,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790518,1,OK,-154.8284526,-10.0405018,2.6388361,38.315,15.469,-214.679,0.0586264,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790518,1,OK,43.3771049,3.4894084,-10.9688850,235.397,62.481,-218.371,0.0408066,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790518,1,OK,-135.7816494,-6.2531762,17.4399814,323.167,80.819,-223.760,0.0674363,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790518,1,OK,177.3552806,1.2634385,11.3423932,135.565,37.960,-220.774,0.0523857,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790526,1,OK,-155.0173167,-9.7230626,2.2440996,39.517,10.218,-216.165,0.0603909,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790526,1,OK,46.1639745,6.7691543,-12.1834491,230.414,63.043,-222.169,0.1468861,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790526,1,OK,-133.5044148,-12.0138045,22.3159847,319.376,85.558,-231.792,0.0791428,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790526,1,OK,179.9145594,-0.3165825,11.8595158,131.941,37.103,-219.561,0.0523992,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790534,1,OK,-154.1958245,-10.3294820,1.8568353,37.718,5.441,-214.771,0.0544358,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790534,1,OK,46.9566031,9.0867603,-15.3631072,227.613,63.515,-222.810,0.0495362,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790534,1,OK,-131.2669609,-13.9560053,25.0559427,317.807,90.018,-231.777,0.0709130,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790534,1,OK,179.5541855,2.2532745,11.2955404,136.635,34.722,-220.939,0.1566902,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790542,1,OK,-154.6991229,-10.4056441,2.0297069,37.697,-0.657,-215.426,0.0510317,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790542,1,OK,50.6276509,8.4804056,-14.6195552,226.472,68.038,-222.085,0.0712151,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790542,1,OK,-130.4987622,-13.3793380,24.3213329,310.656,94.892,-229.376,0.0382328,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790542,1,OK,-176.2773685,0.0652223,9.8161281,133.630,30.167,-221.846,0.0449136,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790550,1,OK,-156.0041036,-9.9208979,1.9392177,37.997,-6.552,-214.402,0.0646071,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790550,1,OK,53.2145738,8.6719839,-12.5119202,223.217,64.707,-225.611,0.0825537,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790550,1,OK,-129.1930812,-13.9374320,23.8322229,309.773,93.510,-233.745,0.0862060,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790550,1,OK,-171.8216206,-2.6717280,10.2015297,128.118,25.420,-220.461,0.0505680,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790558,1,OK,-157.2009518,-10.3783498,2.9328800,38.087,-15.403,-216.923,0.0599387,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790558,1,OK,50.6456687,6.2945236,-9.4700773,220.368,61.019,-225.040,0.0216915,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790558,1,OK,-129.3584120,-13.1923593,21.0634315,306.027,90.102,-236.523,0.1383449,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790558,1,OK,-170.8806372,-0.3339246,10.0181566,133.264,21.287,-222.896,0.0543691,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790566,1,OK,-156.7714770,-9.8649672,2.2866283,37.346,-21.358,-213.647,0.0498914,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790566,1,OK,55.8032380,6.0615888,-6.7453588,219.083,56.935,-227.324,0.0840677,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790566,1,OK,-127.8237175,-9.5868714,17.8436843,307.752,86.892,-233.277,0.0816653,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,790566,1,OK,-169.3467936,-1.8936987,9.4183434,128.812,12.278,-220.704,0.0334625,0
