Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213238,1,OK,175.7219073,-29.3503419,94.9373344,38.828,-182.711,-187.913,0.0165501,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213238,1,OK,16.3791767,26.2867947,-66.3121363,234.523,-170.156,-200.011,0.0370824,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213238,1,OK,-158.8484821,-22.7865826,57.3141518,325.309,-167.521,-205.802,0.1023551,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213238,1,OK,-179.0154516,17.9425627,80.5385925,137.224,-180.278,-194.548,0.0486166,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213246,1,OK,175.4260039,-29.1269466,95.4575943,39.343,-187.248,-187.616,0.0132722,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213246,1,OK,16.5739543,27.2226564,-67.0330904,233.955,-172.778,-198.384,0.0590622,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213246,1,OK,-158.8630092,-24.4336935,59.8975415,328.294,-172.748,-203.314,0.1219923,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213246,1,OK,-179.1359410,17.9782879,80.3246727,136.671,-181.858,-194.254,0.0173366,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213254,1,OK,175.8736387,-28.7878961,94.8234467,39.115,-188.429,-187.960,0.0387984,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213254,1,OK,15.8699629,25.4219868,-68.1414497,234.737,-174.965,-197.987,0.0499295,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213254,1,OK,-160.8260886,-21.3416700,62.6829882,327.857,-174.055,-200.995,0.0939632,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213254,1,OK,-179.4610508,18.6265699,79.8055684,136.124,-183.657,-196.427,0.0115886,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213262,1,OK,175.2966382,-29.2405539,95.6124267,39.036,-193.027,-187.968,0.0292700,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213262,1,OK,15.4797620,25.9919231,-69.9937180,237.006,-178.890,-196.467,0.0656597,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213262,1,OK,-161.0053668,-22.5293325,62.6006654,327.767,-176.570,-202.874,0.0785599,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213262,1,OK,-178.9050953,19.2050449,80.8735895,137.572,-187.908,-194.046,0.0312103,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213270,1,OK,175.9393280,-28.5785690,94.7651772,38.949,-192.221,-187.411,0.0486631,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213270,1,OK,15.5911261,27.1750352,-69.2142360,233.723,-179.438,-197.495,0.0187740,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213270,1,OK,-162.0899006,-20.5742173,63.5786843,326.192,-178.727,-199.480,0.0548718,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213270,1,OK,-179.5946953,18.5420468,79.4455685,135.524,-186.747,-195.353,0.0184619,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213278,1,OK,175.2891197,-29.5616184,95.6349911,38.605,-195.966,-187.189,0.0139512,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213278,1,OK,15.0595169,25.5901199,-70.0333931,235.704,-183.772,-195.380,0.0861063,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213278,1,OK,-162.0196556,-21.8200745,64.0278232,327.219,-183.087,-200.247,0.1407103,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213278,1,OK,-178.9577859,19.3025411,80.9143463,137.077,-192.086,-192.199,0.0178332,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213286,1,OK,175.8285597,-28.7203761,94.9283645,39.123,-195.840,-187.474,0.0383036,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213286,1,OK,15.2956970,24.0944462,-68.3163340,234.748,-182.542,-196.206,0.0606607,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213286,1,OK,-160.7374622,-21.7626788,61.7435986,326.281,-181.832,-198.899,0.0789358,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213286,1,OK,179.8956375,19.6638162,78.4186641,135.711,-189.702,-195.203,0.0222599,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213294,1,OK,175.1469624,-29.5381059,95.5904405,38.310,-198.325,-188.015,0.0263880,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213294,1,OK,16.0907130,25.5720036,-67.8688651,235.626,-185.619,-194.283,0.0709522,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213294,1,OK,-160.3994475,-20.9075599,60.6856172,327.583,-183.885,-197.460,0.0134768,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213294,1,OK,179.7533042,19.6409029,78.7693308,137.106,-194.921,-194.322,0.0122021,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213302,1,OK,175.4908375,-28.9545984,95.0647813,38.288,-196.982,-187.490,0.0291313,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213302,1,OK,16.1518893,23.7500456,-65.5174147,234.850,-185.523,-194.903,0.0290821,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213302,1,OK,-161.2675039,-18.0616848,58.8489478,326.689,-184.896,-196.739,0.1129908,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213302,1,OK,178.5018102,20.6227168,76.0018847,135.643,-191.783,-193.862,0.0323724,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213310,1,OK,175.6389027,-29.0174272,95.0504829,38.705,-196.887,-187.833,0.0309256,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213310,1,OK,16.7792716,22.8033521,-63.3880814,234.236,-185.925,-193.034,0.0305531,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213310,1,OK,-160.2654208,-18.1477809,56.3307048,325.464,-185.573,-195.150,0.0625243,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213310,1,OK,178.9236702,20.2327103,76.2403574,136.866,-193.599,-192.414,0.0321922,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213318,1,OK,175.3587134,-28.9679854,95.0736314,38.539,-196.614,-188.259,0.0269517,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213318,1,OK,16.9717356,22.3718159,-61.6421953,234.497,-187.111,-193.241,0.0393694,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213318,1,OK,-159.7369411,-16.9335961,54.6392150,326.674,-187.135,-192.355,0.0860426,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213318,1,OK,177.4618786,19.9038149,73.6530883,135.825,-191.297,-193.878,0.0256121,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213326,1,OK,175.7223974,-29.0091213,94.9702427,39.385,-193.594,-188.045,0.0207773,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213326,1,OK,17.8241235,21.7939192,-59.3716737,236.274,-185.153,-193.843,0.0725110,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213326,1,OK,-158.2243468,-17.5063902,50.4467238,326.884,-185.851,-194.924,0.0928639,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213326,1,OK,176.3388432,20.3079622,72.2069160,137.132,-192.370,-194.430,0.0185203,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213334,1,OK,175.3507952,-29.4103205,95.0802273,38.764,-190.902,-188.774,0.0265655,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213334,1,OK,17.3995117,20.7837194,-58.0569179,234.921,-185.954,-191.380,0.0856710,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213334,1,OK,-158.1713674,-15.9262158,48.8969546,326.357,-184.037,-192.124,0.0715527,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213334,1,OK,174.5547857,21.8903885,69.0708633,136.455,-188.429,-192.038,0.0361072,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213342,1,OK,175.6865063,-29.0920677,94.9986476,39.201,-186.180,-186.352,0.0441688,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213342,1,OK,19.6081868,20.5251975,-53.8673171,234.247,-181.027,-189.940,0.0525721,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213342,1,OK,-154.3731913,-20.5050029,46.8167179,325.981,-184.807,-192.412,0.1690584,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213342,1,OK,173.8490331,18.6487418,67.0127002,135.433,-185.474,-195.301,0.0500178,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213350,1,OK,175.5485622,-29.0855724,95.0288948,39.806,-182.856,-188.691,0.0214507,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213350,1,OK,18.4894862,18.7884183,-52.8235513,234.235,-179.286,-189.847,0.0153048,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213350,1,OK,-157.1440604,-14.7239080,45.2482334,325.795,-179.852,-189.384,0.0227450,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213350,1,OK,172.4836488,21.9104678,65.9280163,137.038,-182.770,-193.307,0.0573042,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213358,1,OK,175.5304467,-29.4536152,94.9274583,38.889,-177.456,-187.324,0.0156684,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213358,1,OK,18.4308996,17.7047064,-51.3420573,236.063,-175.802,-191.406,0.0793656,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213358,1,OK,-155.7555295,-15.3182791,41.7915502,326.402,-178.819,-191.396,0.1327000,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213358,1,OK,171.5844719,20.7703361,63.6558814,135.846,-176.379,-194.216,0.0220053,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213366,1,OK,175.5398634,-28.8458522,95.2084517,39.901,-173.213,-188.116,0.0265636,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213366,1,OK,19.5605543,18.3112361,-49.5425286,231.975,-171.225,-187.498,0.0672745,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213366,1,OK,-161.4959562,-8.9977134,43.3142793,324.312,-176.868,-183.805,0.0968418,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213366,1,OK,171.3531217,21.6775881,64.0887782,136.492,-173.562,-193.251,0.0243885,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213374,1,OK,175.3129947,-29.7661596,94.9108442,38.318,-166.646,-187.803,0.0124970,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213374,1,OK,17.7706954,15.7269134,-48.6919181,233.913,-168.055,-188.256,0.0532936,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213374,1,OK,-157.0210467,-11.9586589,40.9367835,327.537,-172.071,-185.789,0.1061422,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213374,1,OK,171.7023916,19.3241238,62.8798439,135.421,-165.919,-193.602,0.0373908,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213382,1,OK,175.4905306,-29.1625495,95.3127946,40.108,-162.096,-187.342,0.0124656,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213382,1,OK,19.9142142,16.2446669,-46.6133439,232.576,-159.297,-186.174,0.0425274,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213382,1,OK,-162.6040567,-6.4240339,39.2867023,323.513,-164.056,-184.480,0.1970477,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213382,1,OK,171.1485277,21.5618254,62.6622701,137.164,-162.224,-192.197,0.0512172,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213390,1,OK,175.5928847,-29.4274502,94.7065831,38.851,-153.923,-187.702,0.0101125,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213390,1,OK,19.2919359,15.3838953,-46.7500062,232.814,-155.474,-184.510,0.0849671,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213390,1,OK,-154.8342999,-12.2535855,39.7078076,327.810,-162.134,-180.399,0.1555257,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213390,1,OK,170.6639839,21.5503116,61.5993181,135.727,-154.402,-191.346,0.0217694,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213398,1,OK,175.4525053,-29.0049029,95.1554999,39.742,-148.724,-187.765,0.0137218,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213398,1,OK,20.3373897,15.7095956,-46.1652359,231.856,-148.545,-181.922,0.0877120,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213398,1,OK,-161.3658693,-6.8190510,39.2576345,323.777,-154.927,-178.757,0.0922995,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213398,1,OK,170.6345317,21.2315256,62.2579965,135.895,-149.394,-192.434,0.0155843,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213406,1,OK,175.4884972,-29.0615771,94.7696126,39.329,-140.597,-187.413,0.0217365,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213406,1,OK,19.0576963,14.6419847,-47.0449670,234.095,-142.496,-182.487,0.0526605,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213406,1,OK,-153.7729047,-11.7908571,38.2161555,326.118,-147.762,-176.465,0.1704895,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213406,1,OK,170.7269542,21.7992624,61.6117801,135.971,-142.120,-189.794,0.0192940,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213414,1,OK,175.5801168,-29.0429496,94.9771746,39.971,-134.372,-187.182,0.0067202,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213414,1,OK,20.5939328,14.3678325,-46.2741942,232.151,-133.903,-178.064,0.0704014,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213414,1,OK,-162.8442686,-4.1572639,39.2521944,325.101,-139.841,-174.737,0.1423249,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213414,1,OK,170.6137863,22.5103216,61.3009616,136.805,-134.953,-189.787,0.0176399,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213422,1,OK,175.4911546,-29.1298171,94.7621663,39.892,-126.896,-187.490,0.0098886,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213422,1,OK,18.5638781,12.4030003,-47.2063988,234.071,-126.962,-178.590,0.0261242,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213422,1,OK,-155.7663967,-8.7750342,39.5395010,327.173,-131.165,-171.150,0.0721070,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213422,1,OK,170.4522180,23.5045723,61.3386520,136.618,-127.402,-188.738,0.0402604,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213430,1,OK,175.6651892,-29.1711871,94.7267704,40.727,-119.845,-187.173,0.0130453,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213430,1,OK,20.0600438,13.6382158,-47.8549328,233.406,-119.565,-175.581,0.0516786,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213430,1,OK,-159.4953802,-5.5246504,39.1693796,327.073,-123.076,-171.134,0.0823793,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213430,1,OK,170.9156979,23.8393772,62.0637628,137.465,-120.092,-188.587,0.0120622,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213438,1,OK,175.6045719,-28.8759669,94.7149731,40.854,-112.302,-187.744,0.0110552,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213438,1,OK,19.3602911,13.6874579,-49.2445210,234.426,-110.838,-175.933,0.0207797,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213438,1,OK,-155.1137053,-8.9312750,40.1780700,326.570,-115.293,-166.525,0.1131087,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2213438,1,OK,170.9646614,24.5213357,61.7601266,137.046,-111.968,-186.465,0.0408637,0
