Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793966,1,OK,179.8171701,-23.8038797,91.5807389,44.140,-28.094,-187.768,0.0136163,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793966,1,OK,18.4549662,42.0196245,-68.9388171,237.935,4.922,-203.803,0.0977404,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793966,1,OK,-168.8262037,-27.0302234,95.2274718,330.195,13.346,-220.197,0.0946878,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793966,1,OK,-174.6984104,19.6864577,79.5141714,140.737,-13.904,-191.996,0.0929164,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793974,1,OK,179.9505387,-23.8231194,91.1860217,44.215,-35.340,-188.874,0.0130512,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793974,1,OK,19.5778384,43.5491402,-64.0242013,235.010,-9.619,-210.308,0.0696547,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793974,1,OK,-166.6850714,-23.6204753,84.4264277,328.570,2.214,-217.820,0.1367315,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793974,1,OK,-175.4405488,18.1621672,79.3858809,141.022,-22.945,-193.724,0.0400196,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793982,1,OK,179.7985204,-24.0167791,91.3523221,43.162,-43.176,-186.831,0.0206346,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793982,1,OK,21.4181008,37.8316489,-57.9939245,239.852,-17.454,-205.441,0.1113474,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793982,1,OK,-163.2027420,-23.9401939,71.6993798,327.892,-9.170,-218.694,0.0497728,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793982,1,OK,-175.9180675,17.7053245,80.1191799,140.903,-31.649,-197.065,0.0102054,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793990,1,OK,179.6476317,-23.9225529,91.3936758,43.305,-51.275,-187.699,0.0116770,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793990,1,OK,23.2921779,38.7250558,-52.3352408,236.776,-31.213,-212.761,0.0776918,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793990,1,OK,-161.0883237,-22.3032608,59.9546768,328.819,-26.511,-223.652,0.0510881,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793990,1,OK,-176.7388268,15.9968939,80.5624288,137.694,-40.472,-200.103,0.0331152,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793998,1,OK,179.6962395,-24.4186815,91.4674609,42.497,-60.173,-188.304,0.0105357,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793998,1,OK,22.3876879,33.9797426,-49.4129267,238.243,-40.536,-214.104,0.0434375,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793998,1,OK,-156.9892078,-16.3862957,48.1875689,330.725,-32.988,-218.693,0.0996631,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2793998,1,OK,-177.8015822,14.9200547,77.8859358,140.181,-50.412,-205.072,0.0427490,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794006,1,OK,179.8511357,-24.4660840,91.3064833,42.904,-68.813,-188.349,0.0162178,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794006,1,OK,24.6834477,32.4613981,-43.3560679,237.943,-52.083,-217.869,0.1239315,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794006,1,OK,-153.4818659,-19.3914209,39.9695980,327.473,-46.498,-230.450,0.0973440,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794006,1,OK,-178.7244545,14.4584052,75.1059973,141.488,-59.236,-207.010,0.0285542,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794014,1,OK,179.9589015,-24.6231175,91.2224477,42.728,-76.914,-187.751,0.0124949,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794014,1,OK,27.4811508,33.3893201,-38.2572790,235.791,-59.258,-222.293,0.0082455,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794014,1,OK,-154.4109255,-16.3333844,36.9573637,328.693,-51.236,-232.317,0.1039794,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794014,1,OK,-179.6340090,12.3270244,73.7244364,137.130,-67.273,-207.346,0.0134458,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794022,1,OK,179.8176596,-25.6611606,91.4311983,42.173,-86.570,-188.234,0.1404966,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794022,1,OK,29.7841926,34.6411825,-36.1754213,235.354,-65.790,-222.566,0.0536323,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794022,1,OK,-150.3024002,-20.8562328,34.0118426,324.294,-62.659,-237.587,0.1566948,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794022,1,OK,-179.9878832,13.1781752,72.8604035,139.737,-76.365,-208.368,0.0225616,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794030,1,OK,179.6836469,-25.2380494,91.2091090,41.887,-93.831,-187.072,0.0775787,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794030,1,OK,27.8225334,37.3546114,-38.3084776,233.510,-78.045,-228.654,0.0304659,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794030,1,OK,-154.3955257,-20.7492443,37.2084678,325.356,-69.412,-246.501,0.0761645,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794030,1,OK,179.9734142,11.5281836,72.4880734,138.954,-86.450,-208.767,0.0070560,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794038,1,OK,179.8432474,-24.7374515,91.4717907,42.453,-104.650,-189.110,0.0112753,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794038,1,OK,31.6535660,39.8102499,-36.3620067,234.216,-82.262,-230.217,0.0292238,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794038,1,OK,-154.1567009,-24.8399421,41.4814506,322.059,-76.814,-249.963,0.0714232,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2794038,1,OK,179.7973662,9.7207293,72.8710405,134.493,-92.073,-208.032,0.0483357,0
