Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559046,1,OK,-171.1040645,-7.9029375,-0.2773689,34.565,-106.168,-220.801,0.0645689,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559046,1,OK,25.1508599,-20.6728950,18.4428745,240.361,-143.413,-239.435,0.1973206,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559046,1,OK,80.1332774,-11.8990828,-0.8787536,331.892,-155.008,-236.565,0.3399214,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559046,1,OK,139.6929236,-3.3617186,-4.2426375,136.006,-122.972,-230.982,0.0447728,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559054,1,OK,-173.4814730,-6.9308539,-0.2641001,36.093,-97.907,-220.396,0.1204251,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559054,1,OK,23.7905720,-17.8587780,17.6948261,228.738,-133.570,-232.101,0.0763234,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559054,1,OK,82.6949252,-10.4064922,1.8185436,312.572,-142.763,-237.406,0.1087380,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559054,1,OK,139.6458568,-2.4435702,-3.2772107,135.912,-116.569,-229.008,0.0325862,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559062,1,OK,-173.1401888,-6.9286055,0.0760813,36.679,-90.991,-219.949,0.1027798,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559062,1,OK,23.0721768,-16.4952176,18.6431267,231.119,-124.317,-239.399,0.0568499,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559062,1,OK,82.1531111,-10.0453182,2.6792899,318.414,-133.785,-244.439,0.1385272,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559062,1,OK,140.6784631,-4.2253641,-3.5651746,133.924,-105.807,-230.701,0.0813179,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559070,1,OK,-173.3126050,-7.4082770,-0.4633293,35.418,-82.379,-220.959,0.1071031,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559070,1,OK,23.6252386,-17.4541890,16.0472458,232.850,-118.671,-232.053,0.0988334,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559070,1,OK,87.6556707,-8.0026181,0.0054149,318.873,-128.414,-234.742,0.2372256,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559070,1,OK,140.0670885,-1.8821434,-2.7644487,137.106,-100.398,-230.417,0.0181563,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559078,1,OK,-173.6948280,-7.8709540,0.7519915,35.765,-77.561,-221.909,0.1065465,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559078,1,OK,26.0124001,-17.3902118,16.1646444,236.970,-109.627,-238.550,0.0414248,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559078,1,OK,82.9865893,-7.6968238,0.5012943,326.202,-120.082,-238.081,0.0518226,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559078,1,OK,140.1848960,-1.8440434,-2.3152659,137.606,-93.088,-230.802,0.0118130,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559086,1,OK,-173.6512792,-7.5217565,-0.3241082,35.446,-67.842,-221.524,0.1037419,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559086,1,OK,27.9470171,-17.6113412,15.0898463,235.198,-100.716,-236.099,0.0572767,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559086,1,OK,84.9662274,-8.1780531,0.1757168,325.186,-107.791,-237.232,0.0345417,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559086,1,OK,140.8619835,-2.3574392,-2.7904488,137.005,-83.857,-231.559,0.0305488,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559094,1,OK,-173.4487958,-7.0790056,0.6919424,37.270,-62.762,-221.495,0.1061158,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559094,1,OK,27.3350993,-16.8842559,15.8518889,232.125,-91.800,-233.894,0.0511142,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559094,1,OK,82.0946486,-8.1581500,2.4692003,319.042,-97.851,-239.705,0.0775576,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559094,1,OK,141.3335174,-1.8603900,-2.8412634,137.703,-77.051,-229.259,0.0263862,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559102,1,OK,-172.1835424,-7.2906912,-1.1836285,36.361,-51.933,-220.154,0.0799660,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559102,1,OK,28.7055474,-18.1581140,16.7654080,236.896,-79.986,-237.730,0.0606418,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559102,1,OK,84.2600138,-8.0844808,-0.3861854,329.187,-86.433,-235.239,0.1019712,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559102,1,OK,142.3143943,-3.5101147,-3.6450252,136.786,-65.179,-231.245,0.0389842,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559110,1,OK,-173.5310437,-6.7654579,1.0170691,37.978,-48.651,-221.929,0.1090065,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559110,1,OK,27.4876940,-16.8512229,16.9655227,233.181,-73.449,-234.860,0.0814314,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559110,1,OK,93.3019264,-8.5292651,0.3318970,322.584,-76.602,-238.539,0.2392615,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559110,1,OK,142.6058028,-1.4643541,-2.9780218,139.197,-61.063,-229.419,0.0411367,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559118,1,OK,-170.2594708,-7.1634942,-1.5762658,36.466,-37.938,-220.497,0.0552277,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559118,1,OK,29.5627734,-19.0385991,18.6871012,238.638,-58.693,-239.432,0.0358214,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559118,1,OK,91.9047531,-10.2270035,-1.0197074,330.218,-61.529,-237.740,0.1247612,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,5559118,1,OK,143.8825620,-3.8670939,-4.2122302,137.524,-48.409,-231.590,0.0332703,0
