Tools,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627838,1,OK,-173.5527378,-6.9606307,-0.2758783,36.861,-104.233,-220.175,0.0790353,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627838,1,OK,4.4750626,-10.1118792,13.6920942,213.582,-187.395,-242.513,0.1121906,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627838,1,OK,67.4257059,-7.8568680,2.9802829,296.734,-225.301,-249.215,0.0731266,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627838,1,OK,125.3585666,-3.6249568,-1.3788577,127.782,-140.472,-232.581,0.1245120,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627846,1,OK,-175.4694175,-7.9454209,-0.3616091,34.460,-93.060,-220.607,0.1042134,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627846,1,OK,6.1549048,-11.9262408,13.3583359,218.093,-168.875,-235.843,0.1649432,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627846,1,OK,69.0510531,-4.4443006,3.1066156,293.305,-205.029,-242.966,0.0627288,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627846,1,OK,124.1687542,-2.7840189,-4.4953311,132.702,-126.599,-227.678,0.0328952,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627854,1,OK,-174.4747727,-6.8375232,-0.0978241,37.445,-84.050,-221.038,0.0831303,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627854,1,OK,8.1380164,-12.4280146,12.8835706,224.819,-156.593,-237.968,0.0932952,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627854,1,OK,72.2739009,-2.1893115,0.7251336,308.559,-193.203,-240.270,0.0939256,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627854,1,OK,124.6386600,-3.4761185,-1.1491240,131.031,-119.136,-233.658,0.0468456,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627862,1,OK,-174.2513306,-6.5735177,-0.6447415,37.444,-72.107,-220.998,0.0844986,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627862,1,OK,6.7459627,-10.7886664,13.3717544,223.459,-143.114,-239.498,0.0646075,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627862,1,OK,75.2738941,-3.2995707,2.0726163,304.547,-171.741,-241.760,0.1089105,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627862,1,OK,129.7147266,-2.8891463,-4.5722329,134.991,-100.643,-229.112,0.1035066,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627870,1,OK,-173.1120587,-6.7815775,-0.2522875,37.579,-62.833,-220.290,0.0728959,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627870,1,OK,10.8976238,-11.8374373,14.6841460,223.325,-124.524,-237.290,0.0818020,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627870,1,OK,76.5309366,-6.5824879,3.5795053,301.547,-151.081,-245.074,0.1366310,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627870,1,OK,128.1080285,-3.3385974,-4.7388787,135.320,-89.500,-226.996,0.0293380,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627878,1,OK,-172.4773889,-6.9703366,-0.6042473,37.015,-51.765,-220.000,0.0492815,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627878,1,OK,15.3535417,-15.5483990,15.3152010,230.412,-108.416,-235.218,0.0702039,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627878,1,OK,71.8469520,-9.1948073,1.6893025,313.159,-135.664,-240.333,0.2250598,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627878,1,OK,128.9948899,-3.0299254,-3.2487124,135.666,-80.343,-230.541,0.0458084,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627886,1,OK,-173.9541781,-6.5473597,0.5046983,38.869,-44.543,-222.205,0.0842760,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627886,1,OK,17.2038284,-15.5941551,17.1692717,231.276,-94.405,-237.936,0.0553877,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627886,1,OK,76.7422442,-12.8610884,0.9178711,317.417,-115.538,-239.703,0.0753920,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627886,1,OK,132.9109384,-3.4875607,-3.2932476,136.950,-66.911,-232.300,0.0522822,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627894,1,OK,-170.5851011,-7.2049462,-1.8679984,36.759,-30.898,-220.055,0.0286210,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627894,1,OK,17.2469651,-16.7884978,21.4194107,233.750,-73.942,-240.678,0.0902319,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627894,1,OK,80.9297247,-17.4370976,-0.1290365,325.136,-90.424,-242.034,0.1196119,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627894,1,OK,134.1835473,-4.4093843,-5.8858052,136.965,-51.607,-229.108,0.0574549,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627902,1,OK,-172.2356475,-6.9950822,0.8075493,38.340,-26.398,-221.339,0.0591633,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627902,1,OK,20.9589352,-17.7098053,19.0329473,230.707,-65.628,-231.570,0.1251910,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627902,1,OK,87.5958334,-16.0987996,0.4896270,312.632,-77.028,-238.846,0.2624552,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627902,1,OK,136.0593249,-2.9740496,-4.7633222,138.686,-46.292,-228.708,0.0888259,0
4,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627910,1,OK,-170.1298877,-6.8949674,-0.9491513,38.013,-15.995,-218.949,0.0309279,0,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627910,1,OK,23.9758884,-18.6638847,22.9008972,236.069,-42.290,-240.309,0.0630392,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627910,1,OK,87.6406279,-17.5684640,0.0806824,328.501,-50.341,-242.909,0.0276719,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,6627910,1,OK,137.6408406,-6.9682756,-5.4123452,135.500,-29.329,-231.030,0.0386364,0
