Tools,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716518,1,OK,160.0987599,-17.0082723,-10.9098373,233.038,-97.832,-230.053,0.0740635,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716518,1,OK,148.1605004,-17.9705738,-7.1497467,325.392,-85.077,-238.452,0.1288150,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716518,1,OK,-168.6234272,-3.2601710,-1.4928585,34.247,-110.608,-217.304,0.0967260,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716518,1,OK,103.4732728,-5.4591428,7.1444725,136.429,-105.676,-224.729,0.0208241,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716526,1,OK,160.2585267,-16.4817295,-11.3591999,238.310,-107.598,-234.429,0.1064627,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716526,1,OK,146.3611394,-16.8317839,-7.8222993,336.819,-99.101,-238.607,0.2391561,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716526,1,OK,-168.2338240,-3.9846378,-2.1638067,32.104,-115.924,-217.119,0.0874786,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716526,1,OK,101.6860757,-5.7197888,8.2789649,134.677,-112.692,-228.087,0.0517148,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716534,1,OK,156.6928424,-17.6470339,-9.5361824,230.785,-118.383,-232.390,0.0791500,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716534,1,OK,145.8704920,-18.3987607,-6.0886158,323.722,-112.854,-243.592,0.1735455,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716534,1,OK,-170.0296597,-4.3922069,-0.4995984,31.672,-124.735,-216.463,0.1249404,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716534,1,OK,101.6140208,-5.2427174,8.2513327,134.576,-121.749,-226.962,0.0339041,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716542,1,OK,157.1454231,-16.1741088,-10.7845715,238.279,-127.811,-234.547,0.0908578,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716542,1,OK,146.6240187,-14.6582725,-7.5158135,338.378,-126.523,-236.941,0.0532474,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716542,1,OK,-165.6840926,-2.3866508,-1.6822769,35.245,-128.678,-217.492,0.0613672,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716542,1,OK,101.1468273,-5.3389963,7.8527627,135.544,-128.660,-228.654,0.0833781,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716550,1,OK,152.0942168,-17.0773493,-7.7249797,226.155,-136.566,-226.032,0.1169010,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716550,1,OK,141.4674191,-18.2103743,-3.8137379,314.068,-135.702,-240.973,0.2884332,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716550,1,OK,-166.3615990,-2.6979530,-0.9767030,34.933,-135.406,-215.868,0.0901497,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716550,1,OK,99.3989453,-2.7821251,6.6746465,136.592,-136.319,-220.284,0.0595336,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716558,1,OK,154.0130972,-16.6418150,-8.8667530,237.077,-146.931,-237.555,0.1423878,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716558,1,OK,141.5634692,-16.1682973,-5.8258841,338.506,-149.045,-244.557,0.2855853,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716558,1,OK,-165.6660711,-3.2880343,-1.8415013,33.412,-140.263,-217.053,0.0590687,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716558,1,OK,97.6062914,-4.1757619,8.9315441,133.530,-142.838,-228.062,0.0350312,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716566,1,OK,151.0464574,-15.7020153,-7.3152074,230.515,-155.086,-227.311,0.0949505,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716566,1,OK,141.3870124,-17.5581942,-5.0275104,317.370,-156.614,-239.644,0.1819576,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716566,1,OK,-165.3786481,-1.4764513,-1.3935826,37.236,-146.055,-217.714,0.0282992,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716566,1,OK,96.7622718,-2.3456504,7.9700352,135.923,-151.359,-225.564,0.0146388,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716574,1,OK,151.8734849,-15.2443016,-8.1760165,239.685,-167.903,-234.913,0.0541194,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716574,1,OK,139.1469839,-14.2995258,-5.7146942,338.283,-172.867,-235.531,0.1357562,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716574,1,OK,-166.2684872,-3.8333210,-1.7642793,33.040,-152.631,-218.345,0.0460952,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716574,1,OK,95.9988072,-2.5197193,8.2842646,136.492,-158.825,-228.458,0.0502371,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716582,1,OK,151.0641613,-16.2163915,-8.8954334,230.708,-169.631,-228.266,0.0523869,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716582,1,OK,137.9388791,-17.3976496,-4.3816097,317.393,-175.017,-237.613,0.0897069,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716582,1,OK,-167.8286405,-3.5875991,-1.2300175,33.155,-158.470,-217.395,0.0893513,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716582,1,OK,94.8418638,-2.2393951,8.3887331,134.669,-164.896,-225.611,0.0535632,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716590,1,OK,152.6043296,-17.7730909,-10.7353491,232.775,-177.621,-238.160,0.1352965,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716590,1,OK,141.3641450,-18.6200741,-8.0811930,331.355,-180.371,-248.745,0.2000771,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716590,1,OK,-166.3624677,-3.2009482,-2.3800096,33.539,-161.829,-218.355,0.0763866,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,1716590,1,OK,95.4795981,-4.7988774,8.5903994,134.191,-169.166,-229.519,0.0829994,0
