Tools,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,Frame,Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636606,1,OK,132.1406511,-18.1220993,-12.9625923,213.891,-200.829,-228.775,0.1377993,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636606,1,OK,131.6702630,-18.9989284,-15.4738268,297.559,-238.455,-239.878,0.1145693,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636606,1,OK,-171.6856418,-3.5340079,-0.5601835,33.345,-127.439,-215.970,0.0961091,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636606,1,OK,74.9737412,-5.0618733,7.0882976,128.555,-161.791,-223.188,0.0173287,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636614,1,OK,129.8387083,-16.1793848,-10.0008677,222.043,-198.268,-232.857,0.0416490,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636614,1,OK,131.2363102,-15.3002708,-13.9777300,317.458,-232.586,-234.693,0.3057318,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636614,1,OK,-170.8517657,-2.5644005,-1.4698149,35.157,-116.515,-217.131,0.0826950,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636614,1,OK,74.4038684,-1.7296279,9.4842960,125.945,-156.918,-228.932,0.0332982,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636622,1,OK,129.2827832,-16.2450232,-6.5244696,211.903,-182.126,-228.407,0.0805230,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636622,1,OK,132.3557757,-16.4799857,-8.3599838,293.246,-213.101,-237.852,0.2412681,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636622,1,OK,-173.4538294,-3.4525025,-0.2621118,33.548,-108.198,-216.508,0.1209008,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636622,1,OK,74.8507042,-2.0542168,7.6785394,128.781,-141.743,-223.269,0.0190995,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636630,1,OK,129.9744897,-16.2953121,-6.4512850,220.958,-171.090,-236.821,0.1290553,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636630,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636630,1,OK,-172.6950080,-3.4590821,-1.5329020,33.141,-95.385,-216.348,0.1051467,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636630,1,OK,75.3192651,-4.2815977,8.4574386,128.827,-128.986,-226.736,0.0183585,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636638,1,OK,131.4461705,-15.1299956,-6.6707518,217.279,-158.510,-227.475,0.0929141,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636638,1,Tool Missing,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636638,1,OK,-174.2350898,-1.0782021,-0.3348863,37.907,-87.170,-216.019,0.1304505,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636638,1,OK,78.1259838,-2.6916677,8.9246493,127.285,-121.877,-225.896,0.0719154,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636646,1,OK,133.0804115,-15.5049604,-8.0298576,224.445,-148.351,-234.270,0.1314169,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636646,1,OK,129.6822464,-10.9900407,-3.6719296,317.173,-183.729,-234.843,0.1731460,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636646,1,OK,-172.0337434,-2.7379872,-1.6505582,34.749,-74.580,-217.315,0.0862557,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636646,1,OK,76.8294181,-4.6902048,6.9417609,132.168,-106.348,-224.678,0.0929339,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636654,1,OK,133.2962827,-15.9278099,-8.5217010,220.115,-131.552,-226.732,0.0847684,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636654,1,OK,131.0339628,-14.2554819,-5.3715037,305.028,-163.444,-234.734,0.1738314,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636654,1,OK,-173.8808445,-2.7388654,0.0978787,34.850,-66.576,-216.658,0.1153142,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636654,1,OK,77.3424652,-3.0606791,6.7146711,132.149,-98.726,-223.661,0.0643385,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636662,1,OK,134.5116746,-17.7571762,-9.9192334,222.294,-118.580,-232.737,0.0838164,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636662,1,OK,131.0198856,-17.4370860,-9.2595343,314.143,-149.168,-244.111,0.1688074,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636662,1,OK,-171.8417959,-1.8612078,-0.7241715,36.702,-55.533,-215.837,0.0852953,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636662,1,OK,81.7902837,-3.5565906,8.2997398,129.971,-85.925,-225.621,0.0652961,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636670,1,OK,135.5992077,-16.7431916,-12.0317672,225.069,-106.543,-227.139,0.1283486,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636670,1,OK,135.7539894,-16.5424049,-14.5087666,316.009,-135.167,-232.975,0.1227898,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636670,1,OK,-172.1139604,-1.5603285,-0.6783167,36.842,-45.044,-216.275,0.0926987,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636670,1,OK,81.1069293,-3.6056196,6.5240997,132.480,-73.259,-222.164,0.0357912,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636678,1,OK,138.4872777,-18.1048143,-14.1110931,227.582,-91.509,-229.449,0.0508621,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636678,1,OK,136.6394601,-18.7757814,-16.6885088,320.038,-118.686,-237.194,0.1320792,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636678,1,OK,-170.1265316,-2.5043819,-0.6935866,36.016,-35.866,-217.613,0.0661219,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636678,1,OK,81.2304661,-4.0488598,6.3696095,135.025,-62.330,-223.516,0.0362307,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636686,1,OK,139.3158823,-18.6559587,-14.7679965,230.880,-78.187,-231.502,0.0587141,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636686,1,OK,137.3861313,-19.6996220,-16.8265401,321.987,-101.004,-238.262,0.1015923,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636686,1,OK,-169.7298558,-2.0434214,-0.9088368,36.166,-26.419,-216.704,0.0661370,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636686,1,OK,83.8827702,-4.4627887,7.5457909,134.518,-51.383,-227.419,0.0458774,0
4,Port 12: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636694,1,OK,141.5442476,-19.0792718,-13.7434509,226.770,-65.979,-230.045,0.1062947,0,Port 13: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636694,1,OK,138.8564174,-20.5029389,-14.8843717,315.602,-83.643,-239.160,0.0289066,0,Port 10: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636694,1,OK,-169.4423844,-2.1650353,-0.3362766,37.166,-20.325,-217.647,0.0747843,0,Port 11: NDI-MF2 610059   T6F0-L00061  s/n:3A915800 Channel:0,2636694,1,OK,85.4046750,-5.5791383,7.5870937,134.074,-40.626,-224.001,0.0207674,0
